Lugar de residencia;Edad;Medida;Valor;
Cuevas del Almanzora;Índice de dependencia global;Población municipal;55,06395470748585;
Cuevas del Almanzora;Índice de dependencia jóvenes;Población municipal;29,79660306143846;
Cuevas del Almanzora;Índice de dependencia mayores;Población municipal;25,267351646047388;
Dalías;Índice de dependencia global;Población municipal;53,94052044609665;
Dalías;Índice de dependencia jóvenes;Población municipal;24,75836431226766;
Dalías;Índice de dependencia mayores;Población municipal;29,182156133828997;
El Ejido;Índice de dependencia global;Población municipal;43,983149857662376;
El Ejido;Índice de dependencia jóvenes;Población municipal;29,336361093284623;
El Ejido;Índice de dependencia mayores;Población municipal;14,646788764377746;
Enix;Índice de dependencia global;Población municipal;52,197802197802204;
Enix;Índice de dependencia jóvenes;Población municipal;14,560439560439562;
Enix;Índice de dependencia mayores;Población municipal;37,637362637362635;
Felix;Índice de dependencia global;Población municipal;47,04641350210971;
Felix;Índice de dependencia jóvenes;Población municipal;14,556962025316455;
Felix;Índice de dependencia mayores;Población municipal;32,48945147679325;
Fines;Índice de dependencia global;Población municipal;43,87483355525965;
Fines;Índice de dependencia jóvenes;Población municipal;21,171770972037287;
Fines;Índice de dependencia mayores;Población municipal;22,70306258322237;
Fiñana;Índice de dependencia global;Población municipal;58,24;
Fiñana;Índice de dependencia jóvenes;Población municipal;18,48;
Fiñana;Índice de dependencia mayores;Población municipal;39,76;
Fondón;Índice de dependencia global;Población municipal;49,92826398852224;
Fondón;Índice de dependencia jóvenes;Población municipal;13,916786226685796;
Fondón;Índice de dependencia mayores;Población municipal;36,01147776183644;
Gádor;Índice de dependencia global;Población municipal;52,810126582278485;
Gádor;Índice de dependencia jóvenes;Población municipal;26,22784810126582;
Gádor;Índice de dependencia mayores;Población municipal;26,582278481012654;
Garrucha;Índice de dependencia global;Población municipal;44,7942238267148;
Garrucha;Índice de dependencia jóvenes;Población municipal;24,794223826714802;
Garrucha;Índice de dependencia mayores;Población municipal;20;
Gérgal;Índice de dependencia global;Población municipal;54,00552486187845;
Gérgal;Índice de dependencia jóvenes;Población municipal;23,066298342541437;
Gérgal;Índice de dependencia mayores;Población municipal;30,939226519337016;
Huécija;Índice de dependencia global;Población municipal;56,69781931464174;
Huécija;Índice de dependencia jóvenes;Población municipal;19,937694704049843;
Huécija;Índice de dependencia mayores;Población municipal;36,7601246105919;
Huércal de Almería;Índice de dependencia global;Población municipal;41,317549388884615;
Huércal de Almería;Índice de dependencia jóvenes;Población municipal;31,132293027903756;
Huércal de Almería;Índice de dependencia mayores;Población municipal;10,18525636098086;
Huércal-Overa;Índice de dependencia global;Población municipal;54,21751477473329;
Huércal-Overa;Índice de dependencia jóvenes;Población municipal;26,44101619464272;
Huércal-Overa;Índice de dependencia mayores;Población municipal;27,776498580090568;
Íllar;Índice de dependencia global;Población municipal;50,993377483443716;
Íllar;Índice de dependencia jóvenes;Población municipal;13,245033112582782;
Íllar;Índice de dependencia mayores;Población municipal;37,74834437086093;
Instinción;Índice de dependencia global;Población municipal;65,01766784452296;
Instinción;Índice de dependencia jóvenes;Población municipal;22,261484098939928;
Instinción;Índice de dependencia mayores;Población municipal;42,75618374558304;
La Mojonera;Índice de dependencia global;Población municipal;42,13917525773196;
La Mojonera;Índice de dependencia jóvenes;Población municipal;28,60824742268041;
La Mojonera;Índice de dependencia mayores;Población municipal;13,530927835051546;
Laroya;Índice de dependencia global;Población municipal;40,845070422535215;
Laroya;Índice de dependencia jóvenes;Población municipal;12,676056338028168;
Laroya;Índice de dependencia mayores;Población municipal;28,169014084507044;
Las Tres Villas;Índice de dependencia global;Población municipal;59,166666666666664;
Las Tres Villas;Índice de dependencia jóvenes;Población municipal;11,11111111111111;
Las Tres Villas;Índice de dependencia mayores;Población municipal;48,05555555555556;
Láujar de Andarax;Índice de dependencia global;Población municipal;62,60245901639344;
Láujar de Andarax;Índice de dependencia jóvenes;Población municipal;23,15573770491803;
Láujar de Andarax;Índice de dependencia mayores;Población municipal;39,44672131147541;
Líjar;Índice de dependencia global;Población municipal;69,46902654867256;
Líjar;Índice de dependencia jóvenes;Población municipal;13,716814159292035;
Líjar;Índice de dependencia mayores;Población municipal;55,75221238938053;
Los Gallardos;Índice de dependencia global;Población municipal;77,82401902497027;
Los Gallardos;Índice de dependencia jóvenes;Población municipal;22,473246135552913;
Los Gallardos;Índice de dependencia mayores;Población municipal;55,350772889417364;
Lubrín;Índice de dependencia global;Población municipal;94,5260347129506;
Lubrín;Índice de dependencia jóvenes;Población municipal;20,026702269692922;
Lubrín;Índice de dependencia mayores;Población municipal;74,49933244325769;
Lucainena de las Torres;Índice de dependencia global;Población municipal;61,684782608695656;
Lucainena de las Torres;Índice de dependencia jóvenes;Población municipal;18,75;
Lucainena de las Torres;Índice de dependencia mayores;Población municipal;42,934782608695656;
Lúcar;Índice de dependencia global;Población municipal;58,07086614173228;
Lúcar;Índice de dependencia jóvenes;Población municipal;18,700787401574804;
Lúcar;Índice de dependencia mayores;Población municipal;39,37007874015748;
Macael;Índice de dependencia global;Población municipal;50,85314685314686;
Macael;Índice de dependencia jóvenes;Población municipal;22,041958041958043;
Macael;Índice de dependencia mayores;Población municipal;28,81118881118881;
María;Índice de dependencia global;Población municipal;63,951935914552735;
María;Índice de dependencia jóvenes;Población municipal;13,484646194926569;
María;Índice de dependencia mayores;Población municipal;50,467289719626166;
Mojácar;Índice de dependencia global;Población municipal;68,95622895622895;
Mojácar;Índice de dependencia jóvenes;Población municipal;18,338945005611674;
Mojácar;Índice de dependencia mayores;Población municipal;50,617283950617285;
Nacimiento;Índice de dependencia global;Población municipal;54,21686746987952;
Nacimiento;Índice de dependencia jóvenes;Población municipal;16,265060240963855;
Nacimiento;Índice de dependencia mayores;Población municipal;37,95180722891566;
Níjar;Índice de dependencia global;Población municipal;44,95421203699485;
Níjar;Índice de dependencia jóvenes;Población municipal;30,27472777803089;
Níjar;Índice de dependencia mayores;Población municipal;14,679484258963962;
Ohanes;Índice de dependencia global;Población municipal;65,96385542168674;
Ohanes;Índice de dependencia jóvenes;Población municipal;9,036144578313253;
Ohanes;Índice de dependencia mayores;Población municipal;56,92771084337349;
Olula de Castro;Índice de dependencia global;Población municipal;50;
Olula de Castro;Índice de dependencia jóvenes;Población municipal;2,34375;
Olula de Castro;Índice de dependencia mayores;Población municipal;47,65625;
Olula del Río;Índice de dependencia global;Población municipal;48,10695693327023;
Olula del Río;Índice de dependencia jóvenes;Población municipal;22,953147184098437;
Olula del Río;Índice de dependencia mayores;Población municipal;25,153809749171796;
Oria;Índice de dependencia global;Población municipal;73,89937106918238;
Oria;Índice de dependencia jóvenes;Población municipal;14,937106918238992;
Oria;Índice de dependencia mayores;Población municipal;58,9622641509434;
Padules;Índice de dependencia global;Población municipal;75,93360995850622;
Padules;Índice de dependencia jóvenes;Población municipal;12,448132780082988;
Padules;Índice de dependencia mayores;Población municipal;63,48547717842323;
Partaloa;Índice de dependencia global;Población municipal;92,88461538461539;
Partaloa;Índice de dependencia jóvenes;Población municipal;8,269230769230768;
Partaloa;Índice de dependencia mayores;Población municipal;84,61538461538461;
Paterna del Río;Índice de dependencia global;Población municipal;55,51181102362205;
Paterna del Río;Índice de dependencia jóvenes;Población municipal;11,41732283464567;
Paterna del Río;Índice de dependencia mayores;Población municipal;44,09448818897638;
Pechina;Índice de dependencia global;Población municipal;50,26680896478122;
Pechina;Índice de dependencia jóvenes;Población municipal;30,487371042333688;
Pechina;Índice de dependencia mayores;Población municipal;19,779437922447528;
Pulpí;Índice de dependencia global;Población municipal;44,372592184920194;
Pulpí;Índice de dependencia jóvenes;Población municipal;25,72922399559714;
Pulpí;Índice de dependencia mayores;Población municipal;18,64336818932306;
Purchena;Índice de dependencia global;Población municipal;51,515151515151516;
Purchena;Índice de dependencia jóvenes;Población municipal;19,06158357771261;
Purchena;Índice de dependencia mayores;Población municipal;32,453567937438905;
Rágol;Índice de dependencia global;Población municipal;77,77777777777779;
Rágol;Índice de dependencia jóvenes;Población municipal;11,11111111111111;
Rágol;Índice de dependencia mayores;Población municipal;66,66666666666666;
Rioja;Índice de dependencia global;Población municipal;45,61234329797493;
Rioja;Índice de dependencia jóvenes;Población municipal;24,686595949855352;
Rioja;Índice de dependencia mayores;Población municipal;20,925747348119575;
Roquetas de Mar;Índice de dependencia global;Población municipal;41,164928649835346;
Roquetas de Mar;Índice de dependencia jóvenes;Población municipal;26,85510428100988;
Roquetas de Mar;Índice de dependencia mayores;Población municipal;14,309824368825467;
Santa Cruz de Marchena;Índice de dependencia global;Población municipal;59,854014598540154;
Santa Cruz de Marchena;Índice de dependencia jóvenes;Población municipal;8,02919708029197;
Santa Cruz de Marchena;Índice de dependencia mayores;Población municipal;51,82481751824818;
Santa Fe de Mondújar;Índice de dependencia global;Población municipal;48,28660436137071;
Santa Fe de Mondújar;Índice de dependencia jóvenes;Población municipal;17,75700934579439;
Santa Fe de Mondújar;Índice de dependencia mayores;Población municipal;30,529595015576323;
Senés;Índice de dependencia global;Población municipal;54,054054054054056;
Senés;Índice de dependencia jóvenes;Población municipal;3,2432432432432434;
Senés;Índice de dependencia mayores;Población municipal;50,810810810810814;
Serón;Índice de dependencia global;Población municipal;63,650793650793645;
Serón;Índice de dependencia jóvenes;Población municipal;17,063492063492063;
Serón;Índice de dependencia mayores;Población municipal;46,58730158730159;
Sierro;Índice de dependencia global;Población municipal;52,38095238095239;
Sierro;Índice de dependencia jóvenes;Población municipal;11,904761904761903;
Sierro;Índice de dependencia mayores;Población municipal;40,476190476190474;
Somontín;Índice de dependencia global;Población municipal;67,29323308270678;
Somontín;Índice de dependencia jóvenes;Población municipal;16,541353383458645;
Somontín;Índice de dependencia mayores;Población municipal;50,75187969924813;
Sorbas;Índice de dependencia global;Población municipal;67,22296395193591;
Sorbas;Índice de dependencia jóvenes;Población municipal;22,162883845126835;
Sorbas;Índice de dependencia mayores;Población municipal;45,06008010680908;
Suflí;Índice de dependencia global;Población municipal;35,333333333333336;
Suflí;Índice de dependencia jóvenes;Población municipal;4,666666666666667;
Suflí;Índice de dependencia mayores;Población municipal;30,666666666666664;
Tabernas;Índice de dependencia global;Población municipal;47,43589743589743;
Tabernas;Índice de dependencia jóvenes;Población municipal;20,293040293040292;
Tabernas;Índice de dependencia mayores;Población municipal;27,142857142857142;
Taberno;Índice de dependencia global;Población municipal;75,74074074074075;
Taberno;Índice de dependencia jóvenes;Población municipal;22,59259259259259;
Taberno;Índice de dependencia mayores;Población municipal;53,148148148148145;
Tahal;Índice de dependencia global;Población municipal;65,55023923444976;
Tahal;Índice de dependencia jóvenes;Población municipal;11,961722488038278;
Tahal;Índice de dependencia mayores;Población municipal;53,588516746411486;
Terque;Índice de dependencia global;Población municipal;54,400000000000006;
Terque;Índice de dependencia jóvenes;Población municipal;9,6;
Terque;Índice de dependencia mayores;Población municipal;44,800000000000004;
Tíjola;Índice de dependencia global;Población municipal;50,23474178403756;
Tíjola;Índice de dependencia jóvenes;Población municipal;20,23047375160051;
Tíjola;Índice de dependencia mayores;Población municipal;30,004268032437047;
Turre;Índice de dependencia global;Población municipal;64,72255974078574;
Turre;Índice de dependencia jóvenes;Población municipal;23,41028756581612;
Turre;Índice de dependencia mayores;Población municipal;41,31227217496962;
Turrillas;Índice de dependencia global;Población municipal;54,285714285714285;
Turrillas;Índice de dependencia jóvenes;Población municipal;14,285714285714285;
Turrillas;Índice de dependencia mayores;Población municipal;40;
Uleila del Campo;Índice de dependencia global;Población municipal;70,94736842105263;
Uleila del Campo;Índice de dependencia jóvenes;Población municipal;17,684210526315788;
Uleila del Campo;Índice de dependencia mayores;Población municipal;53,26315789473684;
Urrácal;Índice de dependencia global;Población municipal;55,88235294117647;
Urrácal;Índice de dependencia jóvenes;Población municipal;12,184873949579831;
Urrácal;Índice de dependencia mayores;Población municipal;43,69747899159664;
Velefique;Índice de dependencia global;Población municipal;86,46616541353383;
Velefique;Índice de dependencia jóvenes;Población municipal;6,7669172932330826;
Velefique;Índice de dependencia mayores;Población municipal;79,69924812030075;
Vélez-Blanco;Índice de dependencia global;Población municipal;63,27396098388465;
Vélez-Blanco;Índice de dependencia jóvenes;Población municipal;16,030534351145036;
Vélez-Blanco;Índice de dependencia mayores;Población municipal;47,24342663273961;
Vélez-Rubio;Índice de dependencia global;Población municipal;58,639125151883356;
Vélez-Rubio;Índice de dependencia jóvenes;Población municipal;21,142162818955043;
Vélez-Rubio;Índice de dependencia mayores;Población municipal;37,49696233292831;
Vera;Índice de dependencia global;Población municipal;48,52485737571312;
Vera;Índice de dependencia jóvenes;Población municipal;28,011409942950284;
Vera;Índice de dependencia mayores;Población municipal;20,513447432762835;
Viator;Índice de dependencia global;Población municipal;45,46762589928058;
Viator;Índice de dependencia jóvenes;Población municipal;29,32853717026379;
Viator;Índice de dependencia mayores;Población municipal;16,139088729016787;
Vícar;Índice de dependencia global;Población municipal;41,003265972647476;
Vícar;Índice de dependencia jóvenes;Población municipal;27,832210655235762;
Vícar;Índice de dependencia mayores;Población municipal;13,171055317411717;
Zurgena;Índice de dependencia global;Población municipal;81,43302180685357;
Zurgena;Índice de dependencia jóvenes;Población municipal;18,317757009345794;
Zurgena;Índice de dependencia mayores;Población municipal;63,115264797507784;
Alcalá de los Gazules;Índice de dependencia global;Población municipal;42,115280043501905;
Alcalá de los Gazules;Índice de dependencia jóvenes;Población municipal;19,00489396411093;
Alcalá de los Gazules;Índice de dependencia mayores;Población municipal;23,110386079390974;
Alcalá del Valle;Índice de dependencia global;Población municipal;48,14154029140648;
Alcalá del Valle;Índice de dependencia jóvenes;Población municipal;20,011894142135;
Alcalá del Valle;Índice de dependencia mayores;Población municipal;28,12964614927148;
Algar;Índice de dependencia global;Población municipal;54,75161987041036;
Algar;Índice de dependencia jóvenes;Población municipal;22,786177105831534;
Algar;Índice de dependencia mayores;Población municipal;31,96544276457883;
Algeciras;Índice de dependencia global;Población municipal;52,10441267868241;
Algeciras;Índice de dependencia jóvenes;Población municipal;26,85021752641392;
Algeciras;Índice de dependencia mayores;Población municipal;25,254195152268487;
Algodonales;Índice de dependencia global;Población municipal;51,70893054024256;
Algodonales;Índice de dependencia jóvenes;Población municipal;19,873208379272324;
Algodonales;Índice de dependencia mayores;Población municipal;31,83572216097023;
Arcos de la Frontera;Índice de dependencia global;Población municipal;46,301460509524034;
Arcos de la Frontera;Índice de dependencia jóvenes;Población municipal;22,583542090088386;
Arcos de la Frontera;Índice de dependencia mayores;Población municipal;23,717918419435648;
Barbate;Índice de dependencia global;Población municipal;47,47565929460313;
Barbate;Índice de dependencia jóvenes;Población municipal;22,187117157779355;
Barbate;Índice de dependencia mayores;Población municipal;25,28854213682378;
Benalup-Casas Viejas;Índice de dependencia global;Población municipal;43,57329055544415;
Benalup-Casas Viejas;Índice de dependencia jóvenes;Población municipal;21,17505514337277;
Benalup-Casas Viejas;Índice de dependencia mayores;Población municipal;22,398235412071386;
Benaocaz;Índice de dependencia global;Población municipal;39,839034205231385;
Benaocaz;Índice de dependencia jóvenes;Población municipal;13,883299798792756;
Benaocaz;Índice de dependencia mayores;Población municipal;25,95573440643863;
Bornos;Índice de dependencia global;Población municipal;47,10887642622317;
Bornos;Índice de dependencia jóvenes;Población municipal;20,73099980661381;
Bornos;Índice de dependencia mayores;Población municipal;26,37787661960936;
Cádiz (capital);Índice de dependencia global;Población municipal;58,99707503656204;
Cádiz (capital);Índice de dependencia jóvenes;Población municipal;19,044605692428846;
Cádiz (capital);Índice de dependencia mayores;Población municipal;39,9524693441332;
Castellar de la Frontera;Índice de dependencia global;Población municipal;45,04289799809342;
Castellar de la Frontera;Índice de dependencia jóvenes;Población municipal;24,261201143946614;
Castellar de la Frontera;Índice de dependencia mayores;Población municipal;20,781696854146805;
Chiclana de la Frontera;Índice de dependencia global;Población municipal;46,456310679611654;
Chiclana de la Frontera;Índice de dependencia jóvenes;Población municipal;25,23434884499498;
Chiclana de la Frontera;Índice de dependencia mayores;Población municipal;21,221961834616675;
Chipiona;Índice de dependencia global;Población municipal;48,85275793952287;
Chipiona;Índice de dependencia jóvenes;Población municipal;24,12247378817809;
Chipiona;Índice de dependencia mayores;Población municipal;24,73028415134478;
Conil de la Frontera;Índice de dependencia global;Población municipal;50,44820079395569;
Conil de la Frontera;Índice de dependencia jóvenes;Población municipal;25,97003457548982;
Conil de la Frontera;Índice de dependencia mayores;Población municipal;24,478166218465873;
El Bosque;Índice de dependencia global;Población municipal;46,00132187706543;
El Bosque;Índice de dependencia jóvenes;Población municipal;22,075346992729678;
El Bosque;Índice de dependencia mayores;Población municipal;23,92597488433576;
El Gastor;Índice de dependencia global;Población municipal;49,691629955947135;
El Gastor;Índice de dependencia jóvenes;Población municipal;18,237885462555067;
El Gastor;Índice de dependencia mayores;Población municipal;31,453744493392072;
El Puerto de Santa María;Índice de dependencia global;Población municipal;50,5107621884519;
El Puerto de Santa María;Índice de dependencia jóvenes;Población municipal;24,74546035913229;
El Puerto de Santa María;Índice de dependencia mayores;Población municipal;25,765301829319604;
Espera;Índice de dependencia global;Población municipal;49,45226917057903;
Espera;Índice de dependencia jóvenes;Población municipal;21,322378716744915;
Espera;Índice de dependencia mayores;Población municipal;28,129890453834115;
Grazalema;Índice de dependencia global;Población municipal;47,1019809244314;
Grazalema;Índice de dependencia jóvenes;Población municipal;16,801173881144535;
Grazalema;Índice de dependencia mayores;Población municipal;30,300807043286866;
Jerez de la Frontera;Índice de dependencia global;Población municipal;50,64157036029911;
Jerez de la Frontera;Índice de dependencia jóvenes;Población municipal;24,39383639247677;
Jerez de la Frontera;Índice de dependencia mayores;Población municipal;26,247733967822345;
Jimena de la Frontera;Índice de dependencia global;Población municipal;52,81335773101555;
Jimena de la Frontera;Índice de dependencia jóvenes;Población municipal;24,542543458371455;
Jimena de la Frontera;Índice de dependencia mayores;Población municipal;28,270814272644103;
La Línea de la Concepción;Índice de dependencia global;Población municipal;50,85355967765008;
La Línea de la Concepción;Índice de dependencia jóvenes;Población municipal;24,76992036622002;
La Línea de la Concepción;Índice de dependencia mayores;Población municipal;26,08363931143007;
Los Barrios;Índice de dependencia global;Población municipal;47,26505139500734;
Los Barrios;Índice de dependencia jóvenes;Población municipal;26,933431228585412;
Los Barrios;Índice de dependencia mayores;Población municipal;20,331620166421928;
Medina Sidonia;Índice de dependencia global;Población municipal;48,4070796460177;
Medina Sidonia;Índice de dependencia jóvenes;Población municipal;23,830594184576487;
Medina Sidonia;Índice de dependencia mayores;Población municipal;24,576485461441212;
Olvera;Índice de dependencia global;Población municipal;54,385285575992256;
Olvera;Índice de dependencia jóvenes;Población municipal;21,316553727008714;
Olvera;Índice de dependencia mayores;Población municipal;33,068731848983546;
Paterna de Rivera;Índice de dependencia global;Población municipal;45,43756670224119;
Paterna de Rivera;Índice de dependencia jóvenes;Población municipal;23,05229455709712;
Paterna de Rivera;Índice de dependencia mayores;Población municipal;22,38527214514408;
Prado del Rey;Índice de dependencia global;Población municipal;47,172270002606204;
Prado del Rey;Índice de dependencia jóvenes;Población municipal;19,859265050820955;
Prado del Rey;Índice de dependencia mayores;Población municipal;27,313004951785246;
Puerto Real;Índice de dependencia global;Población municipal;45,963337855229746;
Puerto Real;Índice de dependencia jóvenes;Población municipal;22,852968798914745;
Puerto Real;Índice de dependencia mayores;Población municipal;23,110369056315;
Puerto Serrano;Índice de dependencia global;Población municipal;42,9069290692907;
Puerto Serrano;Índice de dependencia jóvenes;Población municipal;24,989749897498974;
Puerto Serrano;Índice de dependencia mayores;Población municipal;17,917179171791716;
Rota;Índice de dependencia global;Población municipal;48,967015204323886;
Rota;Índice de dependencia jóvenes;Población municipal;23,594484012729204;
Rota;Índice de dependencia mayores;Población municipal;25,37253119159469;
San Fernando;Índice de dependencia global;Población municipal;51,0148415563578;
San Fernando;Índice de dependencia jóvenes;Población municipal;23,558764540714;
San Fernando;Índice de dependencia mayores;Población municipal;27,456077015643803;
San José del Valle;Índice de dependencia global;Población municipal;49,93265993265993;
San José del Valle;Índice de dependencia jóvenes;Población municipal;21,91919191919192;
San José del Valle;Índice de dependencia mayores;Población municipal;28,013468013468014;
San Martín del Tesorillo;Índice de dependencia global;Población municipal;47,21052631578947;
San Martín del Tesorillo;Índice de dependencia jóvenes;Población municipal;22,894736842105264;
San Martín del Tesorillo;Índice de dependencia mayores;Población municipal;24,31578947368421;
San Roque;Índice de dependencia global;Población municipal;49,77545928782037;
San Roque;Índice de dependencia jóvenes;Población municipal;26,913132229530508;
San Roque;Índice de dependencia mayores;Población municipal;22,86232705828986;
Sanlúcar de Barrameda;Índice de dependencia global;Población municipal;50,738266640724646;
Sanlúcar de Barrameda;Índice de dependencia jóvenes;Población municipal;25,797176643535032;
