Territorio;Edad;Medida;Sexo;Valor;
Adra;De 35 a 39 años;Inmigraciones ;Hombres;74;
Adra;De 35 a 39 años;Inmigraciones ;Mujeres;45;
Adra;De 40 a 44 años;Inmigraciones ;Hombres;38;
Adra;De 40 a 44 años;Inmigraciones ;Mujeres;38;
Adra;De 45 a 49 años;Inmigraciones ;Hombres;46;
Adra;De 45 a 49 años;Inmigraciones ;Mujeres;34;
Adra;De 50 a 54 años;Inmigraciones ;Hombres;23;
Adra;De 50 a 54 años;Inmigraciones ;Mujeres;22;
Adra;De 55 a 59 años;Inmigraciones ;Hombres;16;
Adra;De 55 a 59 años;Inmigraciones ;Mujeres;17;
Adra;De 60 a 64 años;Inmigraciones ;Hombres;19;
Adra;De 60 a 64 años;Inmigraciones ;Mujeres;14;
Adra;De 65 y más años;Inmigraciones ;Hombres;20;
Adra;De 65 y más años;Inmigraciones ;Mujeres;25;
Adra;TOTAL;Inmigraciones ;Hombres;588;
Adra;TOTAL;Inmigraciones ;Mujeres;463;
Albanchez;De 0 a 4 años;Inmigraciones ;Hombres;1;
Albanchez;De 0 a 4 años;Inmigraciones ;Mujeres;-;
Albanchez;De 5 a 9 años;Inmigraciones ;Hombres;-;
Albanchez;De 5 a 9 años;Inmigraciones ;Mujeres;2;
Albanchez;De 10 a 14 años;Inmigraciones ;Hombres;-;
Albanchez;De 10 a 14 años;Inmigraciones ;Mujeres;3;
Albanchez;De 15 a 19 años;Inmigraciones ;Hombres;-;
Albanchez;De 15 a 19 años;Inmigraciones ;Mujeres;1;
Albanchez;De 20 a 24 años;Inmigraciones ;Hombres;1;
Albanchez;De 20 a 24 años;Inmigraciones ;Mujeres;2;
Albanchez;De 25 a 29 años;Inmigraciones ;Hombres;1;
Albanchez;De 25 a 29 años;Inmigraciones ;Mujeres;-;
Albanchez;De 30 a 34 años;Inmigraciones ;Hombres;1;
Albanchez;De 30 a 34 años;Inmigraciones ;Mujeres;1;
Albanchez;De 35 a 39 años;Inmigraciones ;Hombres;-;
Albanchez;De 35 a 39 años;Inmigraciones ;Mujeres;1;
Albanchez;De 40 a 44 años;Inmigraciones ;Hombres;2;
Albanchez;De 40 a 44 años;Inmigraciones ;Mujeres;-;
Albanchez;De 45 a 49 años;Inmigraciones ;Hombres;2;
Albanchez;De 45 a 49 años;Inmigraciones ;Mujeres;-;
Albanchez;De 50 a 54 años;Inmigraciones ;Hombres;8;
Albanchez;De 50 a 54 años;Inmigraciones ;Mujeres;3;
Albanchez;De 55 a 59 años;Inmigraciones ;Hombres;3;
Albanchez;De 55 a 59 años;Inmigraciones ;Mujeres;1;
Albanchez;De 60 a 64 años;Inmigraciones ;Hombres;1;
Albanchez;De 60 a 64 años;Inmigraciones ;Mujeres;3;
Albanchez;De 65 y más años;Inmigraciones ;Hombres;6;
Albanchez;De 65 y más años;Inmigraciones ;Mujeres;6;
Albanchez;TOTAL;Inmigraciones ;Hombres;26;
Albanchez;TOTAL;Inmigraciones ;Mujeres;23;
Alboloduy;De 0 a 4 años;Inmigraciones ;Hombres;2;
Alboloduy;De 0 a 4 años;Inmigraciones ;Mujeres;-;
Alboloduy;De 5 a 9 años;Inmigraciones ;Hombres;1;
Alboloduy;De 5 a 9 años;Inmigraciones ;Mujeres;1;
Alboloduy;De 10 a 14 años;Inmigraciones ;Hombres;4;
Alboloduy;De 10 a 14 años;Inmigraciones ;Mujeres;-;
Alboloduy;De 15 a 19 años;Inmigraciones ;Hombres;1;
Alboloduy;De 15 a 19 años;Inmigraciones ;Mujeres;1;
Alboloduy;De 20 a 24 años;Inmigraciones ;Hombres;-;
Alboloduy;De 20 a 24 años;Inmigraciones ;Mujeres;3;
Alboloduy;De 25 a 29 años;Inmigraciones ;Hombres;2;
Alboloduy;De 25 a 29 años;Inmigraciones ;Mujeres;-;
Alboloduy;De 30 a 34 años;Inmigraciones ;Hombres;1;
Alboloduy;De 30 a 34 años;Inmigraciones ;Mujeres;3;
Alboloduy;De 35 a 39 años;Inmigraciones ;Hombres;1;
Alboloduy;De 35 a 39 años;Inmigraciones ;Mujeres;1;
Alboloduy;De 40 a 44 años;Inmigraciones ;Hombres;1;
Alboloduy;De 40 a 44 años;Inmigraciones ;Mujeres;2;
Alboloduy;De 45 a 49 años;Inmigraciones ;Hombres;-;
Alboloduy;De 45 a 49 años;Inmigraciones ;Mujeres;1;
Alboloduy;De 50 a 54 años;Inmigraciones ;Hombres;-;
Alboloduy;De 50 a 54 años;Inmigraciones ;Mujeres;1;
Alboloduy;De 55 a 59 años;Inmigraciones ;Hombres;1;
Alboloduy;De 55 a 59 años;Inmigraciones ;Mujeres;-;
Alboloduy;De 60 a 64 años;Inmigraciones ;Hombres;-;
Alboloduy;De 60 a 64 años;Inmigraciones ;Mujeres;-;
Alboloduy;De 65 y más años;Inmigraciones ;Hombres;2;
Alboloduy;De 65 y más años;Inmigraciones ;Mujeres;3;
Alboloduy;TOTAL;Inmigraciones ;Hombres;16;
Alboloduy;TOTAL;Inmigraciones ;Mujeres;16;
Albox;De 0 a 4 años;Inmigraciones ;Hombres;21;
Albox;De 0 a 4 años;Inmigraciones ;Mujeres;17;
Albox;De 5 a 9 años;Inmigraciones ;Hombres;24;
Albox;De 5 a 9 años;Inmigraciones ;Mujeres;24;
Albox;De 10 a 14 años;Inmigraciones ;Hombres;26;
Albox;De 10 a 14 años;Inmigraciones ;Mujeres;26;
Albox;De 15 a 19 años;Inmigraciones ;Hombres;30;
Albox;De 15 a 19 años;Inmigraciones ;Mujeres;31;
Albox;De 20 a 24 años;Inmigraciones ;Hombres;42;
Albox;De 20 a 24 años;Inmigraciones ;Mujeres;38;
Albox;De 25 a 29 años;Inmigraciones ;Hombres;45;
Albox;De 25 a 29 años;Inmigraciones ;Mujeres;48;
Albox;De 30 a 34 años;Inmigraciones ;Hombres;45;
Albox;De 30 a 34 años;Inmigraciones ;Mujeres;23;
Albox;De 35 a 39 años;Inmigraciones ;Hombres;37;
Albox;De 35 a 39 años;Inmigraciones ;Mujeres;31;
Albox;De 40 a 44 años;Inmigraciones ;Hombres;60;
Albox;De 40 a 44 años;Inmigraciones ;Mujeres;39;
Albox;De 45 a 49 años;Inmigraciones ;Hombres;36;
Albox;De 45 a 49 años;Inmigraciones ;Mujeres;31;
Albox;De 50 a 54 años;Inmigraciones ;Hombres;41;
Albox;De 50 a 54 años;Inmigraciones ;Mujeres;31;
Albox;De 55 a 59 años;Inmigraciones ;Hombres;32;
Albox;De 55 a 59 años;Inmigraciones ;Mujeres;27;
Albox;De 60 a 64 años;Inmigraciones ;Hombres;25;
Albox;De 60 a 64 años;Inmigraciones ;Mujeres;21;
Albox;De 65 y más años;Inmigraciones ;Hombres;45;
Albox;De 65 y más años;Inmigraciones ;Mujeres;44;
Albox;TOTAL;Inmigraciones ;Hombres;509;
Albox;TOTAL;Inmigraciones ;Mujeres;431;
Alcolea;De 0 a 4 años;Inmigraciones ;Hombres;2;
Alcolea;De 0 a 4 años;Inmigraciones ;Mujeres;2;
Alcolea;De 5 a 9 años;Inmigraciones ;Hombres;3;
Alcolea;De 5 a 9 años;Inmigraciones ;Mujeres;1;
Alcolea;De 10 a 14 años;Inmigraciones ;Hombres;1;
Alcolea;De 10 a 14 años;Inmigraciones ;Mujeres;-;
Alcolea;De 15 a 19 años;Inmigraciones ;Hombres;1;
Alcolea;De 15 a 19 años;Inmigraciones ;Mujeres;1;
Alcolea;De 20 a 24 años;Inmigraciones ;Hombres;3;
Alcolea;De 20 a 24 años;Inmigraciones ;Mujeres;2;
Alcolea;De 25 a 29 años;Inmigraciones ;Hombres;6;
Alcolea;De 25 a 29 años;Inmigraciones ;Mujeres;2;
Alcolea;De 30 a 34 años;Inmigraciones ;Hombres;2;
Alcolea;De 30 a 34 años;Inmigraciones ;Mujeres;3;
Alcolea;De 35 a 39 años;Inmigraciones ;Hombres;1;
Alcolea;De 35 a 39 años;Inmigraciones ;Mujeres;2;
Alcolea;De 40 a 44 años;Inmigraciones ;Hombres;3;
Alcolea;De 40 a 44 años;Inmigraciones ;Mujeres;2;
Alcolea;De 45 a 49 años;Inmigraciones ;Hombres;-;
Alcolea;De 45 a 49 años;Inmigraciones ;Mujeres;3;
Alcolea;De 50 a 54 años;Inmigraciones ;Hombres;5;
Alcolea;De 50 a 54 años;Inmigraciones ;Mujeres;1;
Alcolea;De 55 a 59 años;Inmigraciones ;Hombres;2;
Alcolea;De 55 a 59 años;Inmigraciones ;Mujeres;2;
Alcolea;De 60 a 64 años;Inmigraciones ;Hombres;2;
Alcolea;De 60 a 64 años;Inmigraciones ;Mujeres;3;
Alcolea;De 65 y más años;Inmigraciones ;Hombres;4;
Alcolea;De 65 y más años;Inmigraciones ;Mujeres;3;
Alcolea;TOTAL;Inmigraciones ;Hombres;35;
Alcolea;TOTAL;Inmigraciones ;Mujeres;27;
Alcóntar;De 0 a 4 años;Inmigraciones ;Hombres;-;
Alcóntar;De 0 a 4 años;Inmigraciones ;Mujeres;1;
Alcóntar;De 5 a 9 años;Inmigraciones ;Hombres;-;
Alcóntar;De 5 a 9 años;Inmigraciones ;Mujeres;-;
Alcóntar;De 10 a 14 años;Inmigraciones ;Hombres;-;
Alcóntar;De 10 a 14 años;Inmigraciones ;Mujeres;-;
Alcóntar;De 15 a 19 años;Inmigraciones ;Hombres;-;
Alcóntar;De 15 a 19 años;Inmigraciones ;Mujeres;2;
Alcóntar;De 20 a 24 años;Inmigraciones ;Hombres;1;
Alcóntar;De 20 a 24 años;Inmigraciones ;Mujeres;2;
Alcóntar;De 25 a 29 años;Inmigraciones ;Hombres;1;
Alcóntar;De 25 a 29 años;Inmigraciones ;Mujeres;3;
Alcóntar;De 30 a 34 años;Inmigraciones ;Hombres;3;
Alcóntar;De 30 a 34 años;Inmigraciones ;Mujeres;3;
Alcóntar;De 35 a 39 años;Inmigraciones ;Hombres;1;
Alcóntar;De 35 a 39 años;Inmigraciones ;Mujeres;-;
Alcóntar;De 40 a 44 años;Inmigraciones ;Hombres;2;
Alcóntar;De 40 a 44 años;Inmigraciones ;Mujeres;1;
Alcóntar;De 45 a 49 años;Inmigraciones ;Hombres;2;
Alcóntar;De 45 a 49 años;Inmigraciones ;Mujeres;1;
Alcóntar;De 50 a 54 años;Inmigraciones ;Hombres;1;
Alcóntar;De 50 a 54 años;Inmigraciones ;Mujeres;1;
Alcóntar;De 55 a 59 años;Inmigraciones ;Hombres;1;
Alcóntar;De 55 a 59 años;Inmigraciones ;Mujeres;-;
Alcóntar;De 60 a 64 años;Inmigraciones ;Hombres;4;
Alcóntar;De 60 a 64 años;Inmigraciones ;Mujeres;-;
Alcóntar;De 65 y más años;Inmigraciones ;Hombres;2;
Alcóntar;De 65 y más años;Inmigraciones ;Mujeres;4;
Alcóntar;TOTAL;Inmigraciones ;Hombres;18;
Alcóntar;TOTAL;Inmigraciones ;Mujeres;18;
Alcudia de Monteagud;De 0 a 4 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 0 a 4 años;Inmigraciones ;Mujeres;1;
Alcudia de Monteagud;De 5 a 9 años;Inmigraciones ;Hombres;1;
Alcudia de Monteagud;De 5 a 9 años;Inmigraciones ;Mujeres;1;
Alcudia de Monteagud;De 10 a 14 años;Inmigraciones ;Hombres;2;
Alcudia de Monteagud;De 10 a 14 años;Inmigraciones ;Mujeres;1;
Alcudia de Monteagud;De 15 a 19 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 15 a 19 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 20 a 24 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 20 a 24 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 25 a 29 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 25 a 29 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 30 a 34 años;Inmigraciones ;Hombres;1;
Alcudia de Monteagud;De 30 a 34 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 35 a 39 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 35 a 39 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 40 a 44 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 40 a 44 años;Inmigraciones ;Mujeres;2;
Alcudia de Monteagud;De 45 a 49 años;Inmigraciones ;Hombres;1;
Alcudia de Monteagud;De 45 a 49 años;Inmigraciones ;Mujeres;2;
Alcudia de Monteagud;De 50 a 54 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 50 a 54 años;Inmigraciones ;Mujeres;1;
Alcudia de Monteagud;De 55 a 59 años;Inmigraciones ;Hombres;1;
Alcudia de Monteagud;De 55 a 59 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 60 a 64 años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 60 a 64 años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;De 65 y más años;Inmigraciones ;Hombres;-;
Alcudia de Monteagud;De 65 y más años;Inmigraciones ;Mujeres;-;
Alcudia de Monteagud;TOTAL;Inmigraciones ;Hombres;6;
Alcudia de Monteagud;TOTAL;Inmigraciones ;Mujeres;8;
Alhabia;De 0 a 4 años;Inmigraciones ;Hombres;3;
Alhabia;De 0 a 4 años;Inmigraciones ;Mujeres;1;
Alhabia;De 5 a 9 años;Inmigraciones ;Hombres;-;
Alhabia;De 5 a 9 años;Inmigraciones ;Mujeres;-;
Alhabia;De 10 a 14 años;Inmigraciones ;Hombres;-;
Alhabia;De 10 a 14 años;Inmigraciones ;Mujeres;-;
Alhabia;De 15 a 19 años;Inmigraciones ;Hombres;-;
Alhabia;De 15 a 19 años;Inmigraciones ;Mujeres;1;
Alhabia;De 20 a 24 años;Inmigraciones ;Hombres;9;
Alhabia;De 20 a 24 años;Inmigraciones ;Mujeres;6;
Alhabia;De 25 a 29 años;Inmigraciones ;Hombres;4;
Alhabia;De 25 a 29 años;Inmigraciones ;Mujeres;2;
Alhabia;De 30 a 34 años;Inmigraciones ;Hombres;5;
Alhabia;De 30 a 34 años;Inmigraciones ;Mujeres;4;
Alhabia;De 35 a 39 años;Inmigraciones ;Hombres;2;
Alhabia;De 35 a 39 años;Inmigraciones ;Mujeres;3;
Alhabia;De 40 a 44 años;Inmigraciones ;Hombres;4;
Alhabia;De 40 a 44 años;Inmigraciones ;Mujeres;1;
Alhabia;De 45 a 49 años;Inmigraciones ;Hombres;4;
Alhabia;De 45 a 49 años;Inmigraciones ;Mujeres;1;
Alhabia;De 50 a 54 años;Inmigraciones ;Hombres;-;
Alhabia;De 50 a 54 años;Inmigraciones ;Mujeres;3;
Alhabia;De 55 a 59 años;Inmigraciones ;Hombres;4;
Alhabia;De 55 a 59 años;Inmigraciones ;Mujeres;1;
Alhabia;De 60 a 64 años;Inmigraciones ;Hombres;1;
Alhabia;De 60 a 64 años;Inmigraciones ;Mujeres;-;
Alhabia;De 65 y más años;Inmigraciones ;Hombres;2;
Alhabia;De 65 y más años;Inmigraciones ;Mujeres;2;
Alhabia;TOTAL;Inmigraciones ;Hombres;38;
Alhabia;TOTAL;Inmigraciones ;Mujeres;25;
Alhama de Almería;De 0 a 4 años;Inmigraciones ;Hombres;8;
Alhama de Almería;De 0 a 4 años;Inmigraciones ;Mujeres;5;
Alhama de Almería;De 5 a 9 años;Inmigraciones ;Hombres;12;
Alhama de Almería;De 5 a 9 años;Inmigraciones ;Mujeres;4;
Alhama de Almería;De 10 a 14 años;Inmigraciones ;Hombres;10;
Alhama de Almería;De 10 a 14 años;Inmigraciones ;Mujeres;3;
Alhama de Almería;De 15 a 19 años;Inmigraciones ;Hombres;12;
Alhama de Almería;De 15 a 19 años;Inmigraciones ;Mujeres;5;
Alhama de Almería;De 20 a 24 años;Inmigraciones ;Hombres;12;
Alhama de Almería;De 20 a 24 años;Inmigraciones ;Mujeres;7;
Alhama de Almería;De 25 a 29 años;Inmigraciones ;Hombres;15;
Alhama de Almería;De 25 a 29 años;Inmigraciones ;Mujeres;8;
Alhama de Almería;De 30 a 34 años;Inmigraciones ;Hombres;17;
Alhama de Almería;De 30 a 34 años;Inmigraciones ;Mujeres;10;
Alhama de Almería;De 35 a 39 años;Inmigraciones ;Hombres;10;
Alhama de Almería;De 35 a 39 años;Inmigraciones ;Mujeres;13;
Alhama de Almería;De 40 a 44 años;Inmigraciones ;Hombres;11;
Alhama de Almería;De 40 a 44 años;Inmigraciones ;Mujeres;10;
Alhama de Almería;De 45 a 49 años;Inmigraciones ;Hombres;9;
Alhama de Almería;De 45 a 49 años;Inmigraciones ;Mujeres;7;
Alhama de Almería;De 50 a 54 años;Inmigraciones ;Hombres;11;
Alhama de Almería;De 50 a 54 años;Inmigraciones ;Mujeres;13;
Alhama de Almería;De 55 a 59 años;Inmigraciones ;Hombres;11;
Alhama de Almería;De 55 a 59 años;Inmigraciones ;Mujeres;5;
Alhama de Almería;De 60 a 64 años;Inmigraciones ;Hombres;3;
Alhama de Almería;De 60 a 64 años;Inmigraciones ;Mujeres;2;
Alhama de Almería;De 65 y más años;Inmigraciones ;Hombres;5;
Alhama de Almería;De 65 y más años;Inmigraciones ;Mujeres;12;
Alhama de Almería;TOTAL;Inmigraciones ;Hombres;146;
Alhama de Almería;TOTAL;Inmigraciones ;Mujeres;104;
Alicún;De 0 a 4 años;Inmigraciones ;Hombres;-;
Alicún;De 0 a 4 años;Inmigraciones ;Mujeres;-;
Alicún;De 5 a 9 años;Inmigraciones ;Hombres;-;
Alicún;De 5 a 9 años;Inmigraciones ;Mujeres;-;
Alicún;De 10 a 14 años;Inmigraciones ;Hombres;-;
Alicún;De 10 a 14 años;Inmigraciones ;Mujeres;1;
Alicún;De 15 a 19 años;Inmigraciones ;Hombres;-;
Alicún;De 15 a 19 años;Inmigraciones ;Mujeres;-;
Alicún;De 20 a 24 años;Inmigraciones ;Hombres;1;
Alicún;De 20 a 24 años;Inmigraciones ;Mujeres;-;
Alicún;De 25 a 29 años;Inmigraciones ;Hombres;-;
Alicún;De 25 a 29 años;Inmigraciones ;Mujeres;-;
Alicún;De 30 a 34 años;Inmigraciones ;Hombres;-;
Alicún;De 30 a 34 años;Inmigraciones ;Mujeres;-;
Alicún;De 35 a 39 años;Inmigraciones ;Hombres;-;
Alicún;De 35 a 39 años;Inmigraciones ;Mujeres;-;
Alicún;De 40 a 44 años;Inmigraciones ;Hombres;-;
Alicún;De 40 a 44 años;Inmigraciones ;Mujeres;-;
Alicún;De 45 a 49 años;Inmigraciones ;Hombres;-;
Alicún;De 45 a 49 años;Inmigraciones ;Mujeres;1;
Alicún;De 50 a 54 años;Inmigraciones ;Hombres;-;
Alicún;De 50 a 54 años;Inmigraciones ;Mujeres;-;
Alicún;De 55 a 59 años;Inmigraciones ;Hombres;-;
Alicún;De 55 a 59 años;Inmigraciones ;Mujeres;-;
Alicún;De 60 a 64 años;Inmigraciones ;Hombres;-;
Alicún;De 60 a 64 años;Inmigraciones ;Mujeres;-;
Alicún;De 65 y más años;Inmigraciones ;Hombres;1;
