Territorio;Medida;Valor;
Benitagla;Latitud;37,231074;
Benitagla;Longitud;-2,23845;
Benitagla;Altitud sobre el nivel del mar;944,53997803;
Benizalón;Latitud;37,211707;
Benizalón;Longitud;-2,241565;
Benizalón;Altitud sobre el nivel del mar;926,67999268;
Bentarique;Latitud;36,98654;
Bentarique;Longitud;-2,61936;
Bentarique;Altitud sobre el nivel del mar;326,32000732;
Berja;Latitud;36,846306;
Berja;Longitud;-2,949297;
Berja;Altitud sobre el nivel del mar;334,79998779;
Canjáyar;Latitud;37,009703;
Canjáyar;Longitud;-2,739648;
Canjáyar;Altitud sobre el nivel del mar;608,80999756;
Cantoria;Latitud;37,352646;
Cantoria;Longitud;-2,193468;
Cantoria;Altitud sobre el nivel del mar;381,86999512;
Carboneras;Latitud;36,997166;
Carboneras;Longitud;-1,894428;
Carboneras;Altitud sobre el nivel del mar;11,42000008;
Castro de Filabres;Latitud;37,185199;
Castro de Filabres;Longitud;-2,439819;
Castro de Filabres;Altitud sobre el nivel del mar;950,71002197;
Chercos;Latitud;37,266342;
Chercos;Longitud;-2,257902;
Chercos;Altitud sobre el nivel del mar;793,28997803;
Chirivel;Latitud;37,595495;
Chirivel;Longitud;-2,26548;
Chirivel;Altitud sobre el nivel del mar;1036,69995117;
Cóbdar;Latitud;37,262086;
Cóbdar;Longitud;-2,210081;
Cóbdar;Altitud sobre el nivel del mar;605,59997559;
Cuevas del Almanzora;Latitud;37,29711;
Cuevas del Almanzora;Longitud;-1,881448;
Cuevas del Almanzora;Altitud sobre el nivel del mar;95,48999786;
Dalías;Latitud;36,821009;
Dalías;Longitud;-2,870127;
Dalías;Altitud sobre el nivel del mar;411,05999756;
El Ejido;Latitud;36,774866;
El Ejido;Longitud;-2,812757;
El Ejido;Altitud sobre el nivel del mar;72,16999817;
Enix;Latitud;36,877048;
Enix;Longitud;-2,60178;
Enix;Altitud sobre el nivel del mar;710,88000488;
Felix;Latitud;36,868959;
Felix;Longitud;-2,657532;
Felix;Altitud sobre el nivel del mar;810,90002441;
Fines;Latitud;37,358753;
Fines;Longitud;-2,262863;
Fines;Altitud sobre el nivel del mar;446,58999634;
Fiñana;Latitud;37,171185;
Fiñana;Longitud;-2,840946;
Fiñana;Altitud sobre el nivel del mar;949,15997314;
Fondón;Latitud;36,979731;
Fondón;Longitud;-2,858784;
Fondón;Altitud sobre el nivel del mar;845,02001953;
Gádor;Latitud;36,954024;
Gádor;Longitud;-2,493079;
Gádor;Altitud sobre el nivel del mar;165,57000732;
Garrucha;Latitud;37,179377;
Garrucha;Longitud;-1,821953;
Garrucha;Altitud sobre el nivel del mar;7,15999985;
Gérgal;Latitud;37,120625;
Gérgal;Longitud;-2,53806;
Gérgal;Altitud sobre el nivel del mar;744,35998535;
Huécija;Latitud;36,968696;
Huécija;Longitud;-2,610287;
Huécija;Altitud sobre el nivel del mar;402,5;
Huércal de Almería;Latitud;36,884734;
Huércal de Almería;Longitud;-2,436113;
Huércal de Almería;Altitud sobre el nivel del mar;72,06999969;
Huércal-Overa;Latitud;37,390506;
Huércal-Overa;Longitud;-1,943777;
Huércal-Overa;Altitud sobre el nivel del mar;279,61999512;
Íllar;Latitud;36,985224;
Íllar;Longitud;-2,639158;
Íllar;Altitud sobre el nivel del mar;423,32998657;
Instinción;Latitud;36,993251;
Instinción;Longitud;-2,659915;
Instinción;Altitud sobre el nivel del mar;429,89001465;
La Mojonera;Latitud;36,752626;
La Mojonera;Longitud;-2,688378;
La Mojonera;Altitud sobre el nivel del mar;39,59000015;
Laroya;Latitud;37,296379;
Laroya;Longitud;-2,331903;
Laroya;Altitud sobre el nivel del mar;872,02001953;
Las Tres Villas;Latitud;37,134358;
Las Tres Villas;Longitud;-2,712001;
Las Tres Villas;Altitud sobre el nivel del mar;686,23999023;
Laujar de Andarax;Latitud;36,994;
Laujar de Andarax;Longitud;-2,889521;
Laujar de Andarax;Altitud sobre el nivel del mar;906,15997314;
Líjar;Latitud;37,295227;
Líjar;Longitud;-2,220068;
Líjar;Altitud sobre el nivel del mar;590,97998047;
Los Gallardos;Latitud;37,169521;
Los Gallardos;Longitud;-1,940058;
Los Gallardos;Altitud sobre el nivel del mar;115,91000366;
Lubrín;Latitud;37,215943;
Lubrín;Longitud;-2,067111;
Lubrín;Altitud sobre el nivel del mar;516,46002197;
Lucainena de las Torres;Latitud;37,040185;
Lucainena de las Torres;Longitud;-2,200936;
Lucainena de las Torres;Altitud sobre el nivel del mar;549,14001465;
Lúcar;Latitud;37,4011;
Lúcar;Longitud;-2,42424;
Lúcar;Altitud sobre el nivel del mar;911,75;
Macael;Latitud;37,332129;
Macael;Longitud;-2,304833;
Macael;Altitud sobre el nivel del mar;538,04998779;
María;Latitud;37,711233;
María;Longitud;-2,165775;
María;Altitud sobre el nivel del mar;1193,7800293;
Mojácar;Latitud;37,139911;
Mojácar;Longitud;-1,851279;
Mojácar;Altitud sobre el nivel del mar;158,33999634;
Nacimiento;Latitud;37,105229;
Nacimiento;Longitud;-2,647996;
Nacimiento;Altitud sobre el nivel del mar;595,05999756;
Níjar;Latitud;36,965668;
Níjar;Longitud;-2,206326;
Níjar;Altitud sobre el nivel del mar;353,02999878;
Ohanes;Latitud;37,037354;
Ohanes;Longitud;-2,745141;
Ohanes;Altitud sobre el nivel del mar;952,26000977;
Olula de Castro;Latitud;37,174722;
Olula de Castro;Longitud;-2,474033;
Olula de Castro;Altitud sobre el nivel del mar;989,11999512;
Olula del Río;Latitud;37,352162;
Olula del Río;Longitud;-2,298208;
Olula del Río;Altitud sobre el nivel del mar;490,1499939;
Oria;Latitud;37,485139;
Oria;Longitud;-2,295063;
Oria;Altitud sobre el nivel del mar;1037,47998047;
Padules;Latitud;36,998427;
Padules;Longitud;-2,772876;
Padules;Altitud sobre el nivel del mar;738,71002197;
Partaloa;Latitud;37,405958;
Partaloa;Longitud;-2,226582;
Partaloa;Altitud sobre el nivel del mar;548,36999512;
Paterna del Río;Latitud;37,021575;
Paterna del Río;Longitud;-2,952771;
Paterna del Río;Altitud sobre el nivel del mar;1197,20996094;
Pechina;Latitud;36,916373;
Pechina;Longitud;-2,440549;
Pechina;Altitud sobre el nivel del mar;106,29000092;
Pulpí;Latitud;37,409687;
Pulpí;Longitud;-1,746669;
Pulpí;Altitud sobre el nivel del mar;191,16000366;
Purchena;Latitud;37,348487;
Purchena;Longitud;-2,360905;
Purchena;Altitud sobre el nivel del mar;532,32000732;
Rágol;Latitud;36,995486;
Rágol;Longitud;-2,681;
Rágol;Altitud sobre el nivel del mar;402,29998779;
Rioja;Latitud;36,943907;
Rioja;Longitud;-2,462431;
Rioja;Altitud sobre el nivel del mar;130,3999939;
Roquetas de Mar;Latitud;36,764468;
Roquetas de Mar;Longitud;-2,615305;
Roquetas de Mar;Altitud sobre el nivel del mar;7,44999981;
Santa Cruz de Marchena;Latitud;37,016678;
Santa Cruz de Marchena;Longitud;-2,603248;
Santa Cruz de Marchena;Altitud sobre el nivel del mar;328,85998535;
Santa Fe de Mondújar;Latitud;36,974847;
Santa Fe de Mondújar;Longitud;-2,530658;
Santa Fe de Mondújar;Altitud sobre el nivel del mar;216,02999878;
Senés;Latitud;37,204588;
Senés;Longitud;-2,347449;
Senés;Altitud sobre el nivel del mar;1013,09997559;
Serón;Latitud;37,343639;
Serón;Longitud;-2,508749;
Serón;Altitud sobre el nivel del mar;800,28997803;
Sierro;Latitud;37,32099;
Sierro;Longitud;-2,399444;
Sierro;Altitud sobre el nivel del mar;751,90997314;
Somontín;Latitud;37,392458;
Somontín;Longitud;-2,388426;
Somontín;Altitud sobre el nivel del mar;827,98999023;
Sorbas;Latitud;37,097995;
Sorbas;Longitud;-2,124218;
Sorbas;Altitud sobre el nivel del mar;402,30999756;
Suflí;Latitud;37,338496;
Suflí;Longitud;-2,389802;
Suflí;Altitud sobre el nivel del mar;633,08001709;
Tabernas;Latitud;37,049633;
Tabernas;Longitud;-2,392651;
Tabernas;Altitud sobre el nivel del mar;403,77999878;
Taberno;Latitud;37,468207;
Taberno;Longitud;-2,078566;
Taberno;Altitud sobre el nivel del mar;700,47998047;
Tahal;Latitud;37,227697;
Tahal;Longitud;-2,284702;
Tahal;Altitud sobre el nivel del mar;1011,67999268;
Terque;Latitud;36,983861;
Terque;Longitud;-2,597189;
Terque;Altitud sobre el nivel del mar;277,83999634;
Tíjola;Latitud;37,345251;
Tíjola;Longitud;-2,439779;
Tíjola;Altitud sobre el nivel del mar;680,95001221;
Turre;Latitud;37,152403;
Turre;Longitud;-1,894763;
Turre;Altitud sobre el nivel del mar;48,06999969;
Turrillas;Latitud;37,029838;
Turrillas;Longitud;-2,265112;
Turrillas;Altitud sobre el nivel del mar;838,67999268;
Uleila del Campo;Latitud;37,185045;
Uleila del Campo;Longitud;-2,203628;
Uleila del Campo;Altitud sobre el nivel del mar;619,21002197;
Urrácal;Latitud;37,397203;
Urrácal;Longitud;-2,365522;
Urrácal;Altitud sobre el nivel del mar;734,70001221;
Velefique;Latitud;37,193416;
Velefique;Longitud;-2,402742;
Velefique;Altitud sobre el nivel del mar;903,10998535;
Vélez-Blanco;Latitud;37,690814;
Vélez-Blanco;Longitud;-2,095522;
Vélez-Blanco;Altitud sobre el nivel del mar;1069,4699707;
Vélez-Rubio;Latitud;37,647854;
Vélez-Rubio;Longitud;-2,074209;
Vélez-Rubio;Altitud sobre el nivel del mar;833,80999756;
Vera;Latitud;37,246889;
Vera;Longitud;-1,868213;
Vera;Altitud sobre el nivel del mar;96,16000366;
Viator;Latitud;36,889754;
Viator;Longitud;-2,426383;
Viator;Altitud sobre el nivel del mar;69,87999725;
Vícar;Latitud;36,800205;
Vícar;Longitud;-2,646388;
Vícar;Altitud sobre el nivel del mar;105,84999847;
Zurgena;Latitud;37,342604;
Zurgena;Longitud;-2,039624;
Zurgena;Altitud sobre el nivel del mar;241,02000427;
Alcalá de los Gazules;Latitud;36,461918;
Alcalá de los Gazules;Longitud;-5,721263;
Alcalá de los Gazules;Altitud sobre el nivel del mar;167,00999451;
Alcalá del Valle;Latitud;36,905025;
Alcalá del Valle;Longitud;-5,173264;
Alcalá del Valle;Altitud sobre el nivel del mar;618,86999512;
Algar;Latitud;36,655279;
Algar;Longitud;-5,657568;
Algar;Altitud sobre el nivel del mar;205,30000305;
Algeciras;Latitud;36,131684;
Algeciras;Longitud;-5,447767;
Algeciras;Altitud sobre el nivel del mar;18,11000061;
Algodonales;Latitud;36,88073;
Algodonales;Longitud;-5,404604;
Algodonales;Altitud sobre el nivel del mar;365,58999634;
Arcos de la Frontera;Latitud;36,747979;
Arcos de la Frontera;Longitud;-5,806655;
Arcos de la Frontera;Altitud sobre el nivel del mar;183,05000305;
Barbate;Latitud;36,192893;
Barbate;Longitud;-5,918854;
Barbate;Altitud sobre el nivel del mar;10;
Benalup-Casas Viejas;Latitud;36,346441;
Benalup-Casas Viejas;Longitud;-5,812127;
Benalup-Casas Viejas;Altitud sobre el nivel del mar;106,75;
Benaocaz;Latitud;36,699493;
Benaocaz;Longitud;-5,421256;
Benaocaz;Altitud sobre el nivel del mar;792,98999023;
Bornos;Latitud;36,815414;
Bornos;Longitud;-5,744811;
Bornos;Altitud sobre el nivel del mar;160,33000183;
Cádiz (capital);Latitud;36,529539;
Cádiz (capital);Longitud;-6,292913;
Cádiz (capital);Altitud sobre el nivel del mar;2,8599999;
Castellar de la Frontera;Latitud;36,286044;
Castellar de la Frontera;Longitud;-5,420114;
Castellar de la Frontera;Altitud sobre el nivel del mar;27,09000015;
Chiclana de la Frontera;Latitud;36,419699;
Chiclana de la Frontera;Longitud;-6,149286;
Chiclana de la Frontera;Altitud sobre el nivel del mar;5,51000023;
Chipiona;Latitud;36,738002;
Chipiona;Longitud;-6,427671;
Chipiona;Altitud sobre el nivel del mar;5,82999992;
Conil de la Frontera;Latitud;36,277038;
Conil de la Frontera;Longitud;-6,088055;
Conil de la Frontera;Altitud sobre el nivel del mar;30,07999992;
El Bosque;Latitud;36,759293;
El Bosque;Longitud;-5,505291;
El Bosque;Altitud sobre el nivel del mar;285,05999756;
El Gastor;Latitud;36,854959;
El Gastor;Longitud;-5,323763;
El Gastor;Altitud sobre el nivel del mar;608,61999512;
El Puerto de Santa María;Latitud;36,594655;
El Puerto de Santa María;Longitud;-6,22782;
El Puerto de Santa María;Altitud sobre el nivel del mar;3,97000003;
Espera;Latitud;36,872679;
Espera;Longitud;-5,807175;
Espera;Altitud sobre el nivel del mar;144,80999756;
Grazalema;Latitud;36,758926;
Grazalema;Longitud;-5,366331;
Grazalema;Altitud sobre el nivel del mar;825,30999756;
Jerez de la Frontera;Latitud;36,682877;
Jerez de la Frontera;Longitud;-6,138431;
Jerez de la Frontera;Altitud sobre el nivel del mar;44,58000183;
Jimena de la Frontera;Latitud;36,434101;
Jimena de la Frontera;Longitud;-5,453467;
Jimena de la Frontera;Altitud sobre el nivel del mar;145,05000305;
La Línea de la Concepción;Latitud;36,160504;
La Línea de la Concepción;Longitud;-5,351808;
La Línea de la Concepción;Altitud sobre el nivel del mar;3,01999998;
Los Barrios;Latitud;36,185533;
Los Barrios;Longitud;-5,493038;
Los Barrios;Altitud sobre el nivel del mar;21,89999962;
Medina Sidonia;Latitud;36,456057;
Medina Sidonia;Longitud;-5,927587;
Medina Sidonia;Altitud sobre el nivel del mar;261,61999512;
Olvera;Latitud;36,935369;
Olvera;Longitud;-5,267563;
Olvera;Altitud sobre el nivel del mar;603,13000488;
Paterna de Rivera;Latitud;36,523191;
Paterna de Rivera;Longitud;-5,865788;
Paterna de Rivera;Altitud sobre el nivel del mar;123,01000214;
Prado del Rey;Latitud;36,787564;
Prado del Rey;Longitud;-5,556617;
Prado del Rey;Altitud sobre el nivel del mar;431,13000488;
Puerto Real;Latitud;36,528874;
Puerto Real;Longitud;-6,192335;
Puerto Real;Altitud sobre el nivel del mar;6,48000002;
Puerto Serrano;Latitud;36,923848;
Puerto Serrano;Longitud;-5,544358;
Puerto Serrano;Altitud sobre el nivel del mar;162,58000183;
Rota;Latitud;36,61842;
Rota;Longitud;-6,358085;
Rota;Altitud sobre el nivel del mar;9,22999954;
San Fernando;Latitud;36,464911;
San Fernando;Longitud;-6,198771;
San Fernando;Altitud sobre el nivel del mar;19,28000069;
San José del Valle;Latitud;36,605476;
San José del Valle;Longitud;-5,79884;
San José del Valle;Altitud sobre el nivel del mar;140,36999512;
San Martín del Tesorillo;Latitud;36,34109;
San Martín del Tesorillo;Longitud;-5,322914;
San Martín del Tesorillo;Altitud sobre el nivel del mar;11,69999981;
San Roque;Latitud;36,209636;
San Roque;Longitud;-5,383813;
San Roque;Altitud sobre el nivel del mar;103,58000183;
Sanlúcar de Barrameda;Latitud;36,775012;
Sanlúcar de Barrameda;Longitud;-6,354649;
Sanlúcar de Barrameda;Altitud sobre el nivel del mar;27,60000038;
Setenil de las Bodegas;Latitud;36,863958;
Setenil de las Bodegas;Longitud;-5,181404;
Setenil de las Bodegas;Altitud sobre el nivel del mar;560,27001953;
Tarifa;Latitud;36,011581;
Tarifa;Longitud;-5,602094;
Tarifa;Altitud sobre el nivel del mar;8,38000011;
Torre Alháquime;Latitud;36,915884;
Torre Alháquime;Longitud;-5,234348;
Torre Alháquime;Altitud sobre el nivel del mar;482,38000488;
Trebujena;Latitud;36,869573;
Trebujena;Longitud;-6,176709;
Trebujena;Altitud sobre el nivel del mar;70,58000183;
Ubrique;Latitud;36,677459;
Ubrique;Longitud;-5,443146;
Ubrique;Altitud sobre el nivel del mar;334,98999023;
Vejer de la Frontera;Latitud;36,253361;
Vejer de la Frontera;Longitud;-5,962855;
Vejer de la Frontera;Altitud sobre el nivel del mar;167,30000305;
Villaluenga del Rosario;Latitud;36,696409;
Villaluenga del Rosario;Longitud;-5,38633;
Villaluenga del Rosario;Altitud sobre el nivel del mar;867,48999023;
Villamartín;Latitud;36,861156;
Villamartín;Longitud;-5,641523;
Villamartín;Altitud sobre el nivel del mar;168,36999512;
Zahara;Latitud;36,840627;
Zahara;Longitud;-5,390829;
Zahara;Altitud sobre el nivel del mar;509,42001343;
Adamuz;Latitud;38,027443;
Adamuz;Longitud;-4,524987;
Adamuz;Altitud sobre el nivel del mar;243,72999573;
Aguilar de la Frontera;Latitud;37,515012;
Aguilar de la Frontera;Longitud;-4,656169;
Aguilar de la Frontera;Altitud sobre el nivel del mar;372,88000488;
Alcaracejos;Latitud;38,388257;
Alcaracejos;Longitud;-4,967698;
Alcaracejos;Altitud sobre el nivel del mar;607,57000732;
Almedinilla;Latitud;37,439002;
Almedinilla;Longitud;-4,090714;
Almedinilla;Altitud sobre el nivel del mar;628,35998535;
Almodóvar del Río;Latitud;37,809532;
Almodóvar del Río;Longitud;-5,019826;
Almodóvar del Río;Altitud sobre el nivel del mar;110,76000214;
Añora;Latitud;38,412229;
Añora;Longitud;-4,897914;
Añora;Altitud sobre el nivel del mar;625,07000732;
Baena;Latitud;37,614388;
Baena;Longitud;-4,326432;
Baena;Altitud sobre el nivel del mar;427,88000488;
Belalcázar;Latitud;38,578395;
Belalcázar;Longitud;-5,167082;
Belalcázar;Altitud sobre el nivel del mar;491,23001099;
Belmez;Latitud;38,272403;
Belmez;Longitud;-5,208721;
Belmez;Altitud sobre el nivel del mar;527,59002686;
Benamejí;Latitud;37,267541;
Benamejí;Longitud;-4,540447;
Benamejí;Altitud sobre el nivel del mar;455,48999023;
Bujalance;Latitud;37,897009;
Bujalance;Longitud;-4,382645;
Bujalance;Altitud sobre el nivel del mar;346,35998535;
Cabra;Latitud;37,473344;
Cabra;Longitud;-4,442479;
Cabra;Altitud sobre el nivel del mar;450,79998779;
Cañete de las Torres;Latitud;37,867528;
Cañete de las Torres;Longitud;-4,318804;
Cañete de las Torres;Altitud sobre el nivel del mar;321,86999512;
Carcabuey;Latitud;37,443627;
Carcabuey;Longitud;-4,273624;
Carcabuey;Altitud sobre el nivel del mar;624,04998779;
Cardeña;Latitud;38,270286;
Cardeña;Longitud;-4,323764;
Cardeña;Altitud sobre el nivel del mar;747,60998535;
Castro del Río;Latitud;37,688753;
Castro del Río;Longitud;-4,481677;
Castro del Río;Altitud sobre el nivel del mar;237,46000671;
Conquista;Latitud;38,408172;
Conquista;Longitud;-4,501055;
Conquista;Altitud sobre el nivel del mar;597,02001953;
Córdoba (capital);Latitud;37,884984;
Córdoba (capital);Longitud;-4,776235;
Córdoba (capital);Altitud sobre el nivel del mar;111,01999664;
Doña Mencía;Latitud;37,55447;
Doña Mencía;Longitud;-4,357639;
Doña Mencía;Altitud sobre el nivel del mar;590,26000977;
Dos Torres;Latitud;38,445221;
Dos Torres;Longitud;-4,894762;
Dos Torres;Altitud sobre el nivel del mar;586,44000244;
El Carpio;Latitud;37,940665;
El Carpio;Longitud;-4,498684;
El Carpio;Altitud sobre el nivel del mar;178,19999695;
El Guijo;Latitud;38,496128;
El Guijo;Longitud;-4,782865;
El Guijo;Altitud sobre el nivel del mar;565,84002686;
El Viso;Latitud;38,48269;
El Viso;Longitud;-4,955481;
El Viso;Altitud sobre el nivel del mar;574,63000488;
Encinas Reales;Latitud;37,272804;
Encinas Reales;Longitud;-4,487471;
Encinas Reales;Altitud sobre el nivel del mar;444,04998779;
Espejo;Latitud;37,682438;
Espejo;Longitud;-4,55225;
Espejo;Altitud sobre el nivel del mar;389,69000244;
Espiel;Latitud;38,188604;
Espiel;Longitud;-5,018259;
Espiel;Altitud sobre el nivel del mar;544,90997314;
Fernán-Núñez;Latitud;37,671937;
Fernán-Núñez;Longitud;-4,724009;
Fernán-Núñez;Altitud sobre el nivel del mar;313,8500061;
Fuente Carreteros;Latitud;37,669107;
Fuente Carreteros;Longitud;-5,155475;
Fuente Carreteros;Altitud sobre el nivel del mar;155,07000732;
Fuente la Lancha;Latitud;38,422586;
Fuente la Lancha;Longitud;-5,048896;
Fuente la Lancha;Altitud sobre el nivel del mar;558,21002197;
Fuente Obejuna;Latitud;38,267027;
Fuente Obejuna;Longitud;-5,419849;
Fuente Obejuna;Altitud sobre el nivel del mar;624,77001953;
Fuente Palmera;Latitud;37,703505;
Fuente Palmera;Longitud;-5,103925;
Fuente Palmera;Altitud sobre el nivel del mar;157,63000488;
Fuente-Tójar;Latitud;37,5093;
Fuente-Tójar;Longitud;-4,145245;
Fuente-Tójar;Altitud sobre el nivel del mar;606,88000488;
Guadalcázar;Latitud;37,757421;
Guadalcázar;Longitud;-4,944792;
Guadalcázar;Altitud sobre el nivel del mar;160,32000732;
Hinojosa del Duque;Latitud;38,499452;
Hinojosa del Duque;Longitud;-5,152051;
Hinojosa del Duque;Altitud sobre el nivel del mar;545,23999023;
Hornachuelos;Latitud;37,830749;
Hornachuelos;Longitud;-5,243372;
Hornachuelos;Altitud sobre el nivel del mar;148,91999817;
Iznájar;Latitud;37,257258;
Iznájar;Longitud;-4,308411;
Iznájar;Altitud sobre el nivel del mar;517,76000977;
La Carlota;Latitud;37,673578;
La Carlota;Longitud;-4,932812;
La Carlota;Altitud sobre el nivel del mar;213,53999329;
La Granjuela;Latitud;38,371032;
La Granjuela;Longitud;-5,351398;
La Granjuela;Altitud sobre el nivel del mar;553,07000732;
La Guijarrosa;Latitud;37,636618;
La Guijarrosa;Longitud;-4,864919;
La Guijarrosa;Altitud sobre el nivel del mar;290,64001465;
La Rambla;Latitud;37,607998;
La Rambla;Longitud;-4,742104;
La Rambla;Altitud sobre el nivel del mar;327,29000854;
La Victoria;Latitud;37,68106;
La Victoria;Longitud;-4,852287;
La Victoria;Altitud sobre el nivel del mar;263,89001465;
Los Blázquez;Latitud;38,406687;
Los Blázquez;Longitud;-5,438429;
Los Blázquez;Altitud sobre el nivel del mar;595,10998535;
Lucena;Latitud;37,408854;
Lucena;Longitud;-4,485644;
Lucena;Altitud sobre el nivel del mar;485,72000122;
Luque;Latitud;37,559418;
Luque;Longitud;-4,276476;
Luque;Altitud sobre el nivel del mar;662,40002441;
Montalbán de Córdoba;Latitud;37,582839;
Montalbán de Córdoba;Longitud;-4,749802;
Montalbán de Córdoba;Altitud sobre el nivel del mar;279,23001099;
Montemayor;Latitud;37,648243;
Montemayor;Longitud;-4,699232;
Montemayor;Altitud sobre el nivel del mar;388,01000977;
Montilla;Latitud;37,586221;
Montilla;Longitud;-4,640479;
Montilla;Altitud sobre el nivel del mar;373,77999878;
Montoro;Latitud;38,026218;
Montoro;Longitud;-4,381888;
Montoro;Altitud sobre el nivel del mar;195,13999939;
Monturque;Latitud;37,473342;
Monturque;Longitud;-4,581772;
Monturque;Altitud sobre el nivel del mar;376,33999634;
Moriles;Latitud;37,435352;
Moriles;Longitud;-4,608857;
Moriles;Altitud sobre el nivel del mar;376,38000488;
Nueva Carteya;Latitud;37,586209;
Nueva Carteya;Longitud;-4,467187;
Nueva Carteya;Altitud sobre el nivel del mar;431,80999756;
Obejo;Latitud;38,134277;
Obejo;Longitud;-4,800102;
Obejo;Altitud sobre el nivel del mar;703,03997803;
Palenciana;Latitud;37,249335;
Palenciana;Longitud;-4,583814;
Palenciana;Altitud sobre el nivel del mar;392,95001221;
Palma del Río;Latitud;37,701711;
Palma del Río;Longitud;-5,283386;
Palma del Río;Altitud sobre el nivel del mar;55,72999954;
Pedro Abad;Latitud;37,967199;
Pedro Abad;Longitud;-4,457219;
Pedro Abad;Altitud sobre el nivel del mar;161,5;
Pedroche;Latitud;38,428729;
Pedroche;Longitud;-4,763228;
Pedroche;Altitud sobre el nivel del mar;620,92999268;
Peñarroya-Pueblonuevo;Latitud;38,299784;
Peñarroya-Pueblonuevo;Longitud;-5,268556;
Peñarroya-Pueblonuevo;Altitud sobre el nivel del mar;534,59002686;
Posadas;Latitud;37,800449;
Posadas;Longitud;-5,107048;
Posadas;Altitud sobre el nivel del mar;86,41999817;
Pozoblanco;Latitud;38,377396;
Pozoblanco;Longitud;-4,848388;
Pozoblanco;Altitud sobre el nivel del mar;643,4699707;
Priego de Córdoba;Latitud;37,438917;
Priego de Córdoba;Longitud;-4,194907;
Priego de Córdoba;Altitud sobre el nivel del mar;650,70001221;
Puente Genil;Latitud;37,390452;
Puente Genil;Longitud;-4,77043;
Puente Genil;Altitud sobre el nivel del mar;215,72999573;
Rute;Latitud;37,325899;
Rute;Longitud;-4,37129;
Rute;Altitud sobre el nivel del mar;632,5300293;
San Sebastián de los Ballesteros;Latitud;37,654722;
San Sebastián de los Ballesteros;Longitud;-4,824905;
San Sebastián de los Ballesteros;Altitud sobre el nivel del mar;311,79998779;
Santa Eufemia;Latitud;38,595406;
Santa Eufemia;Longitud;-4,902757;
Santa Eufemia;Altitud sobre el nivel del mar;543,79998779;
