Territorio;Tipo de centro de AP;Medida;Valor;
Bacares;Centro de salud;Número de centros;-;
Bacares;Consultorio local;Número de centros;1;
Bacares;Consultorio auxiliar;Número de centros;-;
Bacares;TOTAL;Número de centros;1;
Balanegra;Centro de salud;Número de centros;-;
Balanegra;Consultorio local;Número de centros;1;
Balanegra;Consultorio auxiliar;Número de centros;-;
Balanegra;TOTAL;Número de centros;1;
Bayárcal;Centro de salud;Número de centros;-;
Bayárcal;Consultorio local;Número de centros;-;
Bayárcal;Consultorio auxiliar;Número de centros;1;
Bayárcal;TOTAL;Número de centros;1;
Bayarque;Centro de salud;Número de centros;-;
Bayarque;Consultorio local;Número de centros;-;
Bayarque;Consultorio auxiliar;Número de centros;1;
Bayarque;TOTAL;Número de centros;1;
Bédar;Centro de salud;Número de centros;-;
Bédar;Consultorio local;Número de centros;1;
Bédar;Consultorio auxiliar;Número de centros;-;
Bédar;TOTAL;Número de centros;1;
Beires;Centro de salud;Número de centros;-;
Beires;Consultorio local;Número de centros;-;
Beires;Consultorio auxiliar;Número de centros;1;
Beires;TOTAL;Número de centros;1;
Benahadux;Centro de salud;Número de centros;1;
Benahadux;Consultorio local;Número de centros;-;
Benahadux;Consultorio auxiliar;Número de centros;-;
Benahadux;TOTAL;Número de centros;1;
Benitagla;Centro de salud;Número de centros;-;
Benitagla;Consultorio local;Número de centros;-;
Benitagla;Consultorio auxiliar;Número de centros;1;
Benitagla;TOTAL;Número de centros;1;
Benizalón;Centro de salud;Número de centros;-;
Benizalón;Consultorio local;Número de centros;-;
Benizalón;Consultorio auxiliar;Número de centros;2;
Benizalón;TOTAL;Número de centros;2;
Bentarique;Centro de salud;Número de centros;-;
Bentarique;Consultorio local;Número de centros;1;
Bentarique;Consultorio auxiliar;Número de centros;-;
Bentarique;TOTAL;Número de centros;1;
Berja;Centro de salud;Número de centros;1;
Berja;Consultorio local;Número de centros;-;
Berja;Consultorio auxiliar;Número de centros;-;
Berja;TOTAL;Número de centros;1;
Canjáyar;Centro de salud;Número de centros;-;
Canjáyar;Consultorio local;Número de centros;1;
Canjáyar;Consultorio auxiliar;Número de centros;-;
Canjáyar;TOTAL;Número de centros;1;
Cantoria;Centro de salud;Número de centros;-;
Cantoria;Consultorio local;Número de centros;1;
Cantoria;Consultorio auxiliar;Número de centros;1;
Cantoria;TOTAL;Número de centros;2;
Carboneras;Centro de salud;Número de centros;1;
Carboneras;Consultorio local;Número de centros;-;
Carboneras;Consultorio auxiliar;Número de centros;4;
Carboneras;TOTAL;Número de centros;5;
Castro de Filabres;Centro de salud;Número de centros;-;
Castro de Filabres;Consultorio local;Número de centros;-;
Castro de Filabres;Consultorio auxiliar;Número de centros;1;
Castro de Filabres;TOTAL;Número de centros;1;
Chercos;Centro de salud;Número de centros;-;
Chercos;Consultorio local;Número de centros;-;
Chercos;Consultorio auxiliar;Número de centros;1;
Chercos;TOTAL;Número de centros;1;
Chirivel;Centro de salud;Número de centros;-;
Chirivel;Consultorio local;Número de centros;1;
Chirivel;Consultorio auxiliar;Número de centros;1;
Chirivel;TOTAL;Número de centros;2;
Cóbdar;Centro de salud;Número de centros;-;
Cóbdar;Consultorio local;Número de centros;-;
Cóbdar;Consultorio auxiliar;Número de centros;1;
Cóbdar;TOTAL;Número de centros;1;
Cuevas del Almanzora;Centro de salud;Número de centros;1;
Cuevas del Almanzora;Consultorio local;Número de centros;3;
Cuevas del Almanzora;Consultorio auxiliar;Número de centros;2;
Cuevas del Almanzora;TOTAL;Número de centros;6;
Dalías;Centro de salud;Número de centros;-;
Dalías;Consultorio local;Número de centros;1;
Dalías;Consultorio auxiliar;Número de centros;-;
Dalías;TOTAL;Número de centros;1;
El Ejido;Centro de salud;Número de centros;4;
El Ejido;Consultorio local;Número de centros;6;
El Ejido;Consultorio auxiliar;Número de centros;-;
El Ejido;TOTAL;Número de centros;10;
Enix;Centro de salud;Número de centros;-;
Enix;Consultorio local;Número de centros;-;
Enix;Consultorio auxiliar;Número de centros;1;
Enix;TOTAL;Número de centros;1;
Felix;Centro de salud;Número de centros;-;
Felix;Consultorio local;Número de centros;1;
Felix;Consultorio auxiliar;Número de centros;-;
Felix;TOTAL;Número de centros;1;
Fines;Centro de salud;Número de centros;-;
Fines;Consultorio local;Número de centros;1;
Fines;Consultorio auxiliar;Número de centros;-;
Fines;TOTAL;Número de centros;1;
Fiñana;Centro de salud;Número de centros;-;
Fiñana;Consultorio local;Número de centros;1;
Fiñana;Consultorio auxiliar;Número de centros;-;
Fiñana;TOTAL;Número de centros;1;
Fondón;Centro de salud;Número de centros;-;
Fondón;Consultorio local;Número de centros;1;
Fondón;Consultorio auxiliar;Número de centros;1;
Fondón;TOTAL;Número de centros;2;
Gádor;Centro de salud;Número de centros;-;
Gádor;Consultorio local;Número de centros;1;
Gádor;Consultorio auxiliar;Número de centros;-;
Gádor;TOTAL;Número de centros;1;
Garrucha;Centro de salud;Número de centros;-;
Garrucha;Consultorio local;Número de centros;1;
Garrucha;Consultorio auxiliar;Número de centros;-;
Garrucha;TOTAL;Número de centros;1;
Gérgal;Centro de salud;Número de centros;-;
Gérgal;Consultorio local;Número de centros;1;
Gérgal;Consultorio auxiliar;Número de centros;2;
Gérgal;TOTAL;Número de centros;3;
Huécija;Centro de salud;Número de centros;-;
Huécija;Consultorio local;Número de centros;-;
Huécija;Consultorio auxiliar;Número de centros;1;
Huécija;TOTAL;Número de centros;1;
Huércal de Almería;Centro de salud;Número de centros;-;
Huércal de Almería;Consultorio local;Número de centros;1;
Huércal de Almería;Consultorio auxiliar;Número de centros;2;
Huércal de Almería;TOTAL;Número de centros;3;
Huércal-Overa;Centro de salud;Número de centros;1;
Huércal-Overa;Consultorio local;Número de centros;3;
Huércal-Overa;Consultorio auxiliar;Número de centros;1;
Huércal-Overa;TOTAL;Número de centros;5;
Íllar;Centro de salud;Número de centros;-;
Íllar;Consultorio local;Número de centros;1;
Íllar;Consultorio auxiliar;Número de centros;-;
Íllar;TOTAL;Número de centros;1;
Instinción;Centro de salud;Número de centros;-;
Instinción;Consultorio local;Número de centros;1;
Instinción;Consultorio auxiliar;Número de centros;-;
Instinción;TOTAL;Número de centros;1;
La Mojonera;Centro de salud;Número de centros;1;
La Mojonera;Consultorio local;Número de centros;1;
La Mojonera;Consultorio auxiliar;Número de centros;-;
La Mojonera;TOTAL;Número de centros;2;
Las Tres Villas;Centro de salud;Número de centros;-;
Las Tres Villas;Consultorio local;Número de centros;-;
Las Tres Villas;Consultorio auxiliar;Número de centros;3;
Las Tres Villas;TOTAL;Número de centros;3;
Láujar de Andarax;Centro de salud;Número de centros;-;
Láujar de Andarax;Consultorio local;Número de centros;1;
Láujar de Andarax;Consultorio auxiliar;Número de centros;-;
Láujar de Andarax;TOTAL;Número de centros;1;
Líjar;Centro de salud;Número de centros;-;
Líjar;Consultorio local;Número de centros;1;
Líjar;Consultorio auxiliar;Número de centros;-;
Líjar;TOTAL;Número de centros;1;
Los Gallardos;Centro de salud;Número de centros;-;
Los Gallardos;Consultorio local;Número de centros;1;
Los Gallardos;Consultorio auxiliar;Número de centros;1;
Los Gallardos;TOTAL;Número de centros;2;
Lubrín;Centro de salud;Número de centros;-;
Lubrín;Consultorio local;Número de centros;1;
Lubrín;Consultorio auxiliar;Número de centros;7;
Lubrín;TOTAL;Número de centros;8;
Lucainena de las Torres;Centro de salud;Número de centros;-;
Lucainena de las Torres;Consultorio local;Número de centros;1;
Lucainena de las Torres;Consultorio auxiliar;Número de centros;1;
Lucainena de las Torres;TOTAL;Número de centros;2;
Lúcar;Centro de salud;Número de centros;-;
Lúcar;Consultorio local;Número de centros;1;
Lúcar;Consultorio auxiliar;Número de centros;1;
Lúcar;TOTAL;Número de centros;2;
Macael;Centro de salud;Número de centros;-;
Macael;Consultorio local;Número de centros;1;
Macael;Consultorio auxiliar;Número de centros;-;
Macael;TOTAL;Número de centros;1;
María;Centro de salud;Número de centros;-;
María;Consultorio local;Número de centros;1;
María;Consultorio auxiliar;Número de centros;1;
María;TOTAL;Número de centros;2;
Mojácar;Centro de salud;Número de centros;-;
Mojácar;Consultorio local;Número de centros;2;
Mojácar;Consultorio auxiliar;Número de centros;-;
Mojácar;TOTAL;Número de centros;2;
Nacimiento;Centro de salud;Número de centros;-;
Nacimiento;Consultorio local;Número de centros;1;
Nacimiento;Consultorio auxiliar;Número de centros;-;
Nacimiento;TOTAL;Número de centros;1;
Níjar;Centro de salud;Número de centros;1;
Níjar;Consultorio local;Número de centros;3;
Níjar;Consultorio auxiliar;Número de centros;16;
Níjar;TOTAL;Número de centros;20;
Ohanes;Centro de salud;Número de centros;-;
Ohanes;Consultorio local;Número de centros;1;
Ohanes;Consultorio auxiliar;Número de centros;-;
Ohanes;TOTAL;Número de centros;1;
Olula de Castro;Centro de salud;Número de centros;-;
Olula de Castro;Consultorio local;Número de centros;-;
Olula de Castro;Consultorio auxiliar;Número de centros;1;
Olula de Castro;TOTAL;Número de centros;1;
Olula del Río;Centro de salud;Número de centros;1;
Olula del Río;Consultorio local;Número de centros;-;
Olula del Río;Consultorio auxiliar;Número de centros;-;
Olula del Río;TOTAL;Número de centros;1;
Oria;Centro de salud;Número de centros;-;
Oria;Consultorio local;Número de centros;1;
Oria;Consultorio auxiliar;Número de centros;1;
Oria;TOTAL;Número de centros;2;
Padules;Centro de salud;Número de centros;-;
Padules;Consultorio local;Número de centros;1;
Padules;Consultorio auxiliar;Número de centros;-;
Padules;TOTAL;Número de centros;1;
Partaloa;Centro de salud;Número de centros;-;
Partaloa;Consultorio local;Número de centros;1;
Partaloa;Consultorio auxiliar;Número de centros;-;
Partaloa;TOTAL;Número de centros;1;
Paterna del Río;Centro de salud;Número de centros;-;
Paterna del Río;Consultorio local;Número de centros;1;
Paterna del Río;Consultorio auxiliar;Número de centros;-;
Paterna del Río;TOTAL;Número de centros;1;
Pechina;Centro de salud;Número de centros;-;
Pechina;Consultorio local;Número de centros;1;
Pechina;Consultorio auxiliar;Número de centros;-;
Pechina;TOTAL;Número de centros;1;
Pulpí;Centro de salud;Número de centros;-;
Pulpí;Consultorio local;Número de centros;3;
Pulpí;Consultorio auxiliar;Número de centros;3;
Pulpí;TOTAL;Número de centros;6;
Purchena;Centro de salud;Número de centros;-;
Purchena;Consultorio local;Número de centros;1;
Purchena;Consultorio auxiliar;Número de centros;-;
Purchena;TOTAL;Número de centros;1;
Rágol;Centro de salud;Número de centros;-;
Rágol;Consultorio local;Número de centros;-;
Rágol;Consultorio auxiliar;Número de centros;1;
Rágol;TOTAL;Número de centros;1;
Rioja;Centro de salud;Número de centros;-;
Rioja;Consultorio local;Número de centros;1;
Rioja;Consultorio auxiliar;Número de centros;-;
Rioja;TOTAL;Número de centros;1;
Roquetas de Mar;Centro de salud;Número de centros;5;
Roquetas de Mar;Consultorio local;Número de centros;2;
Roquetas de Mar;Consultorio auxiliar;Número de centros;1;
Roquetas de Mar;TOTAL;Número de centros;8;
Santa Cruz de Marchena;Centro de salud;Número de centros;-;
Santa Cruz de Marchena;Consultorio local;Número de centros;-;
Santa Cruz de Marchena;Consultorio auxiliar;Número de centros;1;
Santa Cruz de Marchena;TOTAL;Número de centros;1;
Santa Fe de Mondújar;Centro de salud;Número de centros;-;
Santa Fe de Mondújar;Consultorio local;Número de centros;1;
Santa Fe de Mondújar;Consultorio auxiliar;Número de centros;-;
Santa Fe de Mondújar;TOTAL;Número de centros;1;
Senés;Centro de salud;Número de centros;-;
Senés;Consultorio local;Número de centros;-;
Senés;Consultorio auxiliar;Número de centros;1;
Senés;TOTAL;Número de centros;1;
Serón;Centro de salud;Número de centros;1;
Serón;Consultorio local;Número de centros;-;
Serón;Consultorio auxiliar;Número de centros;-;
Serón;TOTAL;Número de centros;1;
Sierro;Centro de salud;Número de centros;-;
Sierro;Consultorio local;Número de centros;1;
Sierro;Consultorio auxiliar;Número de centros;-;
Sierro;TOTAL;Número de centros;1;
Somontín;Centro de salud;Número de centros;-;
Somontín;Consultorio local;Número de centros;1;
Somontín;Consultorio auxiliar;Número de centros;-;
Somontín;TOTAL;Número de centros;1;
Sorbas;Centro de salud;Número de centros;1;
Sorbas;Consultorio local;Número de centros;-;
Sorbas;Consultorio auxiliar;Número de centros;4;
Sorbas;TOTAL;Número de centros;5;
Suflí;Centro de salud;Número de centros;-;
Suflí;Consultorio local;Número de centros;-;
Suflí;Consultorio auxiliar;Número de centros;1;
Suflí;TOTAL;Número de centros;1;
Tabernas;Centro de salud;Número de centros;1;
Tabernas;Consultorio local;Número de centros;-;
Tabernas;Consultorio auxiliar;Número de centros;-;
Tabernas;TOTAL;Número de centros;1;
Taberno;Centro de salud;Número de centros;-;
Taberno;Consultorio local;Número de centros;1;
Taberno;Consultorio auxiliar;Número de centros;-;
Taberno;TOTAL;Número de centros;1;
Tahal;Centro de salud;Número de centros;-;
Tahal;Consultorio local;Número de centros;1;
Tahal;Consultorio auxiliar;Número de centros;1;
Tahal;TOTAL;Número de centros;2;
Terque;Centro de salud;Número de centros;-;
Terque;Consultorio local;Número de centros;-;
Terque;Consultorio auxiliar;Número de centros;1;
Terque;TOTAL;Número de centros;1;
Tíjola;Centro de salud;Número de centros;-;
Tíjola;Consultorio local;Número de centros;1;
Tíjola;Consultorio auxiliar;Número de centros;1;
Tíjola;TOTAL;Número de centros;2;
Turre;Centro de salud;Número de centros;-;
Turre;Consultorio local;Número de centros;1;
Turre;Consultorio auxiliar;Número de centros;-;
Turre;TOTAL;Número de centros;1;
Turrillas;Centro de salud;Número de centros;-;
Turrillas;Consultorio local;Número de centros;-;
Turrillas;Consultorio auxiliar;Número de centros;1;
Turrillas;TOTAL;Número de centros;1;
Uleila del Campo;Centro de salud;Número de centros;-;
Uleila del Campo;Consultorio local;Número de centros;1;
Uleila del Campo;Consultorio auxiliar;Número de centros;-;
Uleila del Campo;TOTAL;Número de centros;1;
Urrácal;Centro de salud;Número de centros;-;
Urrácal;Consultorio local;Número de centros;-;
Urrácal;Consultorio auxiliar;Número de centros;1;
Urrácal;TOTAL;Número de centros;1;
Velefique;Centro de salud;Número de centros;-;
Velefique;Consultorio local;Número de centros;1;
Velefique;Consultorio auxiliar;Número de centros;-;
Velefique;TOTAL;Número de centros;1;
Vélez-Blanco;Centro de salud;Número de centros;-;
Vélez-Blanco;Consultorio local;Número de centros;2;
Vélez-Blanco;Consultorio auxiliar;Número de centros;-;
Vélez-Blanco;TOTAL;Número de centros;2;
Vélez-Rubio;Centro de salud;Número de centros;1;
Vélez-Rubio;Consultorio local;Número de centros;-;
Vélez-Rubio;Consultorio auxiliar;Número de centros;-;
Vélez-Rubio;TOTAL;Número de centros;1;
Vera;Centro de salud;Número de centros;1;
Vera;Consultorio local;Número de centros;-;
Vera;Consultorio auxiliar;Número de centros;1;
Vera;TOTAL;Número de centros;2;
Viator;Centro de salud;Número de centros;-;
Viator;Consultorio local;Número de centros;1;
Viator;Consultorio auxiliar;Número de centros;-;
Viator;TOTAL;Número de centros;1;
Vícar;Centro de salud;Número de centros;2;
Vícar;Consultorio local;Número de centros;3;
Vícar;Consultorio auxiliar;Número de centros;1;
Vícar;TOTAL;Número de centros;6;
Zurgena;Centro de salud;Número de centros;-;
Zurgena;Consultorio local;Número de centros;2;
Zurgena;Consultorio auxiliar;Número de centros;-;
Zurgena;TOTAL;Número de centros;2;
Cádiz;Centro de salud;Número de centros;56;
Cádiz;Consultorio local;Número de centros;53;
Cádiz;Consultorio auxiliar;Número de centros;26;
Cádiz;TOTAL;Número de centros;135;
Alcalá de los Gazules;Centro de salud;Número de centros;-;
Alcalá de los Gazules;Consultorio local;Número de centros;1;
Alcalá de los Gazules;Consultorio auxiliar;Número de centros;-;
Alcalá de los Gazules;TOTAL;Número de centros;1;
Alcalá del Valle;Centro de salud;Número de centros;1;
Alcalá del Valle;Consultorio local;Número de centros;-;
Alcalá del Valle;Consultorio auxiliar;Número de centros;-;
Alcalá del Valle;TOTAL;Número de centros;1;
Algar;Centro de salud;Número de centros;-;
Algar;Consultorio local;Número de centros;1;
Algar;Consultorio auxiliar;Número de centros;-;
Algar;TOTAL;Número de centros;1;
Algeciras;Centro de salud;Número de centros;3;
Algeciras;Consultorio local;Número de centros;6;
Algeciras;Consultorio auxiliar;Número de centros;1;
Algeciras;TOTAL;Número de centros;10;
Algodonales;Centro de salud;Número de centros;-;
Algodonales;Consultorio local;Número de centros;1;
Algodonales;Consultorio auxiliar;Número de centros;1;
Algodonales;TOTAL;Número de centros;2;
Arcos de la Frontera;Centro de salud;Número de centros;1;
Arcos de la Frontera;Consultorio local;Número de centros;3;
Arcos de la Frontera;Consultorio auxiliar;Número de centros;-;
Arcos de la Frontera;TOTAL;Número de centros;4;
Barbate;Centro de salud;Número de centros;1;
Barbate;Consultorio local;Número de centros;2;
Barbate;Consultorio auxiliar;Número de centros;-;
Barbate;TOTAL;Número de centros;3;
Benalup-Casas Viejas;Centro de salud;Número de centros;1;
Benalup-Casas Viejas;Consultorio local;Número de centros;-;
Benalup-Casas Viejas;Consultorio auxiliar;Número de centros;-;
Benalup-Casas Viejas;TOTAL;Número de centros;1;
Benaocaz;Centro de salud;Número de centros;-;
Benaocaz;Consultorio local;Número de centros;1;
Benaocaz;Consultorio auxiliar;Número de centros;-;
Benaocaz;TOTAL;Número de centros;1;
Bornos;Centro de salud;Número de centros;-;
Bornos;Consultorio local;Número de centros;2;
Bornos;Consultorio auxiliar;Número de centros;-;
Bornos;TOTAL;Número de centros;2;
Cádiz (capital);Centro de salud;Número de centros;7;
Cádiz (capital);Consultorio local;Número de centros;-;
Cádiz (capital);Consultorio auxiliar;Número de centros;-;
Cádiz (capital);TOTAL;Número de centros;7;
Castellar de la Frontera;Centro de salud;Número de centros;-;
Castellar de la Frontera;Consultorio local;Número de centros;1;
Castellar de la Frontera;Consultorio auxiliar;Número de centros;1;
Castellar de la Frontera;TOTAL;Número de centros;2;
Chiclana de la Frontera;Centro de salud;Número de centros;2;
Chiclana de la Frontera;Consultorio local;Número de centros;1;
Chiclana de la Frontera;Consultorio auxiliar;Número de centros;-;
Chiclana de la Frontera;TOTAL;Número de centros;3;
Chipiona;Centro de salud;Número de centros;1;
Chipiona;Consultorio local;Número de centros;1;
Chipiona;Consultorio auxiliar;Número de centros;-;
Chipiona;TOTAL;Número de centros;2;
Conil de la Frontera;Centro de salud;Número de centros;1;
Conil de la Frontera;Consultorio local;Número de centros;1;
Conil de la Frontera;Consultorio auxiliar;Número de centros;-;
Conil de la Frontera;TOTAL;Número de centros;2;
El Bosque;Centro de salud;Número de centros;-;
El Bosque;Consultorio local;Número de centros;1;
El Bosque;Consultorio auxiliar;Número de centros;-;
El Bosque;TOTAL;Número de centros;1;
El Gastor;Centro de salud;Número de centros;-;
El Gastor;Consultorio local;Número de centros;1;
El Gastor;Consultorio auxiliar;Número de centros;-;
El Gastor;TOTAL;Número de centros;1;
El Puerto de Santa María;Centro de salud;Número de centros;5;
El Puerto de Santa María;Consultorio local;Número de centros;1;
El Puerto de Santa María;Consultorio auxiliar;Número de centros;1;
El Puerto de Santa María;TOTAL;Número de centros;7;
Espera;Centro de salud;Número de centros;-;
Espera;Consultorio local;Número de centros;1;
Espera;Consultorio auxiliar;Número de centros;-;
Espera;TOTAL;Número de centros;1;
Grazalema;Centro de salud;Número de centros;-;
Grazalema;Consultorio local;Número de centros;1;
Grazalema;Consultorio auxiliar;Número de centros;1;
Grazalema;TOTAL;Número de centros;2;
Jerez de la Frontera;Centro de salud;Número de centros;11;
Jerez de la Frontera;Consultorio local;Número de centros;2;
Jerez de la Frontera;Consultorio auxiliar;Número de centros;12;
Jerez de la Frontera;TOTAL;Número de centros;25;
Jimena de la Frontera;Centro de salud;Número de centros;1;
Jimena de la Frontera;Consultorio local;Número de centros;1;
Jimena de la Frontera;Consultorio auxiliar;Número de centros;-;
Jimena de la Frontera;TOTAL;Número de centros;2;
La Línea de la Concepción;Centro de salud;Número de centros;3;
La Línea de la Concepción;Consultorio local;Número de centros;-;
La Línea de la Concepción;Consultorio auxiliar;Número de centros;-;
La Línea de la Concepción;TOTAL;Número de centros;3;
Los Barrios;Centro de salud;Número de centros;1;
Los Barrios;Consultorio local;Número de centros;3;
Los Barrios;Consultorio auxiliar;Número de centros;-;
Los Barrios;TOTAL;Número de centros;4;
Medina Sidonia;Centro de salud;Número de centros;1;
Medina Sidonia;Consultorio local;Número de centros;-;
Medina Sidonia;Consultorio auxiliar;Número de centros;1;
Medina Sidonia;TOTAL;Número de centros;2;
Olvera;Centro de salud;Número de centros;1;
Olvera;Consultorio local;Número de centros;-;
Olvera;Consultorio auxiliar;Número de centros;-;
Olvera;TOTAL;Número de centros;1;
Paterna de Rivera;Centro de salud;Número de centros;-;
Paterna de Rivera;Consultorio local;Número de centros;1;
Paterna de Rivera;Consultorio auxiliar;Número de centros;-;
Paterna de Rivera;TOTAL;Número de centros;1;
Prado del Rey;Centro de salud;Número de centros;-;
Prado del Rey;Consultorio local;Número de centros;1;
Prado del Rey;Consultorio auxiliar;Número de centros;-;
Prado del Rey;TOTAL;Número de centros;1;
Puerto Real;Centro de salud;Número de centros;2;
Puerto Real;Consultorio local;Número de centros;2;
Puerto Real;Consultorio auxiliar;Número de centros;-;
Puerto Real;TOTAL;Número de centros;4;
Puerto Serrano;Centro de salud;Número de centros;-;
Puerto Serrano;Consultorio local;Número de centros;1;
Puerto Serrano;Consultorio auxiliar;Número de centros;-;
Puerto Serrano;TOTAL;Número de centros;1;
Rota;Centro de salud;Número de centros;1;
Rota;Consultorio local;Número de centros;-;
Rota;Consultorio auxiliar;Número de centros;-;
Rota;TOTAL;Número de centros;1;
San Fernando;Centro de salud;Número de centros;3;
San Fernando;Consultorio local;Número de centros;-;
San Fernando;Consultorio auxiliar;Número de centros;-;
San Fernando;TOTAL;Número de centros;3;
San José del Valle;Centro de salud;Número de centros;-;
San José del Valle;Consultorio local;Número de centros;1;
San José del Valle;Consultorio auxiliar;Número de centros;-;
San José del Valle;TOTAL;Número de centros;1;
San Martín del Tesorillo;Centro de salud;Número de centros;-;
San Martín del Tesorillo;Consultorio local;Número de centros;1;
San Martín del Tesorillo;Consultorio auxiliar;Número de centros;-;
San Martín del Tesorillo;TOTAL;Número de centros;1;
San Roque;Centro de salud;Número de centros;2;
San Roque;Consultorio local;Número de centros;6;
San Roque;Consultorio auxiliar;Número de centros;2;
San Roque;TOTAL;Número de centros;10;
Sanlúcar de Barrameda;Centro de salud;Número de centros;2;
Sanlúcar de Barrameda;Consultorio local;Número de centros;3;
Sanlúcar de Barrameda;Consultorio auxiliar;Número de centros;-;
Sanlúcar de Barrameda;TOTAL;Número de centros;5;
Setenil de las Bodegas;Centro de salud;Número de centros;-;
Setenil de las Bodegas;Consultorio local;Número de centros;1;
Setenil de las Bodegas;Consultorio auxiliar;Número de centros;-;
Setenil de las Bodegas;TOTAL;Número de centros;1;
Tarifa;Centro de salud;Número de centros;1;
Tarifa;Consultorio local;Número de centros;2;
Tarifa;Consultorio auxiliar;Número de centros;1;
Tarifa;TOTAL;Número de centros;4;
Torre Alháquime;Centro de salud;Número de centros;-;
Torre Alháquime;Consultorio local;Número de centros;1;
Torre Alháquime;Consultorio auxiliar;Número de centros;-;
Torre Alháquime;TOTAL;Número de centros;1;
Trebujena;Centro de salud;Número de centros;1;
Trebujena;Consultorio local;Número de centros;-;
Trebujena;Consultorio auxiliar;Número de centros;-;
Trebujena;TOTAL;Número de centros;1;
Ubrique;Centro de salud;Número de centros;1;
Ubrique;Consultorio local;Número de centros;-;
Ubrique;Consultorio auxiliar;Número de centros;-;
Ubrique;TOTAL;Número de centros;1;
Vejer de la Frontera;Centro de salud;Número de centros;1;
Vejer de la Frontera;Consultorio local;Número de centros;-;
Vejer de la Frontera;Consultorio auxiliar;Número de centros;4;
Vejer de la Frontera;TOTAL;Número de centros;5;
Villaluenga del Rosario;Centro de salud;Número de centros;-;
Villaluenga del Rosario;Consultorio local;Número de centros;-;
Villaluenga del Rosario;Consultorio auxiliar;Número de centros;1;
Villaluenga del Rosario;TOTAL;Número de centros;1;
