Territorio;Tipología de servicios sociales;Medida;Valor;
Canjáyar;Personas con discapacidad;Nº de centros;-;
Canjáyar;Personas con enfermedad mental;Nº de centros;-;
Canjáyar;Personas con adicciones;Nº de centros;-;
Canjáyar;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Canjáyar;Personas de etnia gitana;Nº de centros;-;
Canjáyar;Menores del sistema de protección;Nº de centros;-;
Canjáyar;TOTAL;Nº de centros;1;
Cantoria;Población general;Nº de centros;1;
Cantoria;Personas mayores;Nº de centros;2;
Cantoria;Mujeres;Nº de centros;1;
Cantoria;Personas con discapacidad;Nº de centros;-;
Cantoria;Personas con enfermedad mental;Nº de centros;-;
Cantoria;Personas con adicciones;Nº de centros;-;
Cantoria;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Cantoria;Personas de etnia gitana;Nº de centros;-;
Cantoria;Menores del sistema de protección;Nº de centros;-;
Cantoria;TOTAL;Nº de centros;4;
Chercos;Población general;Nº de centros;-;
Chercos;Personas mayores;Nº de centros;1;
Chercos;Mujeres;Nº de centros;-;
Chercos;Personas con discapacidad;Nº de centros;-;
Chercos;Personas con enfermedad mental;Nº de centros;-;
Chercos;Personas con adicciones;Nº de centros;-;
Chercos;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Chercos;Personas de etnia gitana;Nº de centros;-;
Chercos;Menores del sistema de protección;Nº de centros;-;
Chercos;TOTAL;Nº de centros;1;
Chirivel;Población general;Nº de centros;-;
Chirivel;Personas mayores;Nº de centros;3;
Chirivel;Mujeres;Nº de centros;-;
Chirivel;Personas con discapacidad;Nº de centros;-;
Chirivel;Personas con enfermedad mental;Nº de centros;-;
Chirivel;Personas con adicciones;Nº de centros;-;
Chirivel;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Chirivel;Personas de etnia gitana;Nº de centros;-;
Chirivel;Menores del sistema de protección;Nº de centros;-;
Chirivel;TOTAL;Nº de centros;3;
Cuevas del Almanzora;Población general;Nº de centros;-;
Cuevas del Almanzora;Personas mayores;Nº de centros;5;
Cuevas del Almanzora;Mujeres;Nº de centros;1;
Cuevas del Almanzora;Personas con discapacidad;Nº de centros;-;
Cuevas del Almanzora;Personas con enfermedad mental;Nº de centros;-;
Cuevas del Almanzora;Personas con adicciones;Nº de centros;-;
Cuevas del Almanzora;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Cuevas del Almanzora;Personas de etnia gitana;Nº de centros;-;
Cuevas del Almanzora;Menores del sistema de protección;Nº de centros;-;
Cuevas del Almanzora;TOTAL;Nº de centros;6;
Dalías;Población general;Nº de centros;-;
Dalías;Personas mayores;Nº de centros;1;
Dalías;Mujeres;Nº de centros;-;
Dalías;Personas con discapacidad;Nº de centros;-;
Dalías;Personas con enfermedad mental;Nº de centros;-;
Dalías;Personas con adicciones;Nº de centros;-;
Dalías;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Dalías;Personas de etnia gitana;Nº de centros;-;
Dalías;Menores del sistema de protección;Nº de centros;-;
Dalías;TOTAL;Nº de centros;1;
El Ejido;Población general;Nº de centros;1;
El Ejido;Personas mayores;Nº de centros;3;
El Ejido;Mujeres;Nº de centros;1;
El Ejido;Personas con discapacidad;Nº de centros;5;
El Ejido;Personas con enfermedad mental;Nº de centros;3;
El Ejido;Personas con adicciones;Nº de centros;2;
El Ejido;Personas en situación o riesgo de exclusión social;Nº de centros;-;
El Ejido;Personas de etnia gitana;Nº de centros;-;
El Ejido;Menores del sistema de protección;Nº de centros;-;
El Ejido;TOTAL;Nº de centros;15;
Fiñana;Población general;Nº de centros;-;
Fiñana;Personas mayores;Nº de centros;2;
Fiñana;Mujeres;Nº de centros;-;
Fiñana;Personas con discapacidad;Nº de centros;-;
Fiñana;Personas con enfermedad mental;Nº de centros;-;
Fiñana;Personas con adicciones;Nº de centros;-;
Fiñana;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Fiñana;Personas de etnia gitana;Nº de centros;-;
Fiñana;Menores del sistema de protección;Nº de centros;-;
Fiñana;TOTAL;Nº de centros;2;
Fondón;Población general;Nº de centros;-;
Fondón;Personas mayores;Nº de centros;1;
Fondón;Mujeres;Nº de centros;-;
Fondón;Personas con discapacidad;Nº de centros;-;
Fondón;Personas con enfermedad mental;Nº de centros;-;
Fondón;Personas con adicciones;Nº de centros;-;
Fondón;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Fondón;Personas de etnia gitana;Nº de centros;-;
Fondón;Menores del sistema de protección;Nº de centros;-;
Fondón;TOTAL;Nº de centros;1;
Gádor;Población general;Nº de centros;-;
Gádor;Personas mayores;Nº de centros;1;
Gádor;Mujeres;Nº de centros;-;
Gádor;Personas con discapacidad;Nº de centros;-;
Gádor;Personas con enfermedad mental;Nº de centros;-;
Gádor;Personas con adicciones;Nº de centros;-;
Gádor;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Gádor;Personas de etnia gitana;Nº de centros;-;
Gádor;Menores del sistema de protección;Nº de centros;-;
Gádor;TOTAL;Nº de centros;1;
Garrucha;Población general;Nº de centros;-;
Garrucha;Personas mayores;Nº de centros;1;
Garrucha;Mujeres;Nº de centros;-;
Garrucha;Personas con discapacidad;Nº de centros;-;
Garrucha;Personas con enfermedad mental;Nº de centros;-;
Garrucha;Personas con adicciones;Nº de centros;-;
Garrucha;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Garrucha;Personas de etnia gitana;Nº de centros;-;
Garrucha;Menores del sistema de protección;Nº de centros;-;
Garrucha;TOTAL;Nº de centros;1;
Gérgal;Población general;Nº de centros;-;
Gérgal;Personas mayores;Nº de centros;2;
Gérgal;Mujeres;Nº de centros;-;
Gérgal;Personas con discapacidad;Nº de centros;-;
Gérgal;Personas con enfermedad mental;Nº de centros;-;
Gérgal;Personas con adicciones;Nº de centros;-;
Gérgal;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Gérgal;Personas de etnia gitana;Nº de centros;-;
Gérgal;Menores del sistema de protección;Nº de centros;-;
Gérgal;TOTAL;Nº de centros;2;
Huécija;Población general;Nº de centros;-;
Huécija;Personas mayores;Nº de centros;1;
Huécija;Mujeres;Nº de centros;-;
Huécija;Personas con discapacidad;Nº de centros;-;
Huécija;Personas con enfermedad mental;Nº de centros;-;
Huécija;Personas con adicciones;Nº de centros;-;
Huécija;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Huécija;Personas de etnia gitana;Nº de centros;-;
Huécija;Menores del sistema de protección;Nº de centros;-;
Huécija;TOTAL;Nº de centros;1;
Huércal de Almería;Población general;Nº de centros;1;
Huércal de Almería;Personas mayores;Nº de centros;-;
Huércal de Almería;Mujeres;Nº de centros;-;
Huércal de Almería;Personas con discapacidad;Nº de centros;3;
Huércal de Almería;Personas con enfermedad mental;Nº de centros;-;
Huércal de Almería;Personas con adicciones;Nº de centros;-;
Huércal de Almería;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Huércal de Almería;Personas de etnia gitana;Nº de centros;-;
Huércal de Almería;Menores del sistema de protección;Nº de centros;-;
Huércal de Almería;TOTAL;Nº de centros;4;
Huércal-Overa;Población general;Nº de centros;1;
Huércal-Overa;Personas mayores;Nº de centros;4;
Huércal-Overa;Mujeres;Nº de centros;1;
Huércal-Overa;Personas con discapacidad;Nº de centros;1;
Huércal-Overa;Personas con enfermedad mental;Nº de centros;1;
Huércal-Overa;Personas con adicciones;Nº de centros;-;
Huércal-Overa;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Huércal-Overa;Personas de etnia gitana;Nº de centros;-;
Huércal-Overa;Menores del sistema de protección;Nº de centros;-;
Huércal-Overa;TOTAL;Nº de centros;8;
Íllar;Población general;Nº de centros;-;
Íllar;Personas mayores;Nº de centros;1;
Íllar;Mujeres;Nº de centros;-;
Íllar;Personas con discapacidad;Nº de centros;-;
Íllar;Personas con enfermedad mental;Nº de centros;-;
Íllar;Personas con adicciones;Nº de centros;-;
Íllar;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Íllar;Personas de etnia gitana;Nº de centros;-;
Íllar;Menores del sistema de protección;Nº de centros;-;
Íllar;TOTAL;Nº de centros;1;
La Mojonera;Población general;Nº de centros;1;
La Mojonera;Personas mayores;Nº de centros;-;
La Mojonera;Mujeres;Nº de centros;-;
La Mojonera;Personas con discapacidad;Nº de centros;-;
La Mojonera;Personas con enfermedad mental;Nº de centros;-;
La Mojonera;Personas con adicciones;Nº de centros;-;
La Mojonera;Personas en situación o riesgo de exclusión social;Nº de centros;-;
La Mojonera;Personas de etnia gitana;Nº de centros;-;
La Mojonera;Menores del sistema de protección;Nº de centros;-;
La Mojonera;TOTAL;Nº de centros;1;
Laujar de Andarax;Población general;Nº de centros;-;
Laujar de Andarax;Personas mayores;Nº de centros;1;
Laujar de Andarax;Mujeres;Nº de centros;-;
Laujar de Andarax;Personas con discapacidad;Nº de centros;-;
Laujar de Andarax;Personas con enfermedad mental;Nº de centros;-;
Laujar de Andarax;Personas con adicciones;Nº de centros;1;
Laujar de Andarax;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Laujar de Andarax;Personas de etnia gitana;Nº de centros;-;
Laujar de Andarax;Menores del sistema de protección;Nº de centros;-;
Laujar de Andarax;TOTAL;Nº de centros;2;
Los Gallardos;Población general;Nº de centros;-;
Los Gallardos;Personas mayores;Nº de centros;1;
Los Gallardos;Mujeres;Nº de centros;-;
Los Gallardos;Personas con discapacidad;Nº de centros;-;
Los Gallardos;Personas con enfermedad mental;Nº de centros;-;
Los Gallardos;Personas con adicciones;Nº de centros;-;
Los Gallardos;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Los Gallardos;Personas de etnia gitana;Nº de centros;-;
Los Gallardos;Menores del sistema de protección;Nº de centros;-;
Los Gallardos;TOTAL;Nº de centros;1;
Macael;Población general;Nº de centros;-;
Macael;Personas mayores;Nº de centros;1;
Macael;Mujeres;Nº de centros;1;
Macael;Personas con discapacidad;Nº de centros;2;
Macael;Personas con enfermedad mental;Nº de centros;-;
Macael;Personas con adicciones;Nº de centros;1;
Macael;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Macael;Personas de etnia gitana;Nº de centros;-;
Macael;Menores del sistema de protección;Nº de centros;-;
Macael;TOTAL;Nº de centros;5;
María;Población general;Nº de centros;-;
María;Personas mayores;Nº de centros;1;
María;Mujeres;Nº de centros;-;
María;Personas con discapacidad;Nº de centros;-;
María;Personas con enfermedad mental;Nº de centros;-;
María;Personas con adicciones;Nº de centros;-;
María;Personas en situación o riesgo de exclusión social;Nº de centros;-;
María;Personas de etnia gitana;Nº de centros;-;
María;Menores del sistema de protección;Nº de centros;-;
María;TOTAL;Nº de centros;1;
Níjar;Población general;Nº de centros;1;
Níjar;Personas mayores;Nº de centros;6;
Níjar;Mujeres;Nº de centros;1;
Níjar;Personas con discapacidad;Nº de centros;-;
Níjar;Personas con enfermedad mental;Nº de centros;-;
Níjar;Personas con adicciones;Nº de centros;1;
Níjar;Personas en situación o riesgo de exclusión social;Nº de centros;5;
Níjar;Personas de etnia gitana;Nº de centros;-;
Níjar;Menores del sistema de protección;Nº de centros;-;
Níjar;TOTAL;Nº de centros;14;
Olula del Río;Población general;Nº de centros;1;
Olula del Río;Personas mayores;Nº de centros;1;
Olula del Río;Mujeres;Nº de centros;-;
Olula del Río;Personas con discapacidad;Nº de centros;-;
Olula del Río;Personas con enfermedad mental;Nº de centros;-;
Olula del Río;Personas con adicciones;Nº de centros;-;
Olula del Río;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Olula del Río;Personas de etnia gitana;Nº de centros;-;
Olula del Río;Menores del sistema de protección;Nº de centros;-;
Olula del Río;TOTAL;Nº de centros;2;
Oria;Población general;Nº de centros;-;
Oria;Personas mayores;Nº de centros;1;
Oria;Mujeres;Nº de centros;-;
Oria;Personas con discapacidad;Nº de centros;-;
Oria;Personas con enfermedad mental;Nº de centros;-;
Oria;Personas con adicciones;Nº de centros;-;
Oria;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Oria;Personas de etnia gitana;Nº de centros;-;
Oria;Menores del sistema de protección;Nº de centros;-;
Oria;TOTAL;Nº de centros;1;
Padules;Población general;Nº de centros;-;
Padules;Personas mayores;Nº de centros;1;
Padules;Mujeres;Nº de centros;-;
Padules;Personas con discapacidad;Nº de centros;-;
Padules;Personas con enfermedad mental;Nº de centros;-;
Padules;Personas con adicciones;Nº de centros;-;
Padules;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Padules;Personas de etnia gitana;Nº de centros;-;
Padules;Menores del sistema de protección;Nº de centros;-;
Padules;TOTAL;Nº de centros;1;
Pechina;Población general;Nº de centros;-;
Pechina;Personas mayores;Nº de centros;3;
Pechina;Mujeres;Nº de centros;-;
Pechina;Personas con discapacidad;Nº de centros;-;
Pechina;Personas con enfermedad mental;Nº de centros;-;
Pechina;Personas con adicciones;Nº de centros;-;
Pechina;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Pechina;Personas de etnia gitana;Nº de centros;-;
Pechina;Menores del sistema de protección;Nº de centros;-;
Pechina;TOTAL;Nº de centros;3;
Pulpí;Población general;Nº de centros;-;
Pulpí;Personas mayores;Nº de centros;2;
Pulpí;Mujeres;Nº de centros;1;
Pulpí;Personas con discapacidad;Nº de centros;3;
Pulpí;Personas con enfermedad mental;Nº de centros;1;
Pulpí;Personas con adicciones;Nº de centros;-;
Pulpí;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Pulpí;Personas de etnia gitana;Nº de centros;-;
Pulpí;Menores del sistema de protección;Nº de centros;-;
Pulpí;TOTAL;Nº de centros;7;
Purchena;Población general;Nº de centros;-;
Purchena;Personas mayores;Nº de centros;1;
Purchena;Mujeres;Nº de centros;-;
Purchena;Personas con discapacidad;Nº de centros;-;
Purchena;Personas con enfermedad mental;Nº de centros;-;
Purchena;Personas con adicciones;Nº de centros;-;
Purchena;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Purchena;Personas de etnia gitana;Nº de centros;-;
Purchena;Menores del sistema de protección;Nº de centros;-;
Purchena;TOTAL;Nº de centros;1;
Roquetas de Mar;Población general;Nº de centros;1;
Roquetas de Mar;Personas mayores;Nº de centros;5;
Roquetas de Mar;Mujeres;Nº de centros;1;
Roquetas de Mar;Personas con discapacidad;Nº de centros;3;
Roquetas de Mar;Personas con enfermedad mental;Nº de centros;1;
Roquetas de Mar;Personas con adicciones;Nº de centros;1;
Roquetas de Mar;Personas en situación o riesgo de exclusión social;Nº de centros;2;
Roquetas de Mar;Personas de etnia gitana;Nº de centros;-;
Roquetas de Mar;Menores del sistema de protección;Nº de centros;-;
Roquetas de Mar;TOTAL;Nº de centros;14;
Serón;Población general;Nº de centros;-;
Serón;Personas mayores;Nº de centros;1;
Serón;Mujeres;Nº de centros;-;
Serón;Personas con discapacidad;Nº de centros;-;
Serón;Personas con enfermedad mental;Nº de centros;-;
Serón;Personas con adicciones;Nº de centros;-;
Serón;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Serón;Personas de etnia gitana;Nº de centros;-;
Serón;Menores del sistema de protección;Nº de centros;-;
Serón;TOTAL;Nº de centros;1;
Sorbas;Población general;Nº de centros;-;
Sorbas;Personas mayores;Nº de centros;2;
Sorbas;Mujeres;Nº de centros;-;
Sorbas;Personas con discapacidad;Nº de centros;-;
Sorbas;Personas con enfermedad mental;Nº de centros;-;
Sorbas;Personas con adicciones;Nº de centros;-;
Sorbas;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Sorbas;Personas de etnia gitana;Nº de centros;-;
Sorbas;Menores del sistema de protección;Nº de centros;-;
Sorbas;TOTAL;Nº de centros;2;
Tabernas;Población general;Nº de centros;1;
Tabernas;Personas mayores;Nº de centros;1;
Tabernas;Mujeres;Nº de centros;-;
Tabernas;Personas con discapacidad;Nº de centros;-;
Tabernas;Personas con enfermedad mental;Nº de centros;-;
Tabernas;Personas con adicciones;Nº de centros;-;
Tabernas;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Tabernas;Personas de etnia gitana;Nº de centros;-;
Tabernas;Menores del sistema de protección;Nº de centros;-;
Tabernas;TOTAL;Nº de centros;2;
Taberno;Población general;Nº de centros;-;
Taberno;Personas mayores;Nº de centros;1;
Taberno;Mujeres;Nº de centros;-;
Taberno;Personas con discapacidad;Nº de centros;-;
Taberno;Personas con enfermedad mental;Nº de centros;-;
Taberno;Personas con adicciones;Nº de centros;-;
Taberno;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Taberno;Personas de etnia gitana;Nº de centros;-;
Taberno;Menores del sistema de protección;Nº de centros;-;
Taberno;TOTAL;Nº de centros;1;
Terque;Población general;Nº de centros;-;
Terque;Personas mayores;Nº de centros;1;
Terque;Mujeres;Nº de centros;-;
Terque;Personas con discapacidad;Nº de centros;-;
Terque;Personas con enfermedad mental;Nº de centros;-;
Terque;Personas con adicciones;Nº de centros;-;
Terque;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Terque;Personas de etnia gitana;Nº de centros;-;
Terque;Menores del sistema de protección;Nº de centros;-;
Terque;TOTAL;Nº de centros;1;
Tíjola;Población general;Nº de centros;-;
Tíjola;Personas mayores;Nº de centros;1;
Tíjola;Mujeres;Nº de centros;-;
Tíjola;Personas con discapacidad;Nº de centros;3;
Tíjola;Personas con enfermedad mental;Nº de centros;-;
Tíjola;Personas con adicciones;Nº de centros;-;
Tíjola;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Tíjola;Personas de etnia gitana;Nº de centros;-;
Tíjola;Menores del sistema de protección;Nº de centros;-;
Tíjola;TOTAL;Nº de centros;4;
Turre;Población general;Nº de centros;1;
Turre;Personas mayores;Nº de centros;-;
Turre;Mujeres;Nº de centros;-;
Turre;Personas con discapacidad;Nº de centros;-;
Turre;Personas con enfermedad mental;Nº de centros;-;
Turre;Personas con adicciones;Nº de centros;-;
Turre;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Turre;Personas de etnia gitana;Nº de centros;-;
Turre;Menores del sistema de protección;Nº de centros;-;
Turre;TOTAL;Nº de centros;1;
Uleila del Campo;Población general;Nº de centros;-;
Uleila del Campo;Personas mayores;Nº de centros;1;
Uleila del Campo;Mujeres;Nº de centros;-;
Uleila del Campo;Personas con discapacidad;Nº de centros;-;
Uleila del Campo;Personas con enfermedad mental;Nº de centros;-;
Uleila del Campo;Personas con adicciones;Nº de centros;-;
Uleila del Campo;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Uleila del Campo;Personas de etnia gitana;Nº de centros;-;
Uleila del Campo;Menores del sistema de protección;Nº de centros;-;
Uleila del Campo;TOTAL;Nº de centros;1;
Vélez-Blanco;Población general;Nº de centros;-;
Vélez-Blanco;Personas mayores;Nº de centros;3;
Vélez-Blanco;Mujeres;Nº de centros;-;
Vélez-Blanco;Personas con discapacidad;Nº de centros;-;
Vélez-Blanco;Personas con enfermedad mental;Nº de centros;-;
Vélez-Blanco;Personas con adicciones;Nº de centros;-;
Vélez-Blanco;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Vélez-Blanco;Personas de etnia gitana;Nº de centros;-;
Vélez-Blanco;Menores del sistema de protección;Nº de centros;-;
Vélez-Blanco;TOTAL;Nº de centros;3;
Vélez-Rubio;Población general;Nº de centros;1;
Vélez-Rubio;Personas mayores;Nº de centros;4;
Vélez-Rubio;Mujeres;Nº de centros;1;
Vélez-Rubio;Personas con discapacidad;Nº de centros;5;
Vélez-Rubio;Personas con enfermedad mental;Nº de centros;-;
Vélez-Rubio;Personas con adicciones;Nº de centros;1;
Vélez-Rubio;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Vélez-Rubio;Personas de etnia gitana;Nº de centros;-;
Vélez-Rubio;Menores del sistema de protección;Nº de centros;-;
Vélez-Rubio;TOTAL;Nº de centros;12;
Vera;Población general;Nº de centros;1;
Vera;Personas mayores;Nº de centros;-;
Vera;Mujeres;Nº de centros;1;
Vera;Personas con discapacidad;Nº de centros;3;
Vera;Personas con enfermedad mental;Nº de centros;-;
Vera;Personas con adicciones;Nº de centros;1;
Vera;Personas en situación o riesgo de exclusión social;Nº de centros;1;
