Territorio;Edad;Sexo;Medida;Valor;
Alcóntar;De 16 a 64 años;Hombres;Población;176;
Alcóntar;De 16 a 64 años;Mujeres;Población;141;
Alcóntar;De 16 a 64 años;Ambos sexos;Población;317;
Alcóntar;De 65 y más años;Hombres;Población;110;
Alcóntar;De 65 y más años;Mujeres;Población;90;
Alcóntar;De 65 y más años;Ambos sexos;Población;200;
Alcóntar;TOTAL;Hombres;Población;308;
Alcóntar;TOTAL;Mujeres;Población;248;
Alcóntar;TOTAL;Ambos sexos;Población;556;
Alcudia de Monteagud;De 0 a 15 años;Hombres;Población;4;
Alcudia de Monteagud;De 0 a 15 años;Mujeres;Población;4;
Alcudia de Monteagud;De 0 a 15 años;Ambos sexos;Población;8;
Alcudia de Monteagud;De 16 a 64 años;Hombres;Población;43;
Alcudia de Monteagud;De 16 a 64 años;Mujeres;Población;36;
Alcudia de Monteagud;De 16 a 64 años;Ambos sexos;Población;79;
Alcudia de Monteagud;De 65 y más años;Hombres;Población;19;
Alcudia de Monteagud;De 65 y más años;Mujeres;Población;23;
Alcudia de Monteagud;De 65 y más años;Ambos sexos;Población;42;
Alcudia de Monteagud;TOTAL;Hombres;Población;66;
Alcudia de Monteagud;TOTAL;Mujeres;Población;63;
Alcudia de Monteagud;TOTAL;Ambos sexos;Población;129;
Alhabia;De 0 a 15 años;Hombres;Población;56;
Alhabia;De 0 a 15 años;Mujeres;Población;31;
Alhabia;De 0 a 15 años;Ambos sexos;Población;87;
Alhabia;De 16 a 64 años;Hombres;Población;276;
Alhabia;De 16 a 64 años;Mujeres;Población;219;
Alhabia;De 16 a 64 años;Ambos sexos;Población;495;
Alhabia;De 65 y más años;Hombres;Población;66;
Alhabia;De 65 y más años;Mujeres;Población;84;
Alhabia;De 65 y más años;Ambos sexos;Población;150;
Alhabia;TOTAL;Hombres;Población;398;
Alhabia;TOTAL;Mujeres;Población;334;
Alhabia;TOTAL;Ambos sexos;Población;732;
Alhama de Almería;De 0 a 15 años;Hombres;Población;357;
Alhama de Almería;De 0 a 15 años;Mujeres;Población;288;
Alhama de Almería;De 0 a 15 años;Ambos sexos;Población;645;
Alhama de Almería;De 16 a 64 años;Hombres;Población;1310;
Alhama de Almería;De 16 a 64 años;Mujeres;Población;1212;
Alhama de Almería;De 16 a 64 años;Ambos sexos;Población;2522;
Alhama de Almería;De 65 y más años;Hombres;Población;334;
Alhama de Almería;De 65 y más años;Mujeres;Población;403;
Alhama de Almería;De 65 y más años;Ambos sexos;Población;737;
Alhama de Almería;TOTAL;Hombres;Población;2001;
Alhama de Almería;TOTAL;Mujeres;Población;1903;
Alhama de Almería;TOTAL;Ambos sexos;Población;3904;
Alicún;De 0 a 15 años;Hombres;Población;7;
Alicún;De 0 a 15 años;Mujeres;Población;14;
Alicún;De 0 a 15 años;Ambos sexos;Población;21;
Alicún;De 16 a 64 años;Hombres;Población;70;
Alicún;De 16 a 64 años;Mujeres;Población;61;
Alicún;De 16 a 64 años;Ambos sexos;Población;131;
Alicún;De 65 y más años;Hombres;Población;28;
Alicún;De 65 y más años;Mujeres;Población;34;
Alicún;De 65 y más años;Ambos sexos;Población;62;
Alicún;TOTAL;Hombres;Población;105;
Alicún;TOTAL;Mujeres;Población;109;
Alicún;TOTAL;Ambos sexos;Población;214;
Almería (capital);De 0 a 15 años;Hombres;Población;17104;
Almería (capital);De 0 a 15 años;Mujeres;Población;16136;
Almería (capital);De 0 a 15 años;Ambos sexos;Población;33240;
Almería (capital);De 16 a 64 años;Hombres;Población;65747;
Almería (capital);De 16 a 64 años;Mujeres;Población;66740;
Almería (capital);De 16 a 64 años;Ambos sexos;Población;132487;
Almería (capital);De 65 y más años;Hombres;Población;15295;
Almería (capital);De 65 y más años;Mujeres;Población;20924;
Almería (capital);De 65 y más años;Ambos sexos;Población;36219;
Almería (capital);TOTAL;Hombres;Población;98146;
Almería (capital);TOTAL;Mujeres;Población;103800;
Almería (capital);TOTAL;Ambos sexos;Población;201946;
Almócita;De 0 a 15 años;Hombres;Población;10;
Almócita;De 0 a 15 años;Mujeres;Población;11;
Almócita;De 0 a 15 años;Ambos sexos;Población;21;
Almócita;De 16 a 64 años;Hombres;Población;81;
Almócita;De 16 a 64 años;Mujeres;Población;66;
Almócita;De 16 a 64 años;Ambos sexos;Población;147;
Almócita;De 65 y más años;Hombres;Población;18;
Almócita;De 65 y más años;Mujeres;Población;27;
Almócita;De 65 y más años;Ambos sexos;Población;45;
Almócita;TOTAL;Hombres;Población;109;
Almócita;TOTAL;Mujeres;Población;104;
Almócita;TOTAL;Ambos sexos;Población;213;
Alsodux;De 0 a 15 años;Hombres;Población;1;
Alsodux;De 0 a 15 años;Mujeres;Población;2;
Alsodux;De 0 a 15 años;Ambos sexos;Población;3;
Alsodux;De 16 a 64 años;Hombres;Población;55;
Alsodux;De 16 a 64 años;Mujeres;Población;39;
Alsodux;De 16 a 64 años;Ambos sexos;Población;94;
Alsodux;De 65 y más años;Hombres;Población;21;
Alsodux;De 65 y más años;Mujeres;Población;19;
Alsodux;De 65 y más años;Ambos sexos;Población;40;
Alsodux;TOTAL;Hombres;Población;77;
Alsodux;TOTAL;Mujeres;Población;60;
Alsodux;TOTAL;Ambos sexos;Población;137;
Antas;De 0 a 15 años;Hombres;Población;295;
Antas;De 0 a 15 años;Mujeres;Población;234;
Antas;De 0 a 15 años;Ambos sexos;Población;529;
Antas;De 16 a 64 años;Hombres;Población;1221;
Antas;De 16 a 64 años;Mujeres;Población;1054;
Antas;De 16 a 64 años;Ambos sexos;Población;2275;
Antas;De 65 y más años;Hombres;Población;295;
Antas;De 65 y más años;Mujeres;Población;340;
Antas;De 65 y más años;Ambos sexos;Población;635;
Antas;TOTAL;Hombres;Población;1811;
Antas;TOTAL;Mujeres;Población;1628;
Antas;TOTAL;Ambos sexos;Población;3439;
Arboleas;De 0 a 15 años;Hombres;Población;130;
Arboleas;De 0 a 15 años;Mujeres;Población;115;
Arboleas;De 0 a 15 años;Ambos sexos;Población;245;
Arboleas;De 16 a 64 años;Hombres;Población;1085;
Arboleas;De 16 a 64 años;Mujeres;Población;1102;
Arboleas;De 16 a 64 años;Ambos sexos;Población;2187;
Arboleas;De 65 y más años;Hombres;Población;948;
Arboleas;De 65 y más años;Mujeres;Población;916;
Arboleas;De 65 y más años;Ambos sexos;Población;1864;
Arboleas;TOTAL;Hombres;Población;2163;
Arboleas;TOTAL;Mujeres;Población;2133;
Arboleas;TOTAL;Ambos sexos;Población;4296;
Armuña de Almanzora;De 0 a 15 años;Hombres;Población;10;
Armuña de Almanzora;De 0 a 15 años;Mujeres;Población;11;
Armuña de Almanzora;De 0 a 15 años;Ambos sexos;Población;21;
Armuña de Almanzora;De 16 a 64 años;Hombres;Población;118;
Armuña de Almanzora;De 16 a 64 años;Mujeres;Población;102;
Armuña de Almanzora;De 16 a 64 años;Ambos sexos;Población;220;
Armuña de Almanzora;De 65 y más años;Hombres;Población;37;
Armuña de Almanzora;De 65 y más años;Mujeres;Población;52;
Armuña de Almanzora;De 65 y más años;Ambos sexos;Población;89;
Armuña de Almanzora;TOTAL;Hombres;Población;165;
Armuña de Almanzora;TOTAL;Mujeres;Población;165;
Armuña de Almanzora;TOTAL;Ambos sexos;Población;330;
Bacares;De 0 a 15 años;Hombres;Población;4;
Bacares;De 0 a 15 años;Mujeres;Población;7;
Bacares;De 0 a 15 años;Ambos sexos;Población;11;
Bacares;De 16 a 64 años;Hombres;Población;75;
Bacares;De 16 a 64 años;Mujeres;Población;49;
Bacares;De 16 a 64 años;Ambos sexos;Población;124;
Bacares;De 65 y más años;Hombres;Población;48;
Bacares;De 65 y más años;Mujeres;Población;56;
Bacares;De 65 y más años;Ambos sexos;Población;104;
Bacares;TOTAL;Hombres;Población;127;
Bacares;TOTAL;Mujeres;Población;112;
Bacares;TOTAL;Ambos sexos;Población;239;
Balanegra;De 0 a 15 años;Hombres;Población;254;
Balanegra;De 0 a 15 años;Mujeres;Población;237;
Balanegra;De 0 a 15 años;Ambos sexos;Población;491;
Balanegra;De 16 a 64 años;Hombres;Población;1152;
Balanegra;De 16 a 64 años;Mujeres;Población;993;
Balanegra;De 16 a 64 años;Ambos sexos;Población;2145;
Balanegra;De 65 y más años;Hombres;Población;178;
Balanegra;De 65 y más años;Mujeres;Población;213;
Balanegra;De 65 y más años;Ambos sexos;Población;391;
Balanegra;TOTAL;Hombres;Población;1584;
Balanegra;TOTAL;Mujeres;Población;1443;
Balanegra;TOTAL;Ambos sexos;Población;3027;
Bayárcal;De 0 a 15 años;Hombres;Población;16;
Bayárcal;De 0 a 15 años;Mujeres;Población;19;
Bayárcal;De 0 a 15 años;Ambos sexos;Población;35;
Bayárcal;De 16 a 64 años;Hombres;Población;100;
Bayárcal;De 16 a 64 años;Mujeres;Población;78;
Bayárcal;De 16 a 64 años;Ambos sexos;Población;178;
Bayárcal;De 65 y más años;Hombres;Población;44;
Bayárcal;De 65 y más años;Mujeres;Población;43;
Bayárcal;De 65 y más años;Ambos sexos;Población;87;
Bayárcal;TOTAL;Hombres;Población;160;
Bayárcal;TOTAL;Mujeres;Población;140;
Bayárcal;TOTAL;Ambos sexos;Población;300;
Bayarque;De 0 a 15 años;Hombres;Población;7;
Bayarque;De 0 a 15 años;Mujeres;Población;7;
Bayarque;De 0 a 15 años;Ambos sexos;Población;14;
Bayarque;De 16 a 64 años;Hombres;Población;64;
Bayarque;De 16 a 64 años;Mujeres;Población;76;
Bayarque;De 16 a 64 años;Ambos sexos;Población;140;
Bayarque;De 65 y más años;Hombres;Población;34;
Bayarque;De 65 y más años;Mujeres;Población;35;
Bayarque;De 65 y más años;Ambos sexos;Población;69;
Bayarque;TOTAL;Hombres;Población;105;
Bayarque;TOTAL;Mujeres;Población;118;
Bayarque;TOTAL;Ambos sexos;Población;223;
Bédar;De 0 a 15 años;Hombres;Población;26;
Bédar;De 0 a 15 años;Mujeres;Población;26;
Bédar;De 0 a 15 años;Ambos sexos;Población;52;
Bédar;De 16 a 64 años;Hombres;Población;253;
Bédar;De 16 a 64 años;Mujeres;Población;254;
Bédar;De 16 a 64 años;Ambos sexos;Población;507;
Bédar;De 65 y más años;Hombres;Población;210;
Bédar;De 65 y más años;Mujeres;Población;207;
Bédar;De 65 y más años;Ambos sexos;Población;417;
Bédar;TOTAL;Hombres;Población;489;
Bédar;TOTAL;Mujeres;Población;487;
Bédar;TOTAL;Ambos sexos;Población;976;
Beires;De 0 a 15 años;Hombres;Población;2;
Beires;De 0 a 15 años;Mujeres;Población;2;
Beires;De 0 a 15 años;Ambos sexos;Población;4;
Beires;De 16 a 64 años;Hombres;Población;56;
Beires;De 16 a 64 años;Mujeres;Población;33;
Beires;De 16 a 64 años;Ambos sexos;Población;89;
Beires;De 65 y más años;Hombres;Población;25;
Beires;De 65 y más años;Mujeres;Población;30;
Beires;De 65 y más años;Ambos sexos;Población;55;
Beires;TOTAL;Hombres;Población;83;
Beires;TOTAL;Mujeres;Población;65;
Beires;TOTAL;Ambos sexos;Población;148;
Benahadux;De 0 a 15 años;Hombres;Población;497;
Benahadux;De 0 a 15 años;Mujeres;Población;477;
Benahadux;De 0 a 15 años;Ambos sexos;Población;974;
Benahadux;De 16 a 64 años;Hombres;Población;1603;
Benahadux;De 16 a 64 años;Mujeres;Población;1600;
Benahadux;De 16 a 64 años;Ambos sexos;Población;3203;
Benahadux;De 65 y más años;Hombres;Población;283;
Benahadux;De 65 y más años;Mujeres;Población;355;
Benahadux;De 65 y más años;Ambos sexos;Población;638;
Benahadux;TOTAL;Hombres;Población;2383;
Benahadux;TOTAL;Mujeres;Población;2432;
Benahadux;TOTAL;Ambos sexos;Población;4815;
Benitagla;De 0 a 15 años;Hombres;Población;-;
Benitagla;De 0 a 15 años;Mujeres;Población;2;
Benitagla;De 0 a 15 años;Ambos sexos;Población;2;
Benitagla;De 16 a 64 años;Hombres;Población;22;
Benitagla;De 16 a 64 años;Mujeres;Población;11;
Benitagla;De 16 a 64 años;Ambos sexos;Población;33;
Benitagla;De 65 y más años;Hombres;Población;12;
Benitagla;De 65 y más años;Mujeres;Población;12;
Benitagla;De 65 y más años;Ambos sexos;Población;24;
Benitagla;TOTAL;Hombres;Población;34;
Benitagla;TOTAL;Mujeres;Población;25;
Benitagla;TOTAL;Ambos sexos;Población;59;
Benizalón;De 0 a 15 años;Hombres;Población;9;
Benizalón;De 0 a 15 años;Mujeres;Población;4;
Benizalón;De 0 a 15 años;Ambos sexos;Población;13;
Benizalón;De 16 a 64 años;Hombres;Población;93;
Benizalón;De 16 a 64 años;Mujeres;Población;61;
Benizalón;De 16 a 64 años;Ambos sexos;Población;154;
Benizalón;De 65 y más años;Hombres;Población;43;
Benizalón;De 65 y más años;Mujeres;Población;40;
Benizalón;De 65 y más años;Ambos sexos;Población;83;
Benizalón;TOTAL;Hombres;Población;145;
Benizalón;TOTAL;Mujeres;Población;105;
Benizalón;TOTAL;Ambos sexos;Población;250;
Bentarique;De 0 a 15 años;Hombres;Población;11;
Bentarique;De 0 a 15 años;Mujeres;Población;10;
Bentarique;De 0 a 15 años;Ambos sexos;Población;21;
Bentarique;De 16 a 64 años;Hombres;Población;71;
Bentarique;De 16 a 64 años;Mujeres;Población;53;
Bentarique;De 16 a 64 años;Ambos sexos;Población;124;
Bentarique;De 65 y más años;Hombres;Población;41;
Bentarique;De 65 y más años;Mujeres;Población;42;
Bentarique;De 65 y más años;Ambos sexos;Población;83;
Bentarique;TOTAL;Hombres;Población;123;
Bentarique;TOTAL;Mujeres;Población;105;
Bentarique;TOTAL;Ambos sexos;Población;228;
Berja;De 0 a 15 años;Hombres;Población;1084;
Berja;De 0 a 15 años;Mujeres;Población;995;
Berja;De 0 a 15 años;Ambos sexos;Población;2079;
Berja;De 16 a 64 años;Hombres;Población;4665;
Berja;De 16 a 64 años;Mujeres;Población;4115;
Berja;De 16 a 64 años;Ambos sexos;Población;8780;
Berja;De 65 y más años;Hombres;Población;887;
Berja;De 65 y más años;Mujeres;Población;1138;
Berja;De 65 y más años;Ambos sexos;Población;2025;
Berja;TOTAL;Hombres;Población;6636;
Berja;TOTAL;Mujeres;Población;6248;
Berja;TOTAL;Ambos sexos;Población;12884;
Canjáyar;De 0 a 15 años;Hombres;Población;47;
Canjáyar;De 0 a 15 años;Mujeres;Población;36;
Canjáyar;De 0 a 15 años;Ambos sexos;Población;83;
Canjáyar;De 16 a 64 años;Hombres;Población;377;
Canjáyar;De 16 a 64 años;Mujeres;Población;296;
Canjáyar;De 16 a 64 años;Ambos sexos;Población;673;
Canjáyar;De 65 y más años;Hombres;Población;168;
Canjáyar;De 65 y más años;Mujeres;Población;206;
Canjáyar;De 65 y más años;Ambos sexos;Población;374;
Canjáyar;TOTAL;Hombres;Población;592;
Canjáyar;TOTAL;Mujeres;Población;538;
Canjáyar;TOTAL;Ambos sexos;Población;1130;
Cantoria;De 0 a 15 años;Hombres;Población;206;
Cantoria;De 0 a 15 años;Mujeres;Población;185;
Cantoria;De 0 a 15 años;Ambos sexos;Población;391;
Cantoria;De 16 a 64 años;Hombres;Población;1067;
Cantoria;De 16 a 64 años;Mujeres;Población;1040;
Cantoria;De 16 a 64 años;Ambos sexos;Población;2107;
Cantoria;De 65 y más años;Hombres;Población;528;
Cantoria;De 65 y más años;Mujeres;Población;542;
Cantoria;De 65 y más años;Ambos sexos;Población;1070;
Cantoria;TOTAL;Hombres;Población;1801;
Cantoria;TOTAL;Mujeres;Población;1767;
Cantoria;TOTAL;Ambos sexos;Población;3568;
Carboneras;De 0 a 15 años;Hombres;Población;756;
Carboneras;De 0 a 15 años;Mujeres;Población;650;
Carboneras;De 0 a 15 años;Ambos sexos;Población;1406;
Carboneras;De 16 a 64 años;Hombres;Población;2868;
Carboneras;De 16 a 64 años;Mujeres;Población;2692;
Carboneras;De 16 a 64 años;Ambos sexos;Población;5560;
Carboneras;De 65 y más años;Hombres;Población;708;
Carboneras;De 65 y más años;Mujeres;Población;782;
Carboneras;De 65 y más años;Ambos sexos;Población;1490;
Carboneras;TOTAL;Hombres;Población;4332;
Carboneras;TOTAL;Mujeres;Población;4124;
Carboneras;TOTAL;Ambos sexos;Población;8456;
Castro de Filabres;De 0 a 15 años;Hombres;Población;-;
Castro de Filabres;De 0 a 15 años;Mujeres;Población;2;
Castro de Filabres;De 0 a 15 años;Ambos sexos;Población;2;
Castro de Filabres;De 16 a 64 años;Hombres;Población;32;
Castro de Filabres;De 16 a 64 años;Mujeres;Población;26;
Castro de Filabres;De 16 a 64 años;Ambos sexos;Población;58;
Castro de Filabres;De 65 y más años;Hombres;Población;22;
Castro de Filabres;De 65 y más años;Mujeres;Población;20;
Castro de Filabres;De 65 y más años;Ambos sexos;Población;42;
Castro de Filabres;TOTAL;Hombres;Población;54;
Castro de Filabres;TOTAL;Mujeres;Población;48;
Castro de Filabres;TOTAL;Ambos sexos;Población;102;
Chercos;De 0 a 15 años;Hombres;Población;14;
Chercos;De 0 a 15 años;Mujeres;Población;12;
Chercos;De 0 a 15 años;Ambos sexos;Población;26;
Chercos;De 16 a 64 años;Hombres;Población;107;
Chercos;De 16 a 64 años;Mujeres;Población;93;
Chercos;De 16 a 64 años;Ambos sexos;Población;200;
Chercos;De 65 y más años;Hombres;Población;40;
Chercos;De 65 y más años;Mujeres;Población;44;
Chercos;De 65 y más años;Ambos sexos;Población;84;
Chercos;TOTAL;Hombres;Población;161;
Chercos;TOTAL;Mujeres;Población;149;
Chercos;TOTAL;Ambos sexos;Población;310;
Chirivel;De 0 a 15 años;Hombres;Población;98;
Chirivel;De 0 a 15 años;Mujeres;Población;79;
Chirivel;De 0 a 15 años;Ambos sexos;Población;177;
Chirivel;De 16 a 64 años;Hombres;Población;506;
Chirivel;De 16 a 64 años;Mujeres;Población;417;
Chirivel;De 16 a 64 años;Ambos sexos;Población;923;
Chirivel;De 65 y más años;Hombres;Población;220;
Chirivel;De 65 y más años;Mujeres;Población;259;
Chirivel;De 65 y más años;Ambos sexos;Población;479;
Chirivel;TOTAL;Hombres;Población;824;
Chirivel;TOTAL;Mujeres;Población;755;
Chirivel;TOTAL;Ambos sexos;Población;1579;
Cóbdar;De 0 a 15 años;Hombres;Población;6;
Cóbdar;De 0 a 15 años;Mujeres;Población;11;
Cóbdar;De 0 a 15 años;Ambos sexos;Población;17;
Cóbdar;De 16 a 64 años;Hombres;Población;66;
Cóbdar;De 16 a 64 años;Mujeres;Población;47;
Cóbdar;De 16 a 64 años;Ambos sexos;Población;113;
Cóbdar;De 65 y más años;Hombres;Población;35;
Cóbdar;De 65 y más años;Mujeres;Población;29;
Cóbdar;De 65 y más años;Ambos sexos;Población;64;
Cóbdar;TOTAL;Hombres;Población;107;
Cóbdar;TOTAL;Mujeres;Población;87;
Cóbdar;TOTAL;Ambos sexos;Población;194;
Cuevas del Almanzora;De 0 a 15 años;Hombres;Población;1536;
Cuevas del Almanzora;De 0 a 15 años;Mujeres;Población;1382;
Cuevas del Almanzora;De 0 a 15 años;Ambos sexos;Población;2918;
Cuevas del Almanzora;De 16 a 64 años;Hombres;Población;5116;
Cuevas del Almanzora;De 16 a 64 años;Mujeres;Población;4566;
Cuevas del Almanzora;De 16 a 64 años;Ambos sexos;Población;9682;
Cuevas del Almanzora;De 65 y más años;Hombres;Población;1198;
Cuevas del Almanzora;De 65 y más años;Mujeres;Población;1318;
Cuevas del Almanzora;De 65 y más años;Ambos sexos;Población;2516;
Cuevas del Almanzora;TOTAL;Hombres;Población;7850;
Cuevas del Almanzora;TOTAL;Mujeres;Población;7266;
Cuevas del Almanzora;TOTAL;Ambos sexos;Población;15116;
Dalías;De 0 a 15 años;Hombres;Población;345;
Dalías;De 0 a 15 años;Mujeres;Población;341;
Dalías;De 0 a 15 años;Ambos sexos;Población;686;
Dalías;De 16 a 64 años;Hombres;Población;1375;
Dalías;De 16 a 64 años;Mujeres;Población;1289;
Dalías;De 16 a 64 años;Ambos sexos;Población;2664;
Dalías;De 65 y más años;Hombres;Población;353;
Dalías;De 65 y más años;Mujeres;Población;455;
Dalías;De 65 y más años;Ambos sexos;Población;808;
Dalías;TOTAL;Hombres;Población;2073;
Dalías;TOTAL;Mujeres;Población;2085;
Dalías;TOTAL;Ambos sexos;Población;4158;
El Ejido;De 0 a 15 años;Hombres;Población;9254;
El Ejido;De 0 a 15 años;Mujeres;Población;8688;
El Ejido;De 0 a 15 años;Ambos sexos;Población;17942;
El Ejido;De 16 a 64 años;Hombres;Población;33273;
El Ejido;De 16 a 64 años;Mujeres;Población;28711;
El Ejido;De 16 a 64 años;Ambos sexos;Población;61984;
El Ejido;De 65 y más años;Hombres;Población;4273;
El Ejido;De 65 y más años;Mujeres;Población;5263;
El Ejido;De 65 y más años;Ambos sexos;Población;9536;
El Ejido;TOTAL;Hombres;Población;46800;
El Ejido;TOTAL;Mujeres;Población;42662;
El Ejido;TOTAL;Ambos sexos;Población;89462;
Enix;De 0 a 15 años;Hombres;Población;28;
Enix;De 0 a 15 años;Mujeres;Población;35;
Enix;De 0 a 15 años;Ambos sexos;Población;63;
Enix;De 16 a 64 años;Hombres;Población;223;
Enix;De 16 a 64 años;Mujeres;Población;185;
Enix;De 16 a 64 años;Ambos sexos;Población;408;
Enix;De 65 y más años;Hombres;Población;77;
Enix;De 65 y más años;Mujeres;Población;55;
Enix;De 65 y más años;Ambos sexos;Población;132;
Enix;TOTAL;Hombres;Población;328;
Enix;TOTAL;Mujeres;Población;275;
Enix;TOTAL;Ambos sexos;Población;603;
Felix;De 0 a 15 años;Hombres;Población;40;
Felix;De 0 a 15 años;Mujeres;Población;34;
Felix;De 0 a 15 años;Ambos sexos;Población;74;
Felix;De 16 a 64 años;Hombres;Población;321;
Felix;De 16 a 64 años;Mujeres;Población;210;
Felix;De 16 a 64 años;Ambos sexos;Población;531;
Felix;De 65 y más años;Hombres;Población;89;
