Territorio;Medida;Valor;
Carboneras;Habitantes por farmacia;2818,6666666666665;
Castro de Filabres;Número de farmacias;-;
Castro de Filabres;Habitantes por farmacia;-;
Chercos;Número de farmacias;1;
Chercos;Habitantes por farmacia;310;
Chirivel;Número de farmacias;1;
Chirivel;Habitantes por farmacia;1579;
Cóbdar;Número de farmacias;1;
Cóbdar;Habitantes por farmacia;194;
Cuevas del Almanzora;Número de farmacias;5;
Cuevas del Almanzora;Habitantes por farmacia;3023,2;
Dalías;Número de farmacias;1;
Dalías;Habitantes por farmacia;4158;
El Ejido;Número de farmacias;30;
El Ejido;Habitantes por farmacia;2982,0666666666666;
Enix;Número de farmacias;1;
Enix;Habitantes por farmacia;603;
Felix;Número de farmacias;1;
Felix;Habitantes por farmacia;770;
Fines;Número de farmacias;1;
Fines;Habitantes por farmacia;2275;
Fiñana;Número de farmacias;2;
Fiñana;Habitantes por farmacia;1009;
Fondón;Número de farmacias;1;
Fondón;Habitantes por farmacia;1133;
Gádor;Número de farmacias;1;
Gádor;Habitantes por farmacia;3074;
Garrucha;Número de farmacias;2;
Garrucha;Habitantes por farmacia;5262,5;
Gérgal;Número de farmacias;1;
Gérgal;Habitantes por farmacia;1196;
Huécija;Número de farmacias;1;
Huécija;Habitantes por farmacia;536;
Huércal de Almería;Número de farmacias;5;
Huércal de Almería;Habitantes por farmacia;3739,6;
Huércal-Overa;Número de farmacias;8;
Huércal-Overa;Habitantes por farmacia;2571,875;
Íllar;Número de farmacias;1;
Íllar;Habitantes por farmacia;467;
Instinción;Número de farmacias;1;
Instinción;Habitantes por farmacia;502;
La Mojonera;Número de farmacias;3;
La Mojonera;Habitantes por farmacia;2848,6666666666665;
Laroya;Número de farmacias;1;
Laroya;Habitantes por farmacia;211;
Las Tres Villas;Número de farmacias;1;
Las Tres Villas;Habitantes por farmacia;575;
Laujar de Andarax;Número de farmacias;1;
Laujar de Andarax;Habitantes por farmacia;1655;
Líjar;Número de farmacias;1;
Líjar;Habitantes por farmacia;395;
Los Gallardos;Número de farmacias;1;
Los Gallardos;Habitantes por farmacia;3078;
Lubrín;Número de farmacias;1;
Lubrín;Habitantes por farmacia;1453;
Lucainena de las Torres;Número de farmacias;1;
Lucainena de las Torres;Habitantes por farmacia;728;
Lúcar;Número de farmacias;1;
Lúcar;Habitantes por farmacia;828;
Macael;Número de farmacias;2;
Macael;Habitantes por farmacia;2739;
María;Número de farmacias;1;
María;Habitantes por farmacia;1198;
Mojácar;Número de farmacias;5;
Mojácar;Habitantes por farmacia;1491;
Nacimiento;Número de farmacias;1;
Nacimiento;Habitantes por farmacia;504;
Níjar;Número de farmacias;10;
Níjar;Habitantes por farmacia;3334,8;
Ohanes;Número de farmacias;1;
Ohanes;Habitantes por farmacia;549;
Olula de Castro;Número de farmacias;-;
Olula de Castro;Habitantes por farmacia;-;
Olula del Río;Número de farmacias;2;
Olula del Río;Habitantes por farmacia;3214,5;
Oria;Número de farmacias;1;
Oria;Habitantes por farmacia;2233;
Padules;Número de farmacias;1;
Padules;Habitantes por farmacia;439;
Partaloa;Número de farmacias;1;
Partaloa;Habitantes por farmacia;889;
Paterna del Río;Número de farmacias;1;
Paterna del Río;Habitantes por farmacia;396;
Pechina;Número de farmacias;1;
Pechina;Habitantes por farmacia;4510;
Pulpí;Número de farmacias;4;
Pulpí;Habitantes por farmacia;3030,75;
Purchena;Número de farmacias;1;
Purchena;Habitantes por farmacia;1535;
Rágol;Número de farmacias;1;
Rágol;Habitantes por farmacia;299;
Rioja;Número de farmacias;1;
Rioja;Habitantes por farmacia;1612;
Roquetas de Mar;Número de farmacias;30;
Roquetas de Mar;Habitantes por farmacia;3611,6;
Santa Cruz de Marchena;Número de farmacias;-;
Santa Cruz de Marchena;Habitantes por farmacia;-;
Santa Fe de Mondújar;Número de farmacias;1;
Santa Fe de Mondújar;Habitantes por farmacia;505;
Senés;Número de farmacias;-;
Senés;Habitantes por farmacia;-;
Serón;Número de farmacias;2;
Serón;Habitantes por farmacia;1075;
Sierro;Número de farmacias;1;
Sierro;Habitantes por farmacia;378;
Somontín;Número de farmacias;1;
Somontín;Habitantes por farmacia;526;
Sorbas;Número de farmacias;1;
Sorbas;Habitantes por farmacia;2504;
Suflí;Número de farmacias;1;
Suflí;Habitantes por farmacia;229;
Tabernas;Número de farmacias;1;
Tabernas;Habitantes por farmacia;4077;
Taberno;Número de farmacias;1;
Taberno;Habitantes por farmacia;962;
Tahal;Número de farmacias;1;
Tahal;Habitantes por farmacia;374;
Terque;Número de farmacias;1;
Terque;Habitantes por farmacia;390;
Tíjola;Número de farmacias;2;
Tíjola;Habitantes por farmacia;1771,5;
Turre;Número de farmacias;1;
Turre;Habitantes por farmacia;4341;
Turrillas;Número de farmacias;1;
Turrillas;Habitantes por farmacia;263;
Uleila del Campo;Número de farmacias;1;
Uleila del Campo;Habitantes por farmacia;821;
Urrácal;Número de farmacias;1;
Urrácal;Habitantes por farmacia;357;
Velefique;Número de farmacias;1;
Velefique;Habitantes por farmacia;246;
Vélez-Blanco;Número de farmacias;2;
Vélez-Blanco;Habitantes por farmacia;976;
Vélez-Rubio;Número de farmacias;3;
Vélez-Rubio;Habitantes por farmacia;2192,3333333333335;
Vera;Número de farmacias;6;
Vera;Habitantes por farmacia;3236;
Viator;Número de farmacias;2;
Viator;Habitantes por farmacia;3167;
Vícar;Número de farmacias;9;
Vícar;Habitantes por farmacia;3167,222222222222;
Zurgena;Número de farmacias;1;
Zurgena;Habitantes por farmacia;2953;
Cádiz;Número de farmacias;497;
Cádiz;Habitantes por farmacia;2532,6559356136822;
Alcalá de los Gazules;Número de farmacias;2;
Alcalá de los Gazules;Habitantes por farmacia;2615,5;
Alcalá del Valle;Número de farmacias;2;
Alcalá del Valle;Habitantes por farmacia;2466;
Algar;Número de farmacias;1;
Algar;Habitantes por farmacia;1445;
Algeciras;Número de farmacias;46;
Algeciras;Habitantes por farmacia;2718,413043478261;
Algodonales;Número de farmacias;2;
Algodonales;Habitantes por farmacia;2718,5;
Arcos de la Frontera;Número de farmacias;11;
Arcos de la Frontera;Habitantes por farmacia;2823,181818181818;
Barbate;Número de farmacias;10;
Barbate;Habitantes por farmacia;2272,5;
Benalup-Casas Viejas;Número de farmacias;2;
Benalup-Casas Viejas;Habitantes por farmacia;3636;
Benaocaz;Número de farmacias;1;
Benaocaz;Habitantes por farmacia;761;
Bornos;Número de farmacias;4;
Bornos;Habitantes por farmacia;1883;
Cádiz (capital);Número de farmacias;61;
Cádiz (capital);Habitantes por farmacia;1822,622950819672;
Castellar de la Frontera;Número de farmacias;1;
Castellar de la Frontera;Habitantes por farmacia;2990;
Chiclana de la Frontera;Número de farmacias;29;
Chiclana de la Frontera;Habitantes por farmacia;3096,7241379310344;
Chipiona;Número de farmacias;10;
Chipiona;Habitantes por farmacia;1991,5;
Conil de la Frontera;Número de farmacias;10;
Conil de la Frontera;Habitantes por farmacia;2404,2;
El Bosque;Número de farmacias;1;
El Bosque;Habitantes por farmacia;2249;
El Gastor;Número de farmacias;1;
El Gastor;Habitantes por farmacia;1706;
El Puerto de Santa María;Número de farmacias;37;
El Puerto de Santa María;Habitantes por farmacia;2443,864864864865;
Espera;Número de farmacias;1;
Espera;Habitantes por farmacia;3776;
Grazalema;Número de farmacias;2;
Grazalema;Habitantes por farmacia;1003,5;
Jerez de la Frontera;Número de farmacias;79;
Jerez de la Frontera;Habitantes por farmacia;2719,5443037974683;
Jimena de la Frontera;Número de farmacias;3;
Jimena de la Frontera;Habitantes por farmacia;2262,6666666666665;
La Línea de la Concepción;Número de farmacias;28;
La Línea de la Concepción;Habitantes por farmacia;2320,964285714286;
Los Barrios;Número de farmacias;8;
Los Barrios;Habitantes por farmacia;3067,5;
Medina Sidonia;Número de farmacias;5;
Medina Sidonia;Habitantes por farmacia;2361,2;
Olvera;Número de farmacias;3;
Olvera;Habitantes por farmacia;2616,3333333333335;
Paterna de Rivera;Número de farmacias;2;
Paterna de Rivera;Habitantes por farmacia;2758;
Prado del Rey;Número de farmacias;2;
Prado del Rey;Habitantes por farmacia;2851;
Puerto Real;Número de farmacias;15;
Puerto Real;Habitantes por farmacia;2806,3333333333335;
Puerto Serrano;Número de farmacias;2;
Puerto Serrano;Habitantes por farmacia;3445,5;
Rota;Número de farmacias;12;
Rota;Habitantes por farmacia;2496,6666666666665;
San Fernando;Número de farmacias;35;
San Fernando;Habitantes por farmacia;2679,8;
San José del Valle;Número de farmacias;1;
San José del Valle;Habitantes por farmacia;4469;
San Martín del Tesorillo;Número de farmacias;1;
San Martín del Tesorillo;Habitantes por farmacia;2754;
San Roque;Número de farmacias;13;
San Roque;Habitantes por farmacia;2662,846153846154;
Sanlúcar de Barrameda;Número de farmacias;24;
Sanlúcar de Barrameda;Habitantes por farmacia;2911,9583333333335;
Setenil de las Bodegas;Número de farmacias;2;
Setenil de las Bodegas;Habitantes por farmacia;1318;
Tarifa;Número de farmacias;8;
Tarifa;Habitantes por farmacia;2332,125;
Torre Alháquime;Número de farmacias;1;
Torre Alháquime;Habitantes por farmacia;800;
Trebujena;Número de farmacias;2;
Trebujena;Habitantes por farmacia;3525,5;
Ubrique;Número de farmacias;5;
Ubrique;Habitantes por farmacia;3288,2;
Vejer de la Frontera;Número de farmacias;6;
Vejer de la Frontera;Habitantes por farmacia;2173,5;
Villaluenga del Rosario;Número de farmacias;1;
Villaluenga del Rosario;Habitantes por farmacia;467;
Villamartín;Número de farmacias;4;
Villamartín;Habitantes por farmacia;3062,25;
Zahara;Número de farmacias;1;
Zahara;Habitantes por farmacia;1360;
Córdoba;Número de farmacias;405;
Córdoba;Habitantes por farmacia;1911,883950617284;
Adamuz;Número de farmacias;3;
Adamuz;Habitantes por farmacia;1362,6666666666667;
Aguilar de la Frontera;Número de farmacias;6;
Aguilar de la Frontera;Habitantes por farmacia;2197,5;
Alcaracejos;Número de farmacias;1;
Alcaracejos;Habitantes por farmacia;1502;
Almedinilla;Número de farmacias;2;
Almedinilla;Habitantes por farmacia;1162,5;
Almodóvar del Río;Número de farmacias;3;
Almodóvar del Río;Habitantes por farmacia;2660,3333333333335;
Añora;Número de farmacias;1;
Añora;Habitantes por farmacia;1507;
Baena;Número de farmacias;7;
Baena;Habitantes por farmacia;2622,8571428571427;
Belalcázar;Número de farmacias;2;
Belalcázar;Habitantes por farmacia;1548;
Belmez;Número de farmacias;3;
Belmez;Habitantes por farmacia;949;
Benamejí;Número de farmacias;2;
Benamejí;Habitantes por farmacia;2455;
Bujalance;Número de farmacias;3;
Bujalance;Habitantes por farmacia;2381,6666666666665;
Cabra;Número de farmacias;9;
Cabra;Habitantes por farmacia;2224;
Cañete de las Torres;Número de farmacias;1;
Cañete de las Torres;Habitantes por farmacia;2797;
Carcabuey;Número de farmacias;1;
Carcabuey;Habitantes por farmacia;2308;
Cardeña;Número de farmacias;1;
Cardeña;Habitantes por farmacia;1425;
Castro del Río;Número de farmacias;4;
Castro del Río;Habitantes por farmacia;1903,5;
Conquista;Número de farmacias;1;
Conquista;Habitantes por farmacia;371;
Córdoba (capital);Número de farmacias;191;
Córdoba (capital);Habitantes por farmacia;1701,0575916230366;
Doña Mencía;Número de farmacias;3;
Doña Mencía;Habitantes por farmacia;1492,6666666666667;
Dos Torres;Número de farmacias;1;
Dos Torres;Habitantes por farmacia;2379;
El Carpio;Número de farmacias;2;
El Carpio;Habitantes por farmacia;2161,5;
El Guijo;Número de farmacias;1;
El Guijo;Habitantes por farmacia;344;
El Viso;Número de farmacias;2;
El Viso;Habitantes por farmacia;1255,5;
Encinas Reales;Número de farmacias;1;
Encinas Reales;Habitantes por farmacia;2238;
Espejo;Número de farmacias;2;
Espejo;Habitantes por farmacia;1589;
Espiel;Número de farmacias;1;
Espiel;Habitantes por farmacia;2338;
Fernán-Núñez;Número de farmacias;3;
Fernán-Núñez;Habitantes por farmacia;3211,6666666666665;
Fuente Carreteros;Número de farmacias;-;
Fuente Carreteros;Habitantes por farmacia;-;
Fuente la Lancha;Número de farmacias;1;
Fuente la Lancha;Habitantes por farmacia;338;
Fuente Obejuna;Número de farmacias;3;
Fuente Obejuna;Habitantes por farmacia;1452,3333333333333;
Fuente Palmera;Número de farmacias;6;
Fuente Palmera;Habitantes por farmacia;1666,8333333333333;
Fuente-Tójar;Número de farmacias;1;
Fuente-Tójar;Habitantes por farmacia;676;
Guadalcázar;Número de farmacias;1;
Guadalcázar;Habitantes por farmacia;1549;
Hinojosa del Duque;Número de farmacias;3;
Hinojosa del Duque;Habitantes por farmacia;2181;
Hornachuelos;Número de farmacias;3;
Hornachuelos;Habitantes por farmacia;1462,6666666666667;
Iznájar;Número de farmacias;3;
Iznájar;Habitantes por farmacia;1247,3333333333333;
La Carlota;Número de farmacias;5;
La Carlota;Habitantes por farmacia;2875,4;
La Granjuela;Número de farmacias;1;
La Granjuela;Habitantes por farmacia;412;
La Guijarrosa;Número de farmacias;-;
La Guijarrosa;Habitantes por farmacia;-;
La Rambla;Número de farmacias;3;
La Rambla;Habitantes por farmacia;2488,6666666666665;
La Victoria;Número de farmacias;1;
La Victoria;Habitantes por farmacia;2328;
Los Blázquez;Número de farmacias;1;
Los Blázquez;Habitantes por farmacia;635;
Lucena;Número de farmacias;15;
Lucena;Habitantes por farmacia;2869,3333333333335;
Luque;Número de farmacias;2;
Luque;Habitantes por farmacia;1408,5;
Montalbán de Córdoba;Número de farmacias;1;
Montalbán de Córdoba;Habitantes por farmacia;4435;
Montemayor;Número de farmacias;2;
Montemayor;Habitantes por farmacia;1948;
Montilla;Número de farmacias;8;
Montilla;Habitantes por farmacia;2789,375;
Montoro;Número de farmacias;4;
Montoro;Habitantes por farmacia;2258,5;
Monturque;Número de farmacias;1;
Monturque;Habitantes por farmacia;1935;
Moriles;Número de farmacias;1;
Moriles;Habitantes por farmacia;3640;
Nueva Carteya;Número de farmacias;2;
Nueva Carteya;Habitantes por farmacia;2656;
Obejo;Número de farmacias;1;
Obejo;Habitantes por farmacia;2090;
Palenciana;Número de farmacias;1;
Palenciana;Habitantes por farmacia;1432;
Palma del Río;Número de farmacias;7;
Palma del Río;Habitantes por farmacia;2943,5714285714284;
Pedro Abad;Número de farmacias;1;
Pedro Abad;Habitantes por farmacia;2825;
Pedroche;Número de farmacias;1;
Pedroche;Habitantes por farmacia;1456;
Peñarroya-Pueblonuevo;Número de farmacias;8;
Peñarroya-Pueblonuevo;Habitantes por farmacia;1285;
Posadas;Número de farmacias;2;
Posadas;Habitantes por farmacia;3611;
Pozoblanco;Número de farmacias;6;
Pozoblanco;Habitantes por farmacia;2818;
Priego de Córdoba;Número de farmacias;10;
Priego de Córdoba;Habitantes por farmacia;2185,1;
Puente Genil;Número de farmacias;12;
Puente Genil;Habitantes por farmacia;2489,9166666666665;
Rute;Número de farmacias;6;
Rute;Habitantes por farmacia;1625,5;
San Sebastián de los Ballesteros;Número de farmacias;1;
San Sebastián de los Ballesteros;Habitantes por farmacia;854;
Santa Eufemia;Número de farmacias;1;
Santa Eufemia;Habitantes por farmacia;710;
Santaella;Número de farmacias;4;
Santaella;Habitantes por farmacia;1169,75;
Torrecampo;Número de farmacias;1;
Torrecampo;Habitantes por farmacia;1000;
Valenzuela;Número de farmacias;1;
Valenzuela;Habitantes por farmacia;1041;
Valsequillo;Número de farmacias;1;
Valsequillo;Habitantes por farmacia;361;
Villa del Río;Número de farmacias;3;
Villa del Río;Habitantes por farmacia;2290,6666666666665;
Villafranca de Córdoba;Número de farmacias;2;
Villafranca de Córdoba;Habitantes por farmacia;2437,5;
Villaharta;Número de farmacias;1;
Villaharta;Habitantes por farmacia;626;
Villanueva de Córdoba;Número de farmacias;4;
Villanueva de Córdoba;Habitantes por farmacia;2092,75;
Villanueva del Duque;Número de farmacias;1;
Villanueva del Duque;Habitantes por farmacia;1406;
Villanueva del Rey;Número de farmacias;1;
Villanueva del Rey;Habitantes por farmacia;1013;
Villaralto;Número de farmacias;1;
Villaralto;Habitantes por farmacia;1075;
Villaviciosa de Córdoba;Número de farmacias;2;
Villaviciosa de Córdoba;Habitantes por farmacia;1530;
Zuheros;Número de farmacias;1;
Zuheros;Habitantes por farmacia;606;
Granada;Número de farmacias;534;
Granada;Habitantes por farmacia;1759,814606741573;
Agrón;Número de farmacias;1;
Agrón;Habitantes por farmacia;244;
Alamedilla;Número de farmacias;1;
Alamedilla;Habitantes por farmacia;546;
Albolote;Número de farmacias;6;
Albolote;Habitantes por farmacia;3259;
Albondón;Número de farmacias;1;
Albondón;Habitantes por farmacia;731;
Albuñán;Número de farmacias;1;
Albuñán;Habitantes por farmacia;424;
Albuñol;Número de farmacias;2;
Albuñol;Habitantes por farmacia;3702,5;
Albuñuelas;Número de farmacias;1;
Albuñuelas;Habitantes por farmacia;794;
Aldeire;Número de farmacias;1;
Aldeire;Habitantes por farmacia;591;
Alfacar;Número de farmacias;2;
Alfacar;Habitantes por farmacia;2906,5;
Algarinejo;Número de farmacias;2;
Algarinejo;Habitantes por farmacia;1165,5;
Alhama de Granada;Número de farmacias;3;
Alhama de Granada;Habitantes por farmacia;1883;
Alhendín;Número de farmacias;2;
Alhendín;Habitantes por farmacia;5212;
Alicún de Ortega;Número de farmacias;1;
Alicún de Ortega;Habitantes por farmacia;456;
Almegíjar;Número de farmacias;1;
Almegíjar;Habitantes por farmacia;328;
Almuñécar;Número de farmacias;20;
Almuñécar;Habitantes por farmacia;1384,95;
Alpujarra de la Sierra;Número de farmacias;1;
Alpujarra de la Sierra;Habitantes por farmacia;962;
Alquife;Número de farmacias;1;
Alquife;Habitantes por farmacia;545;
Arenas del Rey;Número de farmacias;1;
Arenas del Rey;Habitantes por farmacia;615;
Armilla;Número de farmacias;8;
Armilla;Habitantes por farmacia;3168,75;
Atarfe;Número de farmacias;5;
Atarfe;Habitantes por farmacia;4098,4;
Baza;Número de farmacias;8;
Baza;Habitantes por farmacia;2571,875;
Beas de Granada;Número de farmacias;1;
Beas de Granada;Habitantes por farmacia;1010;
Beas de Guadix;Número de farmacias;1;
Beas de Guadix;Habitantes por farmacia;316;
Benalúa;Número de farmacias;2;
Benalúa;Habitantes por farmacia;1672;
Benalúa de las Villas;Número de farmacias;1;
Benalúa de las Villas;Habitantes por farmacia;1024;
Benamaurel;Número de farmacias;1;
Benamaurel;Habitantes por farmacia;2247;
Bérchules;Número de farmacias;1;
Bérchules;Habitantes por farmacia;698;
Bubión;Número de farmacias;1;
Bubión;Habitantes por farmacia;315;
Busquístar;Número de farmacias;1;
Busquístar;Habitantes por farmacia;313;
Cacín;Número de farmacias;1;
Cacín;Habitantes por farmacia;535;
Cádiar;Número de farmacias;1;
Cádiar;Habitantes por farmacia;1534;
Cájar;Número de farmacias;1;
Cájar;Habitantes por farmacia;5488;
Calicasas;Número de farmacias;1;
Calicasas;Habitantes por farmacia;665;
Campotéjar;Número de farmacias;1;
Campotéjar;Habitantes por farmacia;1250;
Caniles;Número de farmacias;3;
Caniles;Habitantes por farmacia;1309,3333333333333;
Cáñar;Número de farmacias;1;
Cáñar;Habitantes por farmacia;401;
Capileira;Número de farmacias;1;
Capileira;Habitantes por farmacia;578;
Carataunas;Número de farmacias;1;
Carataunas;Habitantes por farmacia;227;
Cástaras;Número de farmacias;-;
Cástaras;Habitantes por farmacia;-;
Castilléjar;Número de farmacias;1;
Castilléjar;Habitantes por farmacia;1300;
Castril;Número de farmacias;1;
Castril;Habitantes por farmacia;1969;
Cenes de la Vega;Número de farmacias;2;
Cenes de la Vega;Habitantes por farmacia;4171,5;
Chauchina;Número de farmacias;2;
Chauchina;Habitantes por farmacia;2899;
Chimeneas;Número de farmacias;1;
Chimeneas;Habitantes por farmacia;1241;
Churriana de la Vega;Número de farmacias;4;
Churriana de la Vega;Habitantes por farmacia;4176,5;
Cijuela;Número de farmacias;1;
Cijuela;Habitantes por farmacia;3729;
Cogollos de Guadix;Número de farmacias;1;
Cogollos de Guadix;Habitantes por farmacia;635;
Cogollos de la Vega;Número de farmacias;2;
Cogollos de la Vega;Habitantes por farmacia;1048,5;
Colomera;Número de farmacias;1;
Colomera;Habitantes por farmacia;1284;
Cortes de Baza;Número de farmacias;2;
Cortes de Baza;Habitantes por farmacia;897,5;
Cortes y Graena;Número de farmacias;1;
Cortes y Graena;Habitantes por farmacia;967;
Cuevas del Campo;Número de farmacias;1;
Cuevas del Campo;Habitantes por farmacia;1802;
Cúllar;Número de farmacias;2;
Cúllar;Habitantes por farmacia;1968,5;
Cúllar Vega;Número de farmacias;2;
Cúllar Vega;Habitantes por farmacia;3909;
Darro;Número de farmacias;1;
Darro;Habitantes por farmacia;1700;
Dehesas de Guadix;Número de farmacias;1;
Dehesas de Guadix;Habitantes por farmacia;383;
Dehesas Viejas;Número de farmacias;1;
Dehesas Viejas;Habitantes por farmacia;641;
Deifontes;Número de farmacias;1;
Deifontes;Habitantes por farmacia;2620;
Diezma;Número de farmacias;1;
Diezma;Habitantes por farmacia;819;
Dílar;Número de farmacias;1;
Dílar;Habitantes por farmacia;2322;
Dólar;Número de farmacias;1;
Dólar;Habitantes por farmacia;606;
Domingo Pérez de Granada;Número de farmacias;1;
Domingo Pérez de Granada;Habitantes por farmacia;835;
Dúdar;Número de farmacias;1;
Dúdar;Habitantes por farmacia;376;
Dúrcal;Número de farmacias;2;
Dúrcal;Habitantes por farmacia;3609;
El Pinar;Número de farmacias;1;
El Pinar;Habitantes por farmacia;873;
El Valle;Número de farmacias;1;
El Valle;Habitantes por farmacia;947;
Escúzar;Número de farmacias;1;
Escúzar;Habitantes por farmacia;843;
Ferreira;Número de farmacias;1;
Ferreira;Habitantes por farmacia;303;
Fonelas;Número de farmacias;1;
Fonelas;Habitantes por farmacia;964;
Fornes;Número de farmacias;1;
Fornes;Habitantes por farmacia;532;
Freila;Número de farmacias;1;
Freila;Habitantes por farmacia;947;
Fuente Vaqueros;Número de farmacias;1;
Fuente Vaqueros;Habitantes por farmacia;4633;
Galera;Número de farmacias;1;
Galera;Habitantes por farmacia;1107;
Gobernador;Número de farmacias;1;
Gobernador;Habitantes por farmacia;239;
Gójar;Número de farmacias;3;
Gójar;Habitantes por farmacia;2111,3333333333335;
Gor;Número de farmacias;1;
Gor;Habitantes por farmacia;763;
Gorafe;Número de farmacias;1;
Gorafe;Habitantes por farmacia;372;
Granada (capital);Número de farmacias;193;
Granada (capital);Habitantes por farmacia;1210,0103626943005;
Guadahortuna;Número de farmacias;1;
Guadahortuna;Habitantes por farmacia;1846;
Guadix;Número de farmacias;11;
Guadix;Habitantes por farmacia;1702,6363636363637;
Gualchos;Número de farmacias;1;
Gualchos;Habitantes por farmacia;5297;
Güéjar Sierra;Número de farmacias;1;
Güéjar Sierra;Habitantes por farmacia;2944;
Güevéjar;Número de farmacias;1;
Güevéjar;Habitantes por farmacia;2693;
Huélago;Número de farmacias;1;
Huélago;Habitantes por farmacia;371;
Huéneja;Número de farmacias;1;
Huéneja;Habitantes por farmacia;1189;
Huéscar;Número de farmacias;4;
Huéscar;Habitantes por farmacia;1808;
Huétor de Santillán;Número de farmacias;1;
Huétor de Santillán;Habitantes por farmacia;1944;
Huétor Tájar;Número de farmacias;3;
Huétor Tájar;Habitantes por farmacia;3556,6666666666665;
Huétor Vega;Número de farmacias;3;
Huétor Vega;Habitantes por farmacia;4093;
Íllora;Número de farmacias;5;
Íllora;Habitantes por farmacia;1981,6;
Ítrabo;Número de farmacias;1;
Ítrabo;Habitantes por farmacia;994;
Iznalloz;Número de farmacias;2;
Iznalloz;Habitantes por farmacia;2586;
Játar;Número de farmacias;1;
Játar;Habitantes por farmacia;616;
Jayena;Número de farmacias;1;
Jayena;Habitantes por farmacia;996;
Jérez del Marquesado;Número de farmacias;1;
Jérez del Marquesado;Habitantes por farmacia;982;
Jete;Número de farmacias;1;
Jete;Habitantes por farmacia;996;
Jun;Número de farmacias;1;
Jun;Habitantes por farmacia;4174;
Juviles;Número de farmacias;1;
Juviles;Habitantes por farmacia;148;
La Calahorra;Número de farmacias;1;
La Calahorra;Habitantes por farmacia;678;
La Malahá;Número de farmacias;1;
La Malahá;Habitantes por farmacia;1881;
La Peza;Número de farmacias;1;
La Peza;Habitantes por farmacia;1114;
La Taha;Número de farmacias;1;
La Taha;Habitantes por farmacia;789;
La Zubia;Número de farmacias;6;
La Zubia;Habitantes por farmacia;3346,1666666666665;
Láchar;Número de farmacias;1;
Láchar;Habitantes por farmacia;3805;
Lanjarón;Número de farmacias;3;
Lanjarón;Habitantes por farmacia;1226;
Lanteira;Número de farmacias;1;
Lanteira;Habitantes por farmacia;544;
Las Gabias;Número de farmacias;5;
Las Gabias;Habitantes por farmacia;4698,4;
Lecrín;Número de farmacias;1;
Lecrín;Habitantes por farmacia;2274;
Lentegí;Número de farmacias;1;
Lentegí;Habitantes por farmacia;353;
Lobras;Número de farmacias;-;
Lobras;Habitantes por farmacia;-;
Loja;Número de farmacias;8;
Loja;Habitantes por farmacia;2601,75;
Los Guájares;Número de farmacias;1;
Los Guájares;Habitantes por farmacia;1136;
Lugros;Número de farmacias;1;
Lugros;Habitantes por farmacia;311;
Lújar;Número de farmacias;1;
Lújar;Habitantes por farmacia;493;
Maracena;Número de farmacias;7;
