Territorio;Medida;Valor;
Benahadux;Superficie construida media (m2);152;
Benahadux;Nº de bienes inmuebles;32;
Benizalón;Renta media (€/m2 mes);*;
Benizalón;Cuantía media arrendamiento (€/mes);*;
Benizalón;Superficie construida media (m2);*;
Benizalón;Nº de bienes inmuebles;2;
Berja;Renta media (€/m2 mes);3,063708564;
Berja;Cuantía media arrendamiento (€/mes);379,574829932;
Berja;Superficie construida media (m2);146;
Berja;Nº de bienes inmuebles;20;
Canjáyar;Renta media (€/m2 mes);*;
Canjáyar;Cuantía media arrendamiento (€/mes);*;
Canjáyar;Superficie construida media (m2);*;
Canjáyar;Nº de bienes inmuebles;3;
Cantoria;Renta media (€/m2 mes);4,026475455;
Cantoria;Cuantía media arrendamiento (€/mes);550;
Cantoria;Superficie construida media (m2);154;
Cantoria;Nº de bienes inmuebles;37;
Carboneras;Renta media (€/m2 mes);3,926809211;
Carboneras;Cuantía media arrendamiento (€/mes);375,144927536;
Carboneras;Superficie construida media (m2);127,5;
Carboneras;Nº de bienes inmuebles;56;
Castro de Filabres;Renta media (€/m2 mes);*;
Castro de Filabres;Cuantía media arrendamiento (€/mes);*;
Castro de Filabres;Superficie construida media (m2);*;
Castro de Filabres;Nº de bienes inmuebles;1;
Chirivel;Renta media (€/m2 mes);*;
Chirivel;Cuantía media arrendamiento (€/mes);*;
Chirivel;Superficie construida media (m2);*;
Chirivel;Nº de bienes inmuebles;8;
Cuevas del Almanzora;Renta media (€/m2 mes);2,591205846;
Cuevas del Almanzora;Cuantía media arrendamiento (€/mes);300;
Cuevas del Almanzora;Superficie construida media (m2);139,5;
Cuevas del Almanzora;Nº de bienes inmuebles;98;
Dalías;Renta media (€/m2 mes);3,059137279;
Dalías;Cuantía media arrendamiento (€/mes);329,823369565;
Dalías;Superficie construida media (m2);135;
Dalías;Nº de bienes inmuebles;12;
El Ejido;Renta media (€/m2 mes);3,522062733;
El Ejido;Cuantía media arrendamiento (€/mes);350;
El Ejido;Superficie construida media (m2);136;
El Ejido;Nº de bienes inmuebles;325;
Enix;Renta media (€/m2 mes);*;
Enix;Cuantía media arrendamiento (€/mes);*;
Enix;Superficie construida media (m2);*;
Enix;Nº de bienes inmuebles;5;
Felix;Renta media (€/m2 mes);*;
Felix;Cuantía media arrendamiento (€/mes);*;
Felix;Superficie construida media (m2);*;
Felix;Nº de bienes inmuebles;4;
Fines;Renta media (€/m2 mes);2,459016393;
Fines;Cuantía media arrendamiento (€/mes);300;
Fines;Superficie construida media (m2);138;
Fines;Nº de bienes inmuebles;15;
Fiñana;Renta media (€/m2 mes);*;
Fiñana;Cuantía media arrendamiento (€/mes);*;
Fiñana;Superficie construida media (m2);*;
Fiñana;Nº de bienes inmuebles;8;
Fondón;Renta media (€/m2 mes);*;
Fondón;Cuantía media arrendamiento (€/mes);*;
Fondón;Superficie construida media (m2);*;
Fondón;Nº de bienes inmuebles;8;
Gádor;Renta media (€/m2 mes);3,163410022;
Gádor;Cuantía media arrendamiento (€/mes);300,67406396;
Gádor;Superficie construida media (m2);102;
Gádor;Nº de bienes inmuebles;16;
Garrucha;Renta media (€/m2 mes);3,75095693;
Garrucha;Cuantía media arrendamiento (€/mes);400;
Garrucha;Superficie construida media (m2);106;
Garrucha;Nº de bienes inmuebles;41;
Gérgal;Renta media (€/m2 mes);*;
Gérgal;Cuantía media arrendamiento (€/mes);*;
Gérgal;Superficie construida media (m2);*;
Gérgal;Nº de bienes inmuebles;9;
Huécija;Renta media (€/m2 mes);*;
Huécija;Cuantía media arrendamiento (€/mes);*;
Huécija;Superficie construida media (m2);*;
Huécija;Nº de bienes inmuebles;2;
Huércal de Almería;Renta media (€/m2 mes);4,539800995;
Huércal de Almería;Cuantía media arrendamiento (€/mes);550;
Huércal de Almería;Superficie construida media (m2);151;
Huércal de Almería;Nº de bienes inmuebles;111;
Huércal-Overa;Renta media (€/m2 mes);3,012941919;
Huércal-Overa;Cuantía media arrendamiento (€/mes);355,861194278;
Huércal-Overa;Superficie construida media (m2);152;
Huércal-Overa;Nº de bienes inmuebles;136;
Íllar;Renta media (€/m2 mes);*;
Íllar;Cuantía media arrendamiento (€/mes);*;
Íllar;Superficie construida media (m2);*;
Íllar;Nº de bienes inmuebles;2;
Instinción;Renta media (€/m2 mes);*;
Instinción;Cuantía media arrendamiento (€/mes);*;
Instinción;Superficie construida media (m2);*;
Instinción;Nº de bienes inmuebles;2;
La Mojonera;Renta media (€/m2 mes);3,296703297;
La Mojonera;Cuantía media arrendamiento (€/mes);300;
La Mojonera;Superficie construida media (m2);134;
La Mojonera;Nº de bienes inmuebles;67;
Las Tres Villas;Renta media (€/m2 mes);*;
Las Tres Villas;Cuantía media arrendamiento (€/mes);*;
Las Tres Villas;Superficie construida media (m2);*;
Las Tres Villas;Nº de bienes inmuebles;2;
Laujar de Andarax;Renta media (€/m2 mes);*;
Laujar de Andarax;Cuantía media arrendamiento (€/mes);*;
Laujar de Andarax;Superficie construida media (m2);*;
Laujar de Andarax;Nº de bienes inmuebles;7;
Líjar;Renta media (€/m2 mes);*;
Líjar;Cuantía media arrendamiento (€/mes);*;
Líjar;Superficie construida media (m2);*;
Líjar;Nº de bienes inmuebles;1;
Los Gallardos;Renta media (€/m2 mes);3,405017921;
Los Gallardos;Cuantía media arrendamiento (€/mes);350;
Los Gallardos;Superficie construida media (m2);101;
Los Gallardos;Nº de bienes inmuebles;33;
Lubrín;Renta media (€/m2 mes);*;
Lubrín;Cuantía media arrendamiento (€/mes);*;
Lubrín;Superficie construida media (m2);*;
Lubrín;Nº de bienes inmuebles;7;
Lucainena de las Torres;Renta media (€/m2 mes);*;
Lucainena de las Torres;Cuantía media arrendamiento (€/mes);*;
Lucainena de las Torres;Superficie construida media (m2);*;
Lucainena de las Torres;Nº de bienes inmuebles;5;
Lúcar;Renta media (€/m2 mes);*;
Lúcar;Cuantía media arrendamiento (€/mes);*;
Lúcar;Superficie construida media (m2);*;
Lúcar;Nº de bienes inmuebles;4;
Macael;Renta media (€/m2 mes);2,42;
Macael;Cuantía media arrendamiento (€/mes);298,481308411;
Macael;Superficie construida media (m2);136;
Macael;Nº de bienes inmuebles;13;
María;Renta media (€/m2 mes);*;
María;Cuantía media arrendamiento (€/mes);*;
María;Superficie construida media (m2);*;
María;Nº de bienes inmuebles;5;
Mojácar;Renta media (€/m2 mes);4,91066103;
Mojácar;Cuantía media arrendamiento (€/mes);498,299319728;
Mojácar;Superficie construida media (m2);120,5;
Mojácar;Nº de bienes inmuebles;86;
Nacimiento;Renta media (€/m2 mes);*;
Nacimiento;Cuantía media arrendamiento (€/mes);*;
Nacimiento;Superficie construida media (m2);*;
Nacimiento;Nº de bienes inmuebles;3;
Níjar;Renta media (€/m2 mes);3,366065527;
Níjar;Cuantía media arrendamiento (€/mes);350;
Níjar;Superficie construida media (m2);135;
Níjar;Nº de bienes inmuebles;328;
Olula del Río;Renta media (€/m2 mes);2,935941778;
Olula del Río;Cuantía media arrendamiento (€/mes);311,149839744;
Olula del Río;Superficie construida media (m2);158,5;
Olula del Río;Nº de bienes inmuebles;22;
Oria;Renta media (€/m2 mes);*;
Oria;Cuantía media arrendamiento (€/mes);*;
Oria;Superficie construida media (m2);*;
Oria;Nº de bienes inmuebles;2;
Padules;Renta media (€/m2 mes);*;
Padules;Cuantía media arrendamiento (€/mes);*;
Padules;Superficie construida media (m2);*;
Padules;Nº de bienes inmuebles;3;
Partaloa;Renta media (€/m2 mes);4,954954955;
Partaloa;Cuantía media arrendamiento (€/mes);550;
Partaloa;Superficie construida media (m2);135;
Partaloa;Nº de bienes inmuebles;12;
Paterna del Río;Renta media (€/m2 mes);*;
Paterna del Río;Cuantía media arrendamiento (€/mes);*;
Paterna del Río;Superficie construida media (m2);*;
Paterna del Río;Nº de bienes inmuebles;1;
Pechina;Renta media (€/m2 mes);3,404471326;
Pechina;Cuantía media arrendamiento (€/mes);431,876666667;
Pechina;Superficie construida media (m2);130;
Pechina;Nº de bienes inmuebles;26;
Pulpí;Renta media (€/m2 mes);3,498411017;
Pulpí;Cuantía media arrendamiento (€/mes);400;
Pulpí;Superficie construida media (m2);136;
Pulpí;Nº de bienes inmuebles;134;
Purchena;Renta media (€/m2 mes);*;
Purchena;Cuantía media arrendamiento (€/mes);*;
Purchena;Superficie construida media (m2);*;
Purchena;Nº de bienes inmuebles;6;
Rioja;Renta media (€/m2 mes);*;
Rioja;Cuantía media arrendamiento (€/mes);*;
Rioja;Superficie construida media (m2);*;
Rioja;Nº de bienes inmuebles;5;
Roquetas de Mar;Renta media (€/m2 mes);4,6875;
Roquetas de Mar;Cuantía media arrendamiento (€/mes);500;
Roquetas de Mar;Superficie construida media (m2);137;
Roquetas de Mar;Nº de bienes inmuebles;478;
Santa Fe de Mondújar;Renta media (€/m2 mes);*;
Santa Fe de Mondújar;Cuantía media arrendamiento (€/mes);*;
Santa Fe de Mondújar;Superficie construida media (m2);*;
Santa Fe de Mondújar;Nº de bienes inmuebles;6;
Senés;Renta media (€/m2 mes);*;
Senés;Cuantía media arrendamiento (€/mes);*;
Senés;Superficie construida media (m2);*;
Senés;Nº de bienes inmuebles;1;
Serón;Renta media (€/m2 mes);*;
Serón;Cuantía media arrendamiento (€/mes);*;
Serón;Superficie construida media (m2);*;
Serón;Nº de bienes inmuebles;6;
Somontín;Renta media (€/m2 mes);*;
Somontín;Cuantía media arrendamiento (€/mes);*;
Somontín;Superficie construida media (m2);*;
Somontín;Nº de bienes inmuebles;3;
Sorbas;Renta media (€/m2 mes);3,511062153;
Sorbas;Cuantía media arrendamiento (€/mes);250;
Sorbas;Superficie construida media (m2);134;
Sorbas;Nº de bienes inmuebles;14;
Suflí;Renta media (€/m2 mes);*;
Suflí;Cuantía media arrendamiento (€/mes);*;
Suflí;Superficie construida media (m2);*;
Suflí;Nº de bienes inmuebles;1;
Tabernas;Renta media (€/m2 mes);2,705223881;
Tabernas;Cuantía media arrendamiento (€/mes);302,463994565;
Tabernas;Superficie construida media (m2);123;
Tabernas;Nº de bienes inmuebles;19;
Taberno;Renta media (€/m2 mes);*;
Taberno;Cuantía media arrendamiento (€/mes);*;
Taberno;Superficie construida media (m2);*;
Taberno;Nº de bienes inmuebles;3;
Terque;Renta media (€/m2 mes);*;
Terque;Cuantía media arrendamiento (€/mes);*;
Terque;Superficie construida media (m2);*;
Terque;Nº de bienes inmuebles;2;
Tíjola;Renta media (€/m2 mes);2,222222222;
Tíjola;Cuantía media arrendamiento (€/mes);348,228193146;
Tíjola;Superficie construida media (m2);158;
Tíjola;Nº de bienes inmuebles;15;
Turre;Renta media (€/m2 mes);3,191489362;
Turre;Cuantía media arrendamiento (€/mes);350;
Turre;Superficie construida media (m2);116;
Turre;Nº de bienes inmuebles;37;
Uleila del Campo;Renta media (€/m2 mes);*;
Uleila del Campo;Cuantía media arrendamiento (€/mes);*;
Uleila del Campo;Superficie construida media (m2);*;
Uleila del Campo;Nº de bienes inmuebles;5;
Velefique;Renta media (€/m2 mes);*;
Velefique;Cuantía media arrendamiento (€/mes);*;
Velefique;Superficie construida media (m2);*;
Velefique;Nº de bienes inmuebles;1;
Vélez-Blanco;Renta media (€/m2 mes);*;
Vélez-Blanco;Cuantía media arrendamiento (€/mes);*;
Vélez-Blanco;Superficie construida media (m2);*;
Vélez-Blanco;Nº de bienes inmuebles;9;
Vélez-Rubio;Renta media (€/m2 mes);2,055335968;
Vélez-Rubio;Cuantía media arrendamiento (€/mes);250;
Vélez-Rubio;Superficie construida media (m2);185;
Vélez-Rubio;Nº de bienes inmuebles;70;
Vera;Renta media (€/m2 mes);4,048145325;
Vera;Cuantía media arrendamiento (€/mes);400;
Vera;Superficie construida media (m2);125,5;
Vera;Nº de bienes inmuebles;150;
Viator;Renta media (€/m2 mes);3,571610796;
Viator;Cuantía media arrendamiento (€/mes);397,603485839;
Viator;Superficie construida media (m2);162,5;
Viator;Nº de bienes inmuebles;32;
Vícar;Renta media (€/m2 mes);3,372893258;
Vícar;Cuantía media arrendamiento (€/mes);380;
Vícar;Superficie construida media (m2);136;
Vícar;Nº de bienes inmuebles;135;
Zurgena;Renta media (€/m2 mes);3,398058252;
Zurgena;Cuantía media arrendamiento (€/mes);350;
Zurgena;Superficie construida media (m2);109,5;
Zurgena;Nº de bienes inmuebles;46;
Cádiz;Renta media (€/m2 mes);5,837515207;
Cádiz;Cuantía media arrendamiento (€/mes);598,360655738;
Cádiz;Superficie construida media (m2);129;
Cádiz;Nº de bienes inmuebles;7766;
Alcalá de los Gazules;Renta media (€/m2 mes);4,327876984;
Alcalá de los Gazules;Cuantía media arrendamiento (€/mes);340,673817382;
Alcalá de los Gazules;Superficie construida media (m2);103;
Alcalá de los Gazules;Nº de bienes inmuebles;12;
Alcalá del Valle;Renta media (€/m2 mes);*;
Alcalá del Valle;Cuantía media arrendamiento (€/mes);*;
Alcalá del Valle;Superficie construida media (m2);*;
Alcalá del Valle;Nº de bienes inmuebles;8;
Algar;Renta media (€/m2 mes);*;
Algar;Cuantía media arrendamiento (€/mes);*;
Algar;Superficie construida media (m2);*;
Algar;Nº de bienes inmuebles;6;
Algeciras;Renta media (€/m2 mes);5,982142857;
Algeciras;Cuantía media arrendamiento (€/mes);500;
Algeciras;Superficie construida media (m2);109;
Algeciras;Nº de bienes inmuebles;671;
Algodonales;Renta media (€/m2 mes);2,615932521;
Algodonales;Cuantía media arrendamiento (€/mes);269,363636364;
Algodonales;Superficie construida media (m2);169,5;
Algodonales;Nº de bienes inmuebles;40;
Arcos de la Frontera;Renta media (€/m2 mes);3,738317757;
Arcos de la Frontera;Cuantía media arrendamiento (€/mes);375;
Arcos de la Frontera;Superficie construida media (m2);109;
Arcos de la Frontera;Nº de bienes inmuebles;163;
Barbate;Renta media (€/m2 mes);4,206169123;
Barbate;Cuantía media arrendamiento (€/mes);487,630208333;
Barbate;Superficie construida media (m2);115,5;
Barbate;Nº de bienes inmuebles;70;
Benalup-Casas Viejas;Renta media (€/m2 mes);3,146041667;
Benalup-Casas Viejas;Cuantía media arrendamiento (€/mes);300;
Benalup-Casas Viejas;Superficie construida media (m2);106;
Benalup-Casas Viejas;Nº de bienes inmuebles;35;
Benaocaz;Renta media (€/m2 mes);*;
Benaocaz;Cuantía media arrendamiento (€/mes);*;
Benaocaz;Superficie construida media (m2);*;
Benaocaz;Nº de bienes inmuebles;9;
Bornos;Renta media (€/m2 mes);2,515822785;
Bornos;Cuantía media arrendamiento (€/mes);280;
Bornos;Superficie construida media (m2);108;
Bornos;Nº de bienes inmuebles;24;
Cádiz (capital);Renta media (€/m2 mes);5,020157331;
Cádiz (capital);Cuantía media arrendamiento (€/mes);646,437892505;
Cádiz (capital);Superficie construida media (m2);172;
Cádiz (capital);Nº de bienes inmuebles;22;
Castellar de la Frontera;Renta media (€/m2 mes);4,661016949;
Castellar de la Frontera;Cuantía media arrendamiento (€/mes);450;
Castellar de la Frontera;Superficie construida media (m2);116;
Castellar de la Frontera;Nº de bienes inmuebles;45;
Chiclana de la Frontera;Renta media (€/m2 mes);5,437391304;
Chiclana de la Frontera;Cuantía media arrendamiento (€/mes);512,5;
Chiclana de la Frontera;Superficie construida media (m2);112;
Chiclana de la Frontera;Nº de bienes inmuebles;879;
Chipiona;Renta media (€/m2 mes);7,015304648;
Chipiona;Cuantía media arrendamiento (€/mes);682,565467836;
Chipiona;Superficie construida media (m2);144,5;
Chipiona;Nº de bienes inmuebles;234;
Conil de la Frontera;Renta media (€/m2 mes);5,477483762;
Conil de la Frontera;Cuantía media arrendamiento (€/mes);630;
Conil de la Frontera;Superficie construida media (m2);140;
Conil de la Frontera;Nº de bienes inmuebles;134;
El Bosque;Renta media (€/m2 mes);3,857886905;
El Bosque;Cuantía media arrendamiento (€/mes);349,521857923;
El Bosque;Superficie construida media (m2);108,5;
El Bosque;Nº de bienes inmuebles;48;
El Gastor;Renta media (€/m2 mes);*;
El Gastor;Cuantía media arrendamiento (€/mes);*;
El Gastor;Superficie construida media (m2);*;
El Gastor;Nº de bienes inmuebles;3;
El Puerto de Santa María;Renta media (€/m2 mes);8,087973445;
El Puerto de Santa María;Cuantía media arrendamiento (€/mes);1081,487559952;
El Puerto de Santa María;Superficie construida media (m2);167;
El Puerto de Santa María;Nº de bienes inmuebles;1227;
Espera;Renta media (€/m2 mes);*;
Espera;Cuantía media arrendamiento (€/mes);*;
Espera;Superficie construida media (m2);*;
Espera;Nº de bienes inmuebles;8;
Grazalema;Renta media (€/m2 mes);3,125;
Grazalema;Cuantía media arrendamiento (€/mes);306,666666667;
Grazalema;Superficie construida media (m2);120;
Grazalema;Nº de bienes inmuebles;17;
Jerez de la Frontera;Renta media (€/m2 mes);5,403225806;
Jerez de la Frontera;Cuantía media arrendamiento (€/mes);550;
Jerez de la Frontera;Superficie construida media (m2);115;
Jerez de la Frontera;Nº de bienes inmuebles;938;
Jimena de la Frontera;Renta media (€/m2 mes);3,095693476;
Jimena de la Frontera;Cuantía media arrendamiento (€/mes);307,468506299;
Jimena de la Frontera;Superficie construida media (m2);132;
Jimena de la Frontera;Nº de bienes inmuebles;50;
La Línea de la Concepción;Renta media (€/m2 mes);6,666666667;
La Línea de la Concepción;Cuantía media arrendamiento (€/mes);690,378289474;
La Línea de la Concepción;Superficie construida media (m2);133;
La Línea de la Concepción;Nº de bienes inmuebles;249;
Los Barrios;Renta media (€/m2 mes);5,486978775;
Los Barrios;Cuantía media arrendamiento (€/mes);500;
Los Barrios;Superficie construida media (m2);123,5;
Los Barrios;Nº de bienes inmuebles;270;
Medina Sidonia;Renta media (€/m2 mes);3,525641026;
Medina Sidonia;Cuantía media arrendamiento (€/mes);350;
Medina Sidonia;Superficie construida media (m2);109;
Medina Sidonia;Nº de bienes inmuebles;67;
Olvera;Renta media (€/m2 mes);2,920044838;
Olvera;Cuantía media arrendamiento (€/mes);300;
Olvera;Superficie construida media (m2);107;
Olvera;Nº de bienes inmuebles;17;
Paterna de Rivera;Renta media (€/m2 mes);3,395140665;
Paterna de Rivera;Cuantía media arrendamiento (€/mes);300;
Paterna de Rivera;Superficie construida media (m2);113,5;
Paterna de Rivera;Nº de bienes inmuebles;22;
Prado del Rey;Renta media (€/m2 mes);2,521008403;
Prado del Rey;Cuantía media arrendamiento (€/mes);290,051147705;
Prado del Rey;Superficie construida media (m2);119;
Prado del Rey;Nº de bienes inmuebles;15;
Puerto Real;Renta media (€/m2 mes);5,464507937;
Puerto Real;Cuantía media arrendamiento (€/mes);553,480738994;
Puerto Real;Superficie construida media (m2);111,5;
Puerto Real;Nº de bienes inmuebles;264;
Puerto Serrano;Renta media (€/m2 mes);2,368972746;
Puerto Serrano;Cuantía media arrendamiento (€/mes);251,666666667;
Puerto Serrano;Superficie construida media (m2);147,5;
Puerto Serrano;Nº de bienes inmuebles;10;
Rota;Renta media (€/m2 mes);11,002797368;
Rota;Cuantía media arrendamiento (€/mes);1262,351778656;
Rota;Superficie construida media (m2);155;
Rota;Nº de bienes inmuebles;885;
San Fernando;Renta media (€/m2 mes);5;
San Fernando;Cuantía media arrendamiento (€/mes);502,830974843;
San Fernando;Superficie construida media (m2);122;
San Fernando;Nº de bienes inmuebles;452;
San José del Valle;Renta media (€/m2 mes);2,762404806;
San José del Valle;Cuantía media arrendamiento (€/mes);304,166666667;
San José del Valle;Superficie construida media (m2);118;
San José del Valle;Nº de bienes inmuebles;11;
San Martín del Tesorillo;Renta media (€/m2 mes);3,804347826;
San Martín del Tesorillo;Cuantía media arrendamiento (€/mes);431,25;
San Martín del Tesorillo;Superficie construida media (m2);154;
San Martín del Tesorillo;Nº de bienes inmuebles;25;
San Roque;Renta media (€/m2 mes);6,179775281;
San Roque;Cuantía media arrendamiento (€/mes);600;
San Roque;Superficie construida media (m2);130;
San Roque;Nº de bienes inmuebles;253;
Sanlúcar de Barrameda;Renta media (€/m2 mes);5,353571429;
Sanlúcar de Barrameda;Cuantía media arrendamiento (€/mes);600;
Sanlúcar de Barrameda;Superficie construida media (m2);137;
Sanlúcar de Barrameda;Nº de bienes inmuebles;277;
Setenil de las Bodegas;Renta media (€/m2 mes);*;
Setenil de las Bodegas;Cuantía media arrendamiento (€/mes);*;
Setenil de las Bodegas;Superficie construida media (m2);*;
Setenil de las Bodegas;Nº de bienes inmuebles;9;
Tarifa;Renta media (€/m2 mes);6,550458716;
Tarifa;Cuantía media arrendamiento (€/mes);616,666666667;
Tarifa;Superficie construida media (m2);129,5;
Tarifa;Nº de bienes inmuebles;128;
Trebujena;Renta media (€/m2 mes);3,06122449;
Trebujena;Cuantía media arrendamiento (€/mes);350;
Trebujena;Superficie construida media (m2);115;
Trebujena;Nº de bienes inmuebles;17;
Ubrique;Renta media (€/m2 mes);3,50877193;
Ubrique;Cuantía media arrendamiento (€/mes);300;
Ubrique;Superficie construida media (m2);125;
Ubrique;Nº de bienes inmuebles;49;
Vejer de la Frontera;Renta media (€/m2 mes);5,11629757;
Vejer de la Frontera;Cuantía media arrendamiento (€/mes);503,125;
Vejer de la Frontera;Superficie construida media (m2);123,5;
Vejer de la Frontera;Nº de bienes inmuebles;62;
Villaluenga del Rosario;Renta media (€/m2 mes);*;
Villaluenga del Rosario;Cuantía media arrendamiento (€/mes);*;
Villaluenga del Rosario;Superficie construida media (m2);*;
Villaluenga del Rosario;Nº de bienes inmuebles;5;
Villamartín;Renta media (€/m2 mes);2,692393383;
Villamartín;Cuantía media arrendamiento (€/mes);300;
Villamartín;Superficie construida media (m2);128;
Villamartín;Nº de bienes inmuebles;32;
Zahara;Renta media (€/m2 mes);*;
Zahara;Cuantía media arrendamiento (€/mes);*;
Zahara;Superficie construida media (m2);*;
Zahara;Nº de bienes inmuebles;4;
Córdoba;Renta media (€/m2 mes);3,304347826;
Córdoba;Cuantía media arrendamiento (€/mes);380;
Córdoba;Superficie construida media (m2);146;
Córdoba;Nº de bienes inmuebles;2264;
Adamuz;Renta media (€/m2 mes);2;
Adamuz;Cuantía media arrendamiento (€/mes);347,619047619;
Adamuz;Superficie construida media (m2);191;
Adamuz;Nº de bienes inmuebles;11;
Aguilar de la Frontera;Renta media (€/m2 mes);2,118644068;
Aguilar de la Frontera;Cuantía media arrendamiento (€/mes);260;
Aguilar de la Frontera;Superficie construida media (m2);118;
Aguilar de la Frontera;Nº de bienes inmuebles;11;
Alcaracejos;Renta media (€/m2 mes);2,122909382;
Alcaracejos;Cuantía media arrendamiento (€/mes);252,355371901;
Alcaracejos;Superficie construida media (m2);138;
Alcaracejos;Nº de bienes inmuebles;18;
Almedinilla;Renta media (€/m2 mes);*;
Almedinilla;Cuantía media arrendamiento (€/mes);*;
Almedinilla;Superficie construida media (m2);*;
Almedinilla;Nº de bienes inmuebles;4;
Almodóvar del Río;Renta media (€/m2 mes);3,738317757;
Almodóvar del Río;Cuantía media arrendamiento (€/mes);400;
Almodóvar del Río;Superficie construida media (m2);125;
Almodóvar del Río;Nº de bienes inmuebles;47;
Añora;Renta media (€/m2 mes);*;
Añora;Cuantía media arrendamiento (€/mes);*;
Añora;Superficie construida media (m2);*;
Añora;Nº de bienes inmuebles;6;
Baena;Renta media (€/m2 mes);2,083333333;
Baena;Cuantía media arrendamiento (€/mes);300;
Baena;Superficie construida media (m2);148;
Baena;Nº de bienes inmuebles;19;
Belalcázar;Renta media (€/m2 mes);1,878499671;
Belalcázar;Cuantía media arrendamiento (€/mes);220;
Belalcázar;Superficie construida media (m2);158;
Belalcázar;Nº de bienes inmuebles;11;
Belmez;Renta media (€/m2 mes);2,199099452;
Belmez;Cuantía media arrendamiento (€/mes);299,058948864;
Belmez;Superficie construida media (m2);168;
Belmez;Nº de bienes inmuebles;20;
Benamejí;Renta media (€/m2 mes);*;
Benamejí;Cuantía media arrendamiento (€/mes);*;
Benamejí;Superficie construida media (m2);*;
Benamejí;Nº de bienes inmuebles;5;
Bujalance;Renta media (€/m2 mes);2,042148328;
Bujalance;Cuantía media arrendamiento (€/mes);300;
Bujalance;Superficie construida media (m2);186;
Bujalance;Nº de bienes inmuebles;10;
Cabra;Renta media (€/m2 mes);3,231770833;
Cabra;Cuantía media arrendamiento (€/mes);350;
