Territorio;Sexo;Medida;Valor;
E. singular Algeciras;Ambos sexos;Población;124134;
E. singular Algeciras;Hombres;Población;61071;
E. singular Algeciras;Mujeres;Población;63063;
Núcleo Algeciras;Ambos sexos;Población;123840;
Núcleo Algeciras;Hombres;Población;60923;
Núcleo Algeciras;Mujeres;Población;62917;
Diseminado de Algeciras;Ambos sexos;Población;294;
Diseminado de Algeciras;Hombres;Población;148;
Diseminado de Algeciras;Mujeres;Población;146;
E. singular El Pelayo;Ambos sexos;Población;913;
E. singular El Pelayo;Hombres;Población;483;
E. singular El Pelayo;Mujeres;Población;430;
Núcleo El Pelayo;Ambos sexos;Población;900;
Núcleo El Pelayo;Hombres;Población;478;
Núcleo El Pelayo;Mujeres;Población;422;
Diseminado de El Pelayo;Ambos sexos;Población;13;
Diseminado de El Pelayo;Hombres;Población;5;
Diseminado de El Pelayo;Mujeres;Población;8;
Algodonales;Ambos sexos;Población;5437;
Algodonales;Hombres;Población;2742;
Algodonales;Mujeres;Población;2695;
E. singular Algodonales;Ambos sexos;Población;4854;
E. singular Algodonales;Hombres;Población;2420;
E. singular Algodonales;Mujeres;Población;2434;
Núcleo Algodonales;Ambos sexos;Población;4854;
Núcleo Algodonales;Hombres;Población;2420;
Núcleo Algodonales;Mujeres;Población;2434;
E. singular Arenal;Ambos sexos;Población;171;
E. singular Arenal;Hombres;Población;97;
E. singular Arenal;Mujeres;Población;74;
Diseminado de Arenal;Ambos sexos;Población;171;
Diseminado de Arenal;Hombres;Población;97;
Diseminado de Arenal;Mujeres;Población;74;
E. singular Campo-Huerta;Ambos sexos;Población;78;
E. singular Campo-Huerta;Hombres;Población;42;
E. singular Campo-Huerta;Mujeres;Población;36;
Diseminado de Campo-Huerta;Ambos sexos;Población;78;
Diseminado de Campo-Huerta;Hombres;Población;42;
Diseminado de Campo-Huerta;Mujeres;Población;36;
E. singular La Muela;Ambos sexos;Población;174;
E. singular La Muela;Hombres;Población;91;
E. singular La Muela;Mujeres;Población;83;
Núcleo La Muela;Ambos sexos;Población;174;
Núcleo La Muela;Hombres;Población;91;
Núcleo La Muela;Mujeres;Población;83;
E. singular La Nava y Lapa;Ambos sexos;Población;31;
E. singular La Nava y Lapa;Hombres;Población;17;
E. singular La Nava y Lapa;Mujeres;Población;14;
Diseminado de La Nava y Lapa;Ambos sexos;Población;31;
Diseminado de La Nava y Lapa;Hombres;Población;17;
Diseminado de La Nava y Lapa;Mujeres;Población;14;
E. singular Los Juncales;Ambos sexos;Población;14;
E. singular Los Juncales;Hombres;Población;8;
E. singular Los Juncales;Mujeres;Población;6;
Diseminado de Los Juncales;Ambos sexos;Población;14;
Diseminado de Los Juncales;Hombres;Población;8;
Diseminado de Los Juncales;Mujeres;Población;6;
E. singular Madrigueras;Ambos sexos;Población;115;
E. singular Madrigueras;Hombres;Población;67;
E. singular Madrigueras;Mujeres;Población;48;
Diseminado de Madrigueras;Ambos sexos;Población;115;
Diseminado de Madrigueras;Hombres;Población;67;
Diseminado de Madrigueras;Mujeres;Población;48;
Arcos de la Frontera;Ambos sexos;Población;31055;
Arcos de la Frontera;Hombres;Población;15493;
Arcos de la Frontera;Mujeres;Población;15562;
E. singular Abrajanejo;Ambos sexos;Población;325;
E. singular Abrajanejo;Hombres;Población;177;
E. singular Abrajanejo;Mujeres;Población;148;
Núcleo La Perdiz;Ambos sexos;Población;219;
Núcleo La Perdiz;Hombres;Población;118;
Núcleo La Perdiz;Mujeres;Población;101;
Diseminado de Abrajanejo;Ambos sexos;Población;106;
Diseminado de Abrajanejo;Hombres;Población;59;
Diseminado de Abrajanejo;Mujeres;Población;47;
E. singular Arcos de la Frontera;Ambos sexos;Población;21906;
E. singular Arcos de la Frontera;Hombres;Población;10850;
E. singular Arcos de la Frontera;Mujeres;Población;11056;
Núcleo Arcos de la Frontera;Ambos sexos;Población;21879;
Núcleo Arcos de la Frontera;Hombres;Población;10836;
Núcleo Arcos de la Frontera;Mujeres;Población;11043;
Diseminado de Arcos de la Frontera;Ambos sexos;Población;27;
Diseminado de Arcos de la Frontera;Hombres;Población;14;
Diseminado de Arcos de la Frontera;Mujeres;Población;13;
E. singular Concejo;Ambos sexos;Población;390;
E. singular Concejo;Hombres;Población;198;
E. singular Concejo;Mujeres;Población;192;
Diseminado de Concejo;Ambos sexos;Población;390;
Diseminado de Concejo;Hombres;Población;198;
Diseminado de Concejo;Mujeres;Población;192;
E. singular El Drago;Ambos sexos;Población;746;
E. singular El Drago;Hombres;Población;390;
E. singular El Drago;Mujeres;Población;356;
Núcleo Descansadero del Drago;Ambos sexos;Población;236;
Núcleo Descansadero del Drago;Hombres;Población;127;
Núcleo Descansadero del Drago;Mujeres;Población;109;
Núcleo La Pedrosa;Ambos sexos;Población;159;
Núcleo La Pedrosa;Hombres;Población;79;
Núcleo La Pedrosa;Mujeres;Población;80;
Diseminado de El Drago;Ambos sexos;Población;351;
Diseminado de El Drago;Hombres;Población;184;
Diseminado de El Drago;Mujeres;Población;167;
E. singular El Guijo;Ambos sexos;Población;570;
E. singular El Guijo;Hombres;Población;278;
E. singular El Guijo;Mujeres;Población;292;
Núcleo Junta de los Ríos;Ambos sexos;Población;250;
Núcleo Junta de los Ríos;Hombres;Población;126;
Núcleo Junta de los Ríos;Mujeres;Población;124;
Núcleo La Misericordia;Ambos sexos;Población;124;
Núcleo La Misericordia;Hombres;Población;60;
Núcleo La Misericordia;Mujeres;Población;64;
Diseminado de El Guijo;Ambos sexos;Población;196;
Diseminado de El Guijo;Hombres;Población;92;
Diseminado de El Guijo;Mujeres;Población;104;
E. singular El Yugo;Ambos sexos;Población;3;
E. singular El Yugo;Hombres;Población;1;
E. singular El Yugo;Mujeres;Población;2;
Diseminado de El Yugo;Ambos sexos;Población;3;
Diseminado de El Yugo;Hombres;Población;1;
Diseminado de El Yugo;Mujeres;Población;2;
E. singular Fuensanta;Ambos sexos;Población;9;
E. singular Fuensanta;Hombres;Población;7;
E. singular Fuensanta;Mujeres;Población;2;
Diseminado de Fuensanta;Ambos sexos;Población;9;
Diseminado de Fuensanta;Hombres;Población;7;
Diseminado de Fuensanta;Mujeres;Población;2;
E. singular Jédula;Ambos sexos;Población;2370;
E. singular Jédula;Hombres;Población;1177;
E. singular Jédula;Mujeres;Población;1193;
Núcleo Jédula;Ambos sexos;Población;2370;
Núcleo Jédula;Hombres;Población;1177;
Núcleo Jédula;Mujeres;Población;1193;
E. singular La Garrapata;Ambos sexos;Población;220;
E. singular La Garrapata;Hombres;Población;119;
E. singular La Garrapata;Mujeres;Población;101;
Núcleo Jadramil;Ambos sexos;Población;148;
Núcleo Jadramil;Hombres;Población;82;
Núcleo Jadramil;Mujeres;Población;66;
Diseminado de La Garrapata;Ambos sexos;Población;72;
Diseminado de La Garrapata;Hombres;Población;37;
Diseminado de La Garrapata;Mujeres;Población;35;
E. singular La Sierpe;Ambos sexos;Población;973;
E. singular La Sierpe;Hombres;Población;500;
E. singular La Sierpe;Mujeres;Población;473;
Núcleo Las Abiertas;Ambos sexos;Población;180;
Núcleo Las Abiertas;Hombres;Población;92;
Núcleo Las Abiertas;Mujeres;Población;88;
Diseminado de La Sierpe;Ambos sexos;Población;793;
Diseminado de La Sierpe;Hombres;Población;408;
Diseminado de La Sierpe;Mujeres;Población;385;
E. singular Los Barrancos;Ambos sexos;Población;2949;
E. singular Los Barrancos;Hombres;Población;1474;
E. singular Los Barrancos;Mujeres;Población;1475;
Núcleo El Santiscal;Ambos sexos;Población;2635;
Núcleo El Santiscal;Hombres;Población;1310;
Núcleo El Santiscal;Mujeres;Población;1325;
Diseminado de Los Barrancos;Ambos sexos;Población;314;
Diseminado de Los Barrancos;Hombres;Población;164;
Diseminado de Los Barrancos;Mujeres;Población;150;
E. singular Toronjil;Ambos sexos;Población;159;
E. singular Toronjil;Hombres;Población;83;
E. singular Toronjil;Mujeres;Población;76;
Núcleo Pequeña Holanda;Ambos sexos;Población;31;
Núcleo Pequeña Holanda;Hombres;Población;16;
Núcleo Pequeña Holanda;Mujeres;Población;15;
Diseminado de Toronjil;Ambos sexos;Población;128;
Diseminado de Toronjil;Hombres;Población;67;
Diseminado de Toronjil;Mujeres;Población;61;
E. singular Vallejas;Ambos sexos;Población;435;
E. singular Vallejas;Hombres;Población;239;
E. singular Vallejas;Mujeres;Población;196;
Diseminado de Vallejas;Ambos sexos;Población;435;
Diseminado de Vallejas;Hombres;Población;239;
Diseminado de Vallejas;Mujeres;Población;196;
Barbate;Ambos sexos;Población;22725;
Barbate;Hombres;Población;11326;
Barbate;Mujeres;Población;11399;
E. singular Barbate;Ambos sexos;Población;19140;
E. singular Barbate;Hombres;Población;9491;
E. singular Barbate;Mujeres;Población;9649;
Núcleo Barbate;Ambos sexos;Población;19127;
Núcleo Barbate;Hombres;Población;9481;
Núcleo Barbate;Mujeres;Población;9646;
Diseminado de Barbate;Ambos sexos;Población;13;
Diseminado de Barbate;Hombres;Población;10;
Diseminado de Barbate;Mujeres;Población;3;
E. singular El Cañillo;Ambos sexos;Población;120;
E. singular El Cañillo;Hombres;Población;61;
E. singular El Cañillo;Mujeres;Población;59;
Diseminado de El Cañillo;Ambos sexos;Población;120;
Diseminado de El Cañillo;Hombres;Población;61;
Diseminado de El Cañillo;Mujeres;Población;59;
E. singular El Soto;Ambos sexos;Población;174;
E. singular El Soto;Hombres;Población;92;
E. singular El Soto;Mujeres;Población;82;
Diseminado de El Soto;Ambos sexos;Población;174;
Diseminado de El Soto;Hombres;Población;92;
Diseminado de El Soto;Mujeres;Población;82;
E. singular Los Caños de Meca;Ambos sexos;Población;373;
E. singular Los Caños de Meca;Hombres;Población;199;
E. singular Los Caños de Meca;Mujeres;Población;174;
Núcleo Los Caños de Meca;Ambos sexos;Población;219;
Núcleo Los Caños de Meca;Hombres;Población;120;
Núcleo Los Caños de Meca;Mujeres;Población;99;
Diseminado de Los Caños de Meca;Ambos sexos;Población;154;
Diseminado de Los Caños de Meca;Hombres;Población;79;
Diseminado de Los Caños de Meca;Mujeres;Población;75;
E. singular Manzanete;Ambos sexos;Población;44;
E. singular Manzanete;Hombres;Población;26;
E. singular Manzanete;Mujeres;Población;18;
Diseminado de Manzanete;Ambos sexos;Población;44;
Diseminado de Manzanete;Hombres;Población;26;
Diseminado de Manzanete;Mujeres;Población;18;
E. singular Ribera de la Oliva;Ambos sexos;Población;658;
E. singular Ribera de la Oliva;Hombres;Población;355;
E. singular Ribera de la Oliva;Mujeres;Población;303;
Diseminado de Ribera de la Oliva;Ambos sexos;Población;658;
Diseminado de Ribera de la Oliva;Hombres;Población;355;
Diseminado de Ribera de la Oliva;Mujeres;Población;303;
E. singular San Ambrosio;Ambos sexos;Población;520;
E. singular San Ambrosio;Hombres;Población;264;
E. singular San Ambrosio;Mujeres;Población;256;
Diseminado de San Ambrosio;Ambos sexos;Población;520;
Diseminado de San Ambrosio;Hombres;Población;264;
Diseminado de San Ambrosio;Mujeres;Población;256;
E. singular Sierra del Retín;Ambos sexos;Población;4;
E. singular Sierra del Retín;Hombres;Población;4;
E. singular Sierra del Retín;Mujeres;Población;-;
Diseminado de Sierra del Retín;Ambos sexos;Población;4;
Diseminado de Sierra del Retín;Hombres;Población;4;
Diseminado de Sierra del Retín;Mujeres;Población;-;
E. singular Zahara de los Atunes;Ambos sexos;Población;1070;
E. singular Zahara de los Atunes;Hombres;Población;518;
E. singular Zahara de los Atunes;Mujeres;Población;552;
Núcleo Zahara de los Atunes;Ambos sexos;Población;1070;
Núcleo Zahara de los Atunes;Hombres;Población;518;
Núcleo Zahara de los Atunes;Mujeres;Población;552;
E. singular Zahora;Ambos sexos;Población;622;
E. singular Zahora;Hombres;Población;316;
E. singular Zahora;Mujeres;Población;306;
Diseminado de Zahora;Ambos sexos;Población;622;
Diseminado de Zahora;Hombres;Población;316;
Diseminado de Zahora;Mujeres;Población;306;
Benalup-Casas Viejas;Ambos sexos;Población;7272;
Benalup-Casas Viejas;Hombres;Población;3680;
Benalup-Casas Viejas;Mujeres;Población;3592;
E. singular Benalup;Ambos sexos;Población;7196;
E. singular Benalup;Hombres;Población;3639;
E. singular Benalup;Mujeres;Población;3557;
Núcleo Benalup;Ambos sexos;Población;7010;
Núcleo Benalup;Hombres;Población;3529;
Núcleo Benalup;Mujeres;Población;3481;
Diseminado de Benalup;Ambos sexos;Población;186;
Diseminado de Benalup;Hombres;Población;110;
Diseminado de Benalup;Mujeres;Población;76;
E. singular Las Lagunetas;Ambos sexos;Población;76;
E. singular Las Lagunetas;Hombres;Población;41;
E. singular Las Lagunetas;Mujeres;Población;35;
Núcleo Las Lagunetas;Ambos sexos;Población;69;
Núcleo Las Lagunetas;Hombres;Población;35;
Núcleo Las Lagunetas;Mujeres;Población;34;
Diseminado de Las Lagunetas;Ambos sexos;Población;7;
Diseminado de Las Lagunetas;Hombres;Población;6;
Diseminado de Las Lagunetas;Mujeres;Población;1;
Benaocaz;Ambos sexos;Población;761;
Benaocaz;Hombres;Población;407;
Benaocaz;Mujeres;Población;354;
E. singular Benaocaz;Ambos sexos;Población;677;
E. singular Benaocaz;Hombres;Población;348;
E. singular Benaocaz;Mujeres;Población;329;
Núcleo Benaocaz;Ambos sexos;Población;638;
Núcleo Benaocaz;Hombres;Población;322;
Núcleo Benaocaz;Mujeres;Población;316;
Diseminado de Benaocaz;Ambos sexos;Población;39;
Diseminado de Benaocaz;Hombres;Población;26;
Diseminado de Benaocaz;Mujeres;Población;13;
E. singular Tavizna;Ambos sexos;Población;84;
E. singular Tavizna;Hombres;Población;59;
E. singular Tavizna;Mujeres;Población;25;
Núcleo Tavizna;Ambos sexos;Población;59;
Núcleo Tavizna;Hombres;Población;38;
Núcleo Tavizna;Mujeres;Población;21;
Diseminado de Tavizna;Ambos sexos;Población;25;
Diseminado de Tavizna;Hombres;Población;21;
Diseminado de Tavizna;Mujeres;Población;4;
Bornos;Ambos sexos;Población;7532;
Bornos;Hombres;Población;3756;
Bornos;Mujeres;Población;3776;
E. singular Bornos;Ambos sexos;Población;6583;
E. singular Bornos;Hombres;Población;3276;
E. singular Bornos;Mujeres;Población;3307;
Núcleo Bornos;Ambos sexos;Población;6479;
Núcleo Bornos;Hombres;Población;3226;
Núcleo Bornos;Mujeres;Población;3253;
Diseminado de Bornos;Ambos sexos;Población;104;
Diseminado de Bornos;Hombres;Población;50;
Diseminado de Bornos;Mujeres;Población;54;
E. singular Coto de Bornos;Ambos sexos;Población;949;
E. singular Coto de Bornos;Hombres;Población;480;
E. singular Coto de Bornos;Mujeres;Población;469;
Núcleo Coto de Bornos;Ambos sexos;Población;939;
Núcleo Coto de Bornos;Hombres;Población;472;
Núcleo Coto de Bornos;Mujeres;Población;467;
Diseminado de Coto de Bornos;Ambos sexos;Población;10;
Diseminado de Coto de Bornos;Hombres;Población;8;
Diseminado de Coto de Bornos;Mujeres;Población;2;
Cádiz;Ambos sexos;Población;111180;
Cádiz;Hombres;Población;52386;
Cádiz;Mujeres;Población;58794;
E. singular Cádiz;Ambos sexos;Población;111180;
E. singular Cádiz;Hombres;Población;52386;
E. singular Cádiz;Mujeres;Población;58794;
Núcleo Cádiz;Ambos sexos;Población;111180;
Núcleo Cádiz;Hombres;Población;52386;
Núcleo Cádiz;Mujeres;Población;58794;
Castellar de la Frontera;Ambos sexos;Población;2990;
Castellar de la Frontera;Hombres;Población;1472;
Castellar de la Frontera;Mujeres;Población;1518;
E. singular Almoraima;Ambos sexos;Población;101;
E. singular Almoraima;Hombres;Población;61;
E. singular Almoraima;Mujeres;Población;40;
Núcleo Almoraima;Ambos sexos;Población;97;
Núcleo Almoraima;Hombres;Población;58;
Núcleo Almoraima;Mujeres;Población;39;
Diseminado de Almoraima;Ambos sexos;Población;4;
Diseminado de Almoraima;Hombres;Población;3;
Diseminado de Almoraima;Mujeres;Población;1;
E. singular Castellar de la Frontera;Ambos sexos;Población;2772;
E. singular Castellar de la Frontera;Hombres;Población;1347;
E. singular Castellar de la Frontera;Mujeres;Población;1425;
Núcleo Castellar de la Frontera;Ambos sexos;Población;2761;
Núcleo Castellar de la Frontera;Hombres;Población;1341;
Núcleo Castellar de la Frontera;Mujeres;Población;1420;
Diseminado de Castellar de la Frontera;Ambos sexos;Población;11;
Diseminado de Castellar de la Frontera;Hombres;Población;6;
Diseminado de Castellar de la Frontera;Mujeres;Población;5;
E. singular Castillo de Castellar;Ambos sexos;Población;117;
E. singular Castillo de Castellar;Hombres;Población;64;
E. singular Castillo de Castellar;Mujeres;Población;53;
Núcleo Castillo de Castellar;Ambos sexos;Población;96;
Núcleo Castillo de Castellar;Hombres;Población;50;
Núcleo Castillo de Castellar;Mujeres;Población;46;
Diseminado de Castillo de Castellar;Ambos sexos;Población;21;
Diseminado de Castillo de Castellar;Hombres;Población;14;
Diseminado de Castillo de Castellar;Mujeres;Población;7;
Chiclana de la Frontera;Ambos sexos;Población;89805;
Chiclana de la Frontera;Hombres;Población;44738;
Chiclana de la Frontera;Mujeres;Población;45067;
E. singular Chiclana de la Frontera;Ambos sexos;Población;85625;
E. singular Chiclana de la Frontera;Hombres;Población;42645;
E. singular Chiclana de la Frontera;Mujeres;Población;42980;
Núcleo Chiclana de la Frontera;Ambos sexos;Población;53285;
Núcleo Chiclana de la Frontera;Hombres;Población;26138;
Núcleo Chiclana de la Frontera;Mujeres;Población;27147;
Núcleo Hozanejos;Ambos sexos;Población;153;
Núcleo Hozanejos;Hombres;Población;75;
Núcleo Hozanejos;Mujeres;Población;78;
Núcleo La Coquina;Ambos sexos;Población;537;
Núcleo La Coquina;Hombres;Población;258;
Núcleo La Coquina;Mujeres;Población;279;
Núcleo Las Veguetas;Ambos sexos;Población;567;
Núcleo Las Veguetas;Hombres;Población;291;
Núcleo Las Veguetas;Mujeres;Población;276;
Núcleo Llano de las Maravillas;Ambos sexos;Población;191;
Núcleo Llano de las Maravillas;Hombres;Población;102;
Núcleo Llano de las Maravillas;Mujeres;Población;89;
Núcleo Los Francese-La Vega;Ambos sexos;Población;3964;
Núcleo Los Francese-La Vega;Hombres;Población;2069;
Núcleo Los Francese-La Vega;Mujeres;Población;1895;
Núcleo Los Gallos-Cerromolino;Ambos sexos;Población;4378;
Núcleo Los Gallos-Cerromolino;Hombres;Población;2218;
Núcleo Los Gallos-Cerromolino;Mujeres;Población;2160;
Núcleo Melilla;Ambos sexos;Población;616;
Núcleo Melilla;Hombres;Población;316;
Núcleo Melilla;Mujeres;Población;300;
Núcleo Pago del Humo;Ambos sexos;Población;2697;
Núcleo Pago del Humo;Hombres;Población;1394;
Núcleo Pago del Humo;Mujeres;Población;1303;
Núcleo Pinar de los Guisos;Ambos sexos;Población;1341;
Núcleo Pinar de los Guisos;Hombres;Población;675;
Núcleo Pinar de los Guisos;Mujeres;Población;666;
Núcleo San Andrés Golf;Ambos sexos;Población;452;
Núcleo San Andrés Golf;Hombres;Población;224;
Núcleo San Andrés Golf;Mujeres;Población;228;
Diseminado de Chiclana de la Frontera;Ambos sexos;Población;17444;
Diseminado de Chiclana de la Frontera;Hombres;Población;8885;
Diseminado de Chiclana de la Frontera;Mujeres;Población;8559;
E. singular Sancti Petri-La Barrosa;Ambos sexos;Población;4180;
E. singular Sancti Petri-La Barrosa;Hombres;Población;2093;
E. singular Sancti Petri-La Barrosa;Mujeres;Población;2087;
Núcleo La Barrosa;Ambos sexos;Población;3889;
Núcleo La Barrosa;Hombres;Población;1933;
Núcleo La Barrosa;Mujeres;Población;1956;
Diseminado de Sancti Petri-La Barrosa;Ambos sexos;Población;291;
Diseminado de Sancti Petri-La Barrosa;Hombres;Población;160;
Diseminado de Sancti Petri-La Barrosa;Mujeres;Población;131;
Chipiona;Ambos sexos;Población;19915;
Chipiona;Hombres;Población;9948;
Chipiona;Mujeres;Población;9967;
E. singular Chipiona;Ambos sexos;Población;19809;
E. singular Chipiona;Hombres;Población;9889;
E. singular Chipiona;Mujeres;Población;9920;
Núcleo Chipiona;Ambos sexos;Población;15574;
Núcleo Chipiona;Hombres;Población;7698;
Núcleo Chipiona;Mujeres;Población;7876;
Diseminado de Chipiona;Ambos sexos;Población;4235;
Diseminado de Chipiona;Hombres;Población;2191;
Diseminado de Chipiona;Mujeres;Población;2044;
E. singular Costa Ballena;Ambos sexos;Población;106;
E. singular Costa Ballena;Hombres;Población;59;
E. singular Costa Ballena;Mujeres;Población;47;
Diseminado de Costa Ballena;Ambos sexos;Población;106;
Diseminado de Costa Ballena;Hombres;Población;59;
Diseminado de Costa Ballena;Mujeres;Población;47;
Conil de la Frontera;Ambos sexos;Población;24042;
Conil de la Frontera;Hombres;Población;12036;
Conil de la Frontera;Mujeres;Población;12006;
E. singular Barrio Nuevo;Ambos sexos;Población;2848;
E. singular Barrio Nuevo;Hombres;Población;1471;
E. singular Barrio Nuevo;Mujeres;Población;1377;
Diseminado de Barrio Nuevo;Ambos sexos;Población;2848;
Diseminado de Barrio Nuevo;Hombres;Población;1471;
Diseminado de Barrio Nuevo;Mujeres;Población;1377;
E. singular Casa de Postas;Ambos sexos;Población;1748;
E. singular Casa de Postas;Hombres;Población;880;
E. singular Casa de Postas;Mujeres;Población;868;
Diseminado de Casa de Postas;Ambos sexos;Población;1748;
Diseminado de Casa de Postas;Hombres;Población;880;
Diseminado de Casa de Postas;Mujeres;Población;868;
E. singular Conil de la Frontera;Ambos sexos;Población;13992;
E. singular Conil de la Frontera;Hombres;Población;6936;
E. singular Conil de la Frontera;Mujeres;Población;7056;
Núcleo Conil de la Frontera;Ambos sexos;Población;13967;
Núcleo Conil de la Frontera;Hombres;Población;6923;
Núcleo Conil de la Frontera;Mujeres;Población;7044;
Diseminado de Conil de la Frontera;Ambos sexos;Población;25;
Diseminado de Conil de la Frontera;Hombres;Población;13;
Diseminado de Conil de la Frontera;Mujeres;Población;12;
E. singular Fuente del Gallo;Ambos sexos;Población;763;
E. singular Fuente del Gallo;Hombres;Población;397;
E. singular Fuente del Gallo;Mujeres;Población;366;
Núcleo Fuente del Gallo;Ambos sexos;Población;137;
Núcleo Fuente del Gallo;Hombres;Población;68;
Núcleo Fuente del Gallo;Mujeres;Población;69;
Diseminado de Fuente del Gallo;Ambos sexos;Población;626;
Diseminado de Fuente del Gallo;Hombres;Población;329;
Diseminado de Fuente del Gallo;Mujeres;Población;297;
E. singular Roche;Ambos sexos;Población;4691;
E. singular Roche;Hombres;Población;2352;
E. singular Roche;Mujeres;Población;2339;
Núcleo Roche;Ambos sexos;Población;691;
Núcleo Roche;Hombres;Población;337;
Núcleo Roche;Mujeres;Población;354;
Diseminado de Roche;Ambos sexos;Población;4000;
Diseminado de Roche;Hombres;Población;2015;
Diseminado de Roche;Mujeres;Población;1985;
El Bosque;Ambos sexos;Población;2249;
El Bosque;Hombres;Población;1123;
El Bosque;Mujeres;Población;1126;
E. singular El Bosque;Ambos sexos;Población;2249;
E. singular El Bosque;Hombres;Población;1123;
E. singular El Bosque;Mujeres;Población;1126;
Núcleo El Bosque;Ambos sexos;Población;2131;
Núcleo El Bosque;Hombres;Población;1064;
Núcleo El Bosque;Mujeres;Población;1067;
Diseminado de El Bosque;Ambos sexos;Población;118;
Diseminado de El Bosque;Hombres;Población;59;
Diseminado de El Bosque;Mujeres;Población;59;
El Gastor;Ambos sexos;Población;1706;
El Gastor;Hombres;Población;861;
El Gastor;Mujeres;Población;845;
E. singular Arroyomolinos;Ambos sexos;Población;10;
E. singular Arroyomolinos;Hombres;Población;5;
E. singular Arroyomolinos;Mujeres;Población;5;
Diseminado de Arroyomolinos;Ambos sexos;Población;10;
Diseminado de Arroyomolinos;Hombres;Población;5;
Diseminado de Arroyomolinos;Mujeres;Población;5;
E. singular El Gastor;Ambos sexos;Población;1478;
E. singular El Gastor;Hombres;Población;742;
E. singular El Gastor;Mujeres;Población;736;
Núcleo El Gastor;Ambos sexos;Población;1478;
Núcleo El Gastor;Hombres;Población;742;
Núcleo El Gastor;Mujeres;Población;736;
E. singular El Jaral;Ambos sexos;Población;139;
E. singular El Jaral;Hombres;Población;74;
E. singular El Jaral;Mujeres;Población;65;
Diseminado de El Jaral;Ambos sexos;Población;139;
Diseminado de El Jaral;Hombres;Población;74;
Diseminado de El Jaral;Mujeres;Población;65;
E. singular Era de la Viña;Ambos sexos;Población;45;
E. singular Era de la Viña;Hombres;Población;20;
E. singular Era de la Viña;Mujeres;Población;25;
Diseminado de Era de la Viña;Ambos sexos;Población;45;
Diseminado de Era de la Viña;Hombres;Población;20;
Diseminado de Era de la Viña;Mujeres;Población;25;
E. singular Ventas Nuevas;Ambos sexos;Población;34;
E. singular Ventas Nuevas;Hombres;Población;20;
E. singular Ventas Nuevas;Mujeres;Población;14;
Diseminado de Ventas Nuevas;Ambos sexos;Población;34;
Diseminado de Ventas Nuevas;Hombres;Población;20;
Diseminado de Ventas Nuevas;Mujeres;Población;14;
El Puerto de Santa María;Ambos sexos;Población;90423;
El Puerto de Santa María;Hombres;Población;44214;
El Puerto de Santa María;Mujeres;Población;46209;
E. singular Camino Viejo de Rota;Ambos sexos;Población;3056;
E. singular Camino Viejo de Rota;Hombres;Población;1525;
E. singular Camino Viejo de Rota;Mujeres;Población;1531;
Núcleo Arenas Cárdenas;Ambos sexos;Población;181;
Núcleo Arenas Cárdenas;Hombres;Población;90;
Núcleo Arenas Cárdenas;Mujeres;Población;91;
Núcleo Berben;Ambos sexos;Población;59;
Núcleo Berben;Hombres;Población;29;
Núcleo Berben;Mujeres;Población;30;
Núcleo Ciudad Ducal;Ambos sexos;Población;117;
Núcleo Ciudad Ducal;Hombres;Población;53;
Núcleo Ciudad Ducal;Mujeres;Población;64;
Núcleo La Belleza;Ambos sexos;Población;70;
Núcleo La Belleza;Hombres;Población;35;
